GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
cytochrome complex assembly	NA	NA	NA	NA	NA	NA
cytokine production involved in immune response	NA	NA	NA	NA	NA	NA
cytokine production involved in inflammatory response	NA	NA	NA	NA	NA	NA
cytokinesis	NA	NA	NA	NA	NA	NA
cytoplasmic translation	0	1	53	1	0.28804347826086957	-0.42391304347826086
cytoskeleton-dependent cytokinesis	NA	NA	NA	NA	NA	NA
dAMP metabolic process	NA	NA	NA	NA	NA	NA
defense response to Gram-positive bacterium	NA	NA	NA	NA	NA	NA
deoxyribonucleoside monophosphate biosynthetic process	NA	NA	NA	NA	NA	NA
deoxyribonucleotide biosynthetic process	NA	NA	NA	NA	NA	NA
deoxyribonucleotide metabolic process	NA	NA	NA	NA	NA	NA
deoxyribose phosphate biosynthetic process	NA	NA	NA	NA	NA	NA
deoxyribose phosphate metabolic process	NA	NA	NA	NA	NA	NA
detection of abiotic stimulus	NA	NA	NA	NA	NA	NA
detection of chemical stimulus involved in sensory perception	NA	NA	NA	NA	NA	NA
detection of chemical stimulus involved in sensory perception of smell	NA	NA	NA	NA	NA	NA
detection of external stimulus	NA	NA	NA	NA	NA	NA
detoxification	NA	NA	NA	NA	NA	NA
development of primary female sexual characteristics	NA	NA	NA	NA	NA	NA
development of primary male sexual characteristics	NA	NA	NA	NA	NA	NA
diencephalon development	NA	NA	NA	NA	NA	NA
digestion	NA	NA	NA	NA	NA	NA
digestive system development	NA	NA	NA	NA	NA	NA
digestive system process	NA	NA	NA	NA	NA	NA
digestive tract development	NA	NA	NA	NA	NA	NA
disaccharide metabolic process	NA	NA	NA	NA	NA	NA
dopamine catabolic process	NA	NA	NA	NA	NA	NA
dopaminergic neuron differentiation	NA	NA	NA	NA	NA	NA
double-strand break repair via break-induced replication	NA	NA	NA	NA	NA	NA
double-strand break repair via homologous recombination	NA	NA	NA	NA	NA	NA
ectodermal placode development	NA	NA	NA	NA	NA	NA
ectodermal placode formation	NA	NA	NA	NA	NA	NA
ectodermal placode morphogenesis	NA	NA	NA	NA	NA	NA
electron transport chain	NA	NA	NA	NA	NA	NA
embryo implantation	NA	NA	NA	NA	NA	NA
embryonic placenta morphogenesis	NA	NA	NA	NA	NA	NA
embryonic skeletal system development	NA	NA	NA	NA	NA	NA
embryonic skeletal system morphogenesis	NA	NA	NA	NA	NA	NA
endocrine hormone secretion	NA	NA	NA	NA	NA	NA
endocrine process	NA	NA	NA	NA	NA	NA
endocrine system development	NA	NA	NA	NA	NA	NA
endoderm development	NA	NA	NA	NA	NA	NA
endoderm formation	NA	NA	NA	NA	NA	NA
endodermal cell differentiation	NA	NA	NA	NA	NA	NA
endothelial cell proliferation	NA	NA	NA	NA	NA	NA
endothelium development	NA	NA	NA	NA	NA	NA
entry into host	NA	NA	NA	NA	NA	NA
entry of bacterium into host cell	NA	NA	NA	NA	NA	NA
