	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
BOC	1	3	1	5	9	17	17	7	6
CFAP44	13	177	30	241	244	604	469	422	245
CFAP44-AS1	1	4	1	2	9	13	7	5	4
MIR8076	0	0	0	0	0	0	0	0	0
SPICE1	30	216	72	328	331	475	323	145	255
SIDT1	66	861	251	1294	1019	1875	978	885	968
MIR4446	0	1	0	0	0	0	1	0	2
USF3	1737	3992	8151	4186	2119	2402	1881	709	1736
NAA50	3342	5975	4915	6471	5017	3635	4146	1509	3026
ATP6V1A	6287	2695	8769	4156	3089	1633	2799	808	2979
GRAMD1C	11	65	20	30	79	53	132	42	39
ZDHHC23	12	168	33	98	134	234	307	92	160
CCDC191	39	219	58	237	278	633	678	454	365
LOC105374048	0	2	1	3	3	7	12	7	5
QTRT2	202	845	262	746	795	649	727	229	680
DRD3	0	1	1	3	1	2	6	1	0
LOC107986115	2	13	2	22	22	32	28	14	20
ZNF80	0	18	10	47	79	82	111	39	40
TIGIT	169	1179	156	1612	1295	2511	2978	999	1422
ZBTB20	429	813	216	893	1073	2187	2266	1685	1320
MIR568	1	3	1	4	5	13	14	3	8
ZBTB20-AS1	5	13	9	17	24	33	26	18	20
ZBTB20-AS5	1	1	0	0	0	3	3	1	3
MIR4796	0	0	0	0	0	0	0	0	1
ZBTB20-AS3	1	0	1	1	2	8	4	11	8
ZBTB20-AS4	0	0	0	4	1	3	1	9	1
LOC101926886	7	12	4	14	8	11	30	0	3
LOC105374051	0	0	0	0	2	0	2	0	1
GAP43	0	0	0	0	0	1	7	0	3
LSAMP	0	0	1	0	1	4	5	0	2
LOC105374053	0	0	0	0	0	0	0	0	0
SNORD155	0	0	0	0	0	0	0	0	0
LOC107986116	0	0	0	0	0	0	0	0	0
LOC105374052	0	0	0	0	0	0	1	0	0
LSAMP-AS1	0	0	0	0	0	0	0	1	0
LINC00903	0	0	0	0	0	0	0	0	0
TUSC7	0	0	0	0	0	0	0	0	0
MIR4447	0	0	0	0	0	0	0	0	0
LINC00901	0	0	0	0	0	0	2	0	0
LOC105374054	0	0	0	0	0	0	0	0	0
LOC105374056	3	3	3	1	2	3	8	7	4
LINC02024	0	0	0	0	0	0	0	0	0
LOC107986022	0	0	0	0	0	1	2	0	1
LOC101926953	0	0	0	0	0	0	0	0	0
LOC105374058	0	1	0	0	1	0	3	1	0
LOC105374060	0	1	0	2	0	0	0	0	0
LOC101926968	0	0	0	0	0	0	0	0	0
LOC107983969	0	1	0	0	0	0	0	0	0
LOC105374059	0	0	0	0	0	0	4	0	0
IGSF11	7	2	7	3	3	12	5	0	5
IGSF11-AS1	0	0	2	0	0	1	0	0	0
TEX55	0	0	0	0	0	0	0	0	1
UPK1B	0	1	0	1	2	2	1	0	3
B4GALT4	1815	645	722	550	693	548	753	240	492
B4GALT4-AS1	130	58	38	37	38	34	38	8	30
ARHGAP31	403	4579	2520	2944	1067	621	1363	247	1174
ARHGAP31-AS1	1	23	52	32	33	7	5	3	25
TMEM39A	1117	1225	908	1244	1544	695	1385	427	620
POGLUT1	119	485	200	886	528	940	1335	555	624
TIMMDC1	833	493	366	429	567	777	1468	540	803
CD80	6	362	49	31	138	32	435	16	36
LOC107986118	1	6	1	2	4	2	14	3	5
ADPRH	324	464	346	731	399	373	590	208	770
PLA1A	2	4	11	6	16	11	27	5	15
LOC105374062	4	3	10	1	4	3	8	2	2
POPDC2	11	53	32	59	46	100	182	108	59
LOC105374063	3	31	15	20	7	26	26	10	25
COX17	394	550	637	450	339	455	875	459	501
LOC105374064	0	0	0	0	1	0	0	0	0
CFAP91	0	10	5	3	5	4	26	0	5
NR1I2	0	0	1	2	4	12	6	2	3
GSK3B	3085	2306	2383	2598	2940	2773	2154	945	2372
MIR6529	0	0	0	0	1	0	0	0	1
GSK3B-DT	15	9	34	48	38	26	47	17	14
LOC105374065	0	0	0	1	0	0	0	0	0
GPR156	2	8	6	7	3	5	8	3	2
LRRC58	555	2609	775	2525	1860	2216	2530	1629	1748
LRRC58-DT	0	3	5	2	0	3	1	1	1
FSTL1	46	215	261	135	44	340	24	54	89
MIR198	2	8	7	3	2	11	2	1	1
LOC107986121	14	66	20	49	29	58	64	32	31
NDUFB4	1029	1573	1032	1422	1115	1518	1484	1130	1119
HGD	4	54	46	74	23	154	20	113	89
RABL3	284	1066	804	988	553	756	675	302	532
GTF2E1	451	376	139	261	150	382	628	167	292
LINC02049	0	0	0	0	0	0	0	0	0
LOC105374069	0	0	0	0	0	0	0	0	0
STXBP5L	0	0	1	0	0	1	5	5	0
MIR5682	0	0	0	0	0	0	0	0	0
POLQ	52	103	47	59	28	48	132	54	45
ARGFX	2	2	6	2	2	7	3	7	1
FBXO40	38	69	55	63	32	63	39	25	31
HCLS1	40987	13242	16713	11939	12810	13607	10876	9320	13856
GOLGB1	2849	4222	3036	4282	4751	3462	4190	2501	2547
IQCB1	120	724	352	733	1033	850	1016	515	663
EAF2	1024	240	453	304	294	568	282	699	492
SLC15A2	152	58	57	64	130	333	170	207	240
ILDR1	3	30	14	14	15	30	23	17	33
LOC101927010	2	2	5	2	1	11	4	7	5
CD86	425	2609	2686	4310	3494	1693	3019	736	3559
CASR	0	1	12	0	1	0	22	2	2
CSTA	1413	2428	1297	1651	2919	790	460	801	1948
MIX23	21	169	64	148	114	253	336	223	128
FAM162A	113	339	216	275	550	477	699	438	295
WDR5B	132	133	138	172	94	250	577	97	138
WDR5B-DT	7	20	20	20	34	21	13	20	10
KPNA1	1982	2777	3156	3394	2928	2648	2553	1031	2138
LOC107984000	2	0	1	0	1	0	1	4	0
LOC105374071	751	1283	2657	780	684	576	1145	232	1707
PARP9	10050	5242	16708	4033	4544	2425	6691	1288	8756
DTX3L	5033	3667	10930	3816	3023	2576	7580	1216	6127
PARP15	167	2534	458	2035	2584	5108	2128	1588	2242
PARP14	5558	13140	45396	7868	15573	5597	11627	2322	14101
HSPBAP1	771	448	787	576	1168	848	667	418	809
SLC49A4	1143	561	1469	1321	1581	556	378	164	691
LINC02035	170	111	338	382	368	234	159	77	214
SEMA5B	0	1	1	0	1	1	1	0	0
LOC112268448	0	0	0	0	0	0	0	0	0
PDIA5	59	200	134	139	99	221	267	330	165
MIR7110	0	1	1	1	0	1	3	1	1
SEC22A	145	272	147	341	363	363	581	239	281
ADCY5	0	1	1	6	5	12	16	6	9
HACD2	317	1230	600	1427	873	1546	1310	542	1200
MYLK-AS1	4	12	29	25	14	67	28	29	27
MYLK	59	340	836	471	131	1221	59	363	641
MYLK-AS2	2	5	14	7	1	12	1	1	6
LOC105369194	11	79	174	91	25	221	10	197	112
CCDC14	126	802	249	960	1042	2047	1402	511	1058
ROPN1	0	0	1	0	0	1	0	0	1
KALRN	10	37	12	71	48	154	28	39	85
MIR5002	0	0	0	0	0	0	0	0	0
LOC105374077	0	0	0	0	0	0	0	0	0
MIR6083	0	0	0	0	0	0	0	0	0
LOC107986123	0	0	0	0	0	0	1	3	0
LOC105374076	0	0	0	0	0	0	1	0	0
UMPS	51	239	99	460	191	345	600	243	230
MIR544B	0	0	0	1	0	1	0	0	0
ITGB5	37	260	773	432	143	860	60	436	648
MUC13	0	1	0	3	1	1	6	1	2
HEG1	189	2171	318	2138	1340	1857	1235	521	2070
SLC12A8	9	4	11	12	9	11	56	11	20
MIR5092	0	0	0	0	0	0	0	0	0
ZNF148	2129	2779	2470	4009	1849	2836	2365	1144	1961
LOC105374080	0	1	1	0	3	0	1	2	0
LOC105374081	0	0	1	1	0	0	1	0	0
SNX4	682	836	488	1067	820	883	878	373	806
OSBPL11	3558	1837	2872	3039	2638	1051	1035	377	1680
LOC105374312	0	0	0	2	0	1	2	2	0
MIR548I1	0	0	0	0	0	0	0	0	0
LINC02614	0	0	0	0	2	5	13	6	2
LOC102723696	2	7	4	8	16	23	12	32	10
FAM86JP	0	9	1	12	6	22	23	26	11
ALG1L1P	1	19	2	17	11	20	20	15	8
ROPN1B	0	1	8	8	4	2	4	0	4
SLC41A3	94	690	215	613	497	602	582	362	427
LOC105374085	0	5	5	18	6	15	27	7	10
SLC41A3-AS1	0	4	3	1	4	1	1	4	0
ALDH1L1	0	1	0	0	0	1	1	0	0
ALDH1L1-AS1	0	1	0	2	0	0	0	1	0
LOC105374083	0	0	1	0	1	1	5	1	1
ALDH1L1-AS2	0	0	0	0	0	0	0	0	0
LOC107986124	0	0	0	0	0	0	0	0	0
KLF15	1	2	0	3	4	7	5	2	6
LOC105374088	0	0	0	0	0	0	0	0	0
LOC107986044	0	0	0	0	1	0	0	0	0
CFAP100-DT	0	0	0	0	0	0	0	0	0
CFAP100	0	1	1	1	4	2	9	8	6
ZXDC	875	1563	553	1601	2045	1565	1304	784	1299
UROC1	2	0	2	0	1	6	3	1	1
CHST13	133	19	25	81	81	37	5	50	103
C3orf22	5	0	0	0	1	2	0	1	1
LOC105374090	0	2	2	0	2	3	0	1	0
TXNRD3	3	6	2	5	22	47	22	17	27
NUP210P1	0	0	0	1	0	2	0	0	0
CHCHD6	3	49	17	48	52	113	91	96	48
PLXNA1	13	614	90	476	287	557	853	271	330
PRR23E	0	0	0	0	0	0	0	0	0
PRR20G	0	0	0	0	0	0	0	0	0
LINC02016	0	0	0	0	0	0	0	0	0
LOC105374094	0	0	0	0	0	0	0	0	0
LINC01471	0	0	0	2	0	0	0	1	0
LINC02034	1	0	1	33	6	39	10	13	4
TPRA1	140	1334	218	947	798	794	1038	607	1060
MIR6825	1	8	0	1	7	3	3	3	8
MIR7976	1	3	1	3	4	7	0	9	13
MCM2	137	605	161	338	152	377	661	309	214
LOC107986126	33	111	35	55	31	99	210	133	62
PODXL2	14	38	14	46	58	72	53	82	46
