	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
SNORA118	1	8	1	9	14	4	12	5	7	28	6	24	0
USE1	78	246	173	416	313	436	409	479	413	263	221	358	107
OCEL1	82	122	80	252	308	370	339	263	320	328	25	99	11
NR2F6	38	10	11	40	47	135	57	58	89	56	9	34	106
USHBP1	2	1	2	2	5	4	8	6	16	0	28	9	3
BABAM1	1046	1366	734	1390	1375	2386	1899	2130	1873	1449	338	957	493
ANKLE1	19	47	32	83	106	103	57	49	52	78	6	27	2
ABHD8	113	149	168	316	373	643	208	385	276	288	113	205	53
MRPL34	196	316	166	520	304	1018	503	773	633	371	10	93	48
DDA1	1385	1453	975	1694	1475	1824	1384	1684	921	1132	219	1033	178
ANO8	79	327	132	959	668	589	882	424	435	663	25	70	134
GTPBP3	25	178	64	232	251	711	507	527	374	294	31	169	34
PLVAP	6	21	1	47	28	9	50	6	24	35	17	11	31
LOC105372298	0	0	0	0	1	0	0	0	1	1	1	0	0
CCDC194	24	6	68	42	202	23	10	18	13	40	14	7	3
BST2	2305	1505	2424	1668	2582	3624	1842	2464	2476	4248	1465	1835	144
BISPR	403	350	1001	600	711	913	565	1158	379	1087	72	382	45
MVB12A	294	226	429	335	445	583	464	476	555	568	83	211	68
TMEM221	0	3	3	9	10	8	11	15	12	8	2	3	27
NXNL1	0	0	1	1	0	0	0	1	0	0	1	0	0
SLC27A1	75	136	93	655	508	408	609	316	612	664	143	248	176
PGLS-DT	61	62	66	180	192	150	102	87	127	149	23	50	44
PGLS	941	1106	665	1426	1671	1366	1328	1176	2013	1528	668	1379	161
NIBAN3	93	792	70	600	1062	783	2086	604	1378	1177	290	602	7
COLGALT1	8962	2502	1517	4139	2707	2526	2834	2576	1814	3552	520	1318	621
UNC13A	0	0	1	3	1	0	2	29	0	1	4	9	1133
MAP1S	1517	2433	640	2011	1189	1324	988	1114	489	1091	84	895	28
FCHO1	692	1029	377	1786	1322	1619	2073	1607	1192	1261	370	1106	14
B3GNT3	1	0	1	3	4	3	4	14	0	1	0	2	0
INSL3	213	33	93	61	49	194	52	203	69	46	77	168	0
JAK3	15615	6416	8000	5925	4156	12953	8231	11358	5472	6102	2768	4550	68
RPL18A	1935	12262	4693	12728	14365	18272	16507	15038	19170	10441	5945	17228	752
SNORA68	2	32	5	16	57	20	47	25	27	20	6	41	13
SLC5A5	0	27	8	31	20	87	55	77	33	34	31	43	3
CCDC124	312	808	363	732	636	1257	848	1056	944	762	358	836	127
KCNN1	1	5	2	9	3	29	2	49	0	3	14	23	26
ARRDC2	852	5197	1575	6713	5935	5162	8655	4404	3565	6683	672	4427	44
IL12RB1	301	1424	889	1213	1356	1861	1876	1607	1164	1747	191	755	3
MAST3	2985	2377	1478	3804	3622	3217	4382	2496	1926	3767	428	1339	45
PIK3R2	225	495	201	671	638	1086	926	897	530	782	163	330	567
IFI30	20341	28544	30736	23989	25047	3848	14210	15204	9071	42764	2577	10887	149
MPV17L2	112	107	75	122	270	462	156	516	123	227	67	158	31
RAB3A	155	40	113	152	66	31	104	41	71	140	25	65	17
LOC102725254	0	0	6	2	3	3	0	1	0	1	4	8	3
PDE4C	0	1	5	4	13	3	3	6	3	2	36	16	94
LOC729966	0	1	1	0	4	0	2	3	4	6	15	4	0
IQCN	14	86	45	98	172	159	256	161	165	227	127	186	17
JUND	5723	9277	8632	16791	43073	9909	14562	5055	14136	22738	45682	62576	221
MIR3188	0	0	0	0	0	2	0	0	0	0	0	3	0
LSM4	172	919	338	1034	998	2339	1308	1662	1684	1303	230	781	476
LOC105372300	11	136	24	166	90	182	427	250	161	251	42	130	18
PGPEP1	2990	1415	2393	3341	1241	1953	2255	1715	1458	1694	1144	1574	1812
GDF15	13	18	50	10	53	15	12	175	24	31	6	34	9
MIR3189	0	0	1	0	3	0	0	0	0	0	0	0	0
LRRC25	11483	6173	2963	3678	4742	39	1966	736	1236	5330	303	1795	25
SSBP4	231	1447	641	2496	2313	1947	3015	1192	2824	2909	433	1476	45
ISYNA1	76	280	339	559	511	581	695	282	781	495	440	740	44
ELL	2482	2264	2435	1582	4470	1420	1244	1210	775	1339	1281	4090	170
FKBP8	7011	4884	7802	5987	8966	6976	5660	5526	5860	5369	3812	8078	646
KXD1	1262	2271	1409	1714	1540	2361	2178	2322	1433	1699	153	924	747
UBA52	6703	13537	7574	13076	15808	14652	15672	14377	19769	10853	8919	20601	1948
REX1BD	160	321	168	526	802	1111	715	600	1393	698	455	754	35
CRLF1	0	0	0	0	2	2	0	1	1	1	0	0	4
TMEM59L	0	0	1	0	0	0	1	4	1	0	2	8	63
KLHL26	82	232	68	305	270	419	332	325	155	293	57	241	53
CRTC1	63	557	223	1163	646	1014	1531	1015	799	1214	156	340	141
COMP	0	0	0	3	2	1	1	0	1	0	0	1	0
LOC107985321	0	0	0	0	1	0	1	2	1	1	15	0	0
UPF1	2971	3762	2626	4749	3989	4067	3029	2888	1800	2765	399	1646	632
CERS1	5	1	1	2	16	4	1	3	1	2	8	6	281
GDF1	2	0	0	1	7	2	1	1	1	1	2	4	118
COPE	3418	2903	2432	2740	2749	3310	2553	3480	2780	2514	959	2364	440
DDX49	589	832	552	952	1184	1188	842	914	895	768	140	512	526
HOMER3	230	690	186	1040	724	45	322	126	424	657	95	291	130
HOMER3-AS1	3	68	18	93	46	2	16	6	14	33	9	19	4
LOC107985268	1	6	7	37	38	1	10	4	2	26	19	42	0
SUGP2	882	3580	1336	4649	3765	4107	5749	3823	2540	4074	429	1177	4544
ARMC6	76	343	126	401	297	826	574	561	468	506	22	116	149
SLC25A42	50	364	173	709	410	915	1256	722	736	647	166	344	79
TMEM161A	22	95	37	178	189	445	362	260	349	213	20	89	63
BORCS8-MEF2B	465	193	258	210	235	230	255	246	238	223	50	171	18
MEF2B	247	111	134	143	141	136	172	165	181	133	47	145	7
BORCS8	689	253	364	184	308	301	318	335	266	301	35	128	84
RFXANK	1212	527	523	588	730	1161	733	852	779	592	141	403	149
NR2C2AP	174	227	117	256	285	717	332	505	411	246	91	195	73
NCAN	0	1	0	0	0	3	0	6	0	0	3	0	3552
HAPLN4	0	1	1	2	0	1	1	2	1	1	1	1	55
TM6SF2	1	0	0	0	3	0	0	2	0	1	0	1	6
SUGP1	824	790	260	1014	601	1317	1106	1199	805	898	128	402	455
MAU2	3376	2812	2093	3932	2720	2790	3018	2529	1209	2293	557	1456	556
GATAD2A	5170	6236	4993	6402	5081	6191	5873	4721	2347	4183	1692	5338	836
MIR640	0	0	0	1	0	1	0	0	1	0	0	1	3
TSSK6	23	32	12	31	34	120	48	118	36	28	2	20	14
NDUFA13	1009	1637	1007	1253	1202	2154	1539	1835	2227	1481	1052	1551	441
YJEFN3	9	47	44	81	126	156	126	147	105	93	87	102	8
CILP2	3	7	34	31	25	51	8	11	1	6	28	51	3
PBX4	8	381	87	277	297	1009	422	697	426	186	335	921	13
LPAR2	1258	869	766	1256	2093	1082	1453	713	1442	1168	835	2000	9
GMIP	9169	5789	4821	5697	6692	5341	4929	4195	2510	5344	572	2259	63
ATP13A1	831	1954	605	1977	1637	3494	2915	3056	2253	3011	273	652	360
ZNF101	525	1340	316	1441	862	5044	3399	4115	2171	1843	496	1346	621
ZNF14	168	479	155	777	527	668	850	694	394	451	132	577	809
LOC101060187	0	0	1	5	0	8	8	2	0	6	0	2	27
LINC00663	1	24	10	106	36	179	111	174	88	61	127	130	169
LOC112267872	20	76	35	173	123	248	244	257	173	109	140	207	616
ZNF56P	6	9	8	27	14	25	31	19	12	19	15	12	75
ZNF506	611	619	420	1017	1372	912	1108	833	266	541	51	327	3889
ZNF253	124	225	131	458	157	763	655	609	153	303	39	78	3083
ZNF93	368	136	139	414	205	394	212	291	41	146	10	37	997
ZNF682	15	78	34	115	109	289	235	249	107	79	58	97	977
LOC105372308	2	7	4	17	10	14	23	13	6	6	7	22	40
LOC105372309	1	0	0	0	2	6	1	7	1	0	3	2	12
ZNF90	46	205	98	220	161	363	357	290	239	183	95	248	678
LOC105372310	4	10	4	15	15	112	58	57	21	32	32	12	555
ZNF486	820	144	359	444	184	610	342	371	106	190	40	92	1281
LOC105372311	1	0	0	0	0	2	0	1	2	1	0	1	37
LOC102724427	0	0	1	0	0	0	0	3	0	0	1	1	0
LOC105372314	0	0	0	0	0	0	0	0	1	0	0	0	6
ZNF826P	4	7	4	20	9	25	20	21	3	7	2	6	1
MIR1270	0	0	0	1	0	0	0	2	0	1	0	0	0
LOC105372317	1	0	1	1	1	1	1	2	1	2	1	2	1
LOC105372316	0	0	0	0	0	0	0	0	0	1	2	0	42
ZNF737	142	475	94	450	161	812	892	699	191	391	26	133	3731
LOC105372318	0	0	2	0	0	0	0	0	0	1	2	0	135
ZNF626	89	84	49	131	73	358	307	297	130	130	40	27	3775
LOC105372319	3	3	2	7	4	11	3	6	1	2	33	5	59
ZNF66	24	70	41	94	120	129	106	88	132	61	183	141	1589
ZNF85	51	144	77	282	101	457	258	324	83	148	15	38	805
LOC112268247	1	0	0	1	1	1	1	2	1	1	0	2	0
ZNF430	1134	1081	1004	1552	1946	1461	1487	1360	641	881	674	1195	1291
ZNF714	263	466	216	820	287	737	470	510	527	211	431	416	4512
ZNF431	605	1014	425	1479	920	1272	1378	1281	628	903	617	623	4076
ZNF708	464	764	409	790	1090	921	1030	827	251	577	46	217	4593
ZNF738	221	253	445	655	371	610	427	503	167	316	115	102	2383
ZNF493	545	561	1044	509	501	824	937	833	315	296	362	262	4378
LOC105372321	4	14	25	19	37	40	53	33	10	8	7	10	204
LINC00664	34	6	128	39	284	15	4	9	0	1	126	109	114
ZNF429	1276	470	1022	520	629	1308	819	1296	558	383	716	432	2506
LOC101929007	61	280	561	294	282	39	425	61	179	138	399	224	215
LOC105372323	12	37	129	61	179	10	25	11	23	6	478	172	39
LOC400682	7	11	9	7	20	12	11	13	2	7	2	2	96
ZNF100	894	404	791	675	661	761	648	601	143	268	125	241	3542
CCNYL6	12	20	14	20	44	7	15	9	5	11	1	3	67
ZNF43	392	697	481	875	352	1477	1205	1311	339	678	520	525	5576
LOC105372324	0	0	0	0	0	2	0	0	0	0	0	0	0
LOC105372326	0	1	0	1	0	1	1	3	0	1	0	1	3
LOC112268249	0	2	3	4	3	3	6	7	2	5	1	0	1
LOC105372325	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF208	16	153	10	69	60	114	112	134	44	50	40	30	15
LOC112268248	0	0	0	1	0	1	1	1	0	1	0	0	1
ZNF257	13	70	25	19	83	192	95	143	14	29	17	9	351
ZNF676	5	8	3	7	6	8	11	9	2	2	1	3	3
LOC105372328	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107985324	0	0	0	0	0	0	0	0	0	0	0	0	7
ZNF729	6	8	5	7	6	8	14	13	2	7	1	1	8
LOC105372330	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF98	7	8	6	12	6	10	12	8	1	5	1	4	13
LOC105376917	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC101929124	0	0	0	0	1	1	0	5	0	0	4	0	3
LINC01233	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105372331	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P9	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996349	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01785	0	0	0	0	0	1	0	0	0	0	0	0	0
ZNF492	15	25	39	47	30	36	30	24	9	17	3	15	5
ZNF99	9	8	4	8	12	14	9	9	3	4	4	2	0
ZNF723	3	2	4	4	7	7	4	4	1	2	2	2	1
LOC105372332	0	0	0	0	0	0	0	0	0	0	3	0	2
ZNF728	2	3	2	7	5	4	6	6	2	4	0	0	0
LINC01859	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01858	0	0	0	0	1	2	0	2	1	1	3	1	1
ZNF730	11	9	4	13	15	34	13	13	14	8	24	10	922
ZNF724	25	66	56	190	45	118	94	65	23	45	5	27	1581
IPO5P1	29	200	63	340	195	677	530	550	183	263	113	135	485
ZNF91	577	990	574	1651	747	2162	2109	2118	1377	1078	1138	1820	17073
LOC107985285	1	1	1	3	5	11	15	17	3	9	6	17	444
LINC01224	1	1	3	1	1	2	1	3	1	2	2	1	23
LOC105372335	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC105372334	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372337	0	0	0	0	0	0	0	0	0	0	1	0	6
LOC105372338	1	0	0	0	1	0	1	1	1	0	0	2	2
LOC105372339	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF675	194	457	145	536	682	595	784	628	201	451	11	133	2000
ZNF681	20	126	45	173	109	538	248	467	65	125	4	32	663
RPSA2	686	5055	2130	5397	5446	10642	6854	7924	8175	5611	3086	8059	287
ZNF726	48	61	48	230	91	236	124	131	48	89	18	123	522
LOC100505851	0	0	0	0	3	0	1	0	0	2	0	1	18
ZNF254	1931	451	262	677	411	632	785	601	183	397	94	318	7735
HAVCR1P1	0	3	1	1	3	5	4	0	2	1	1	1	153
LOC105372345	1	0	0	0	0	0	0	3	0	0	0	0	37
LINC00662	29	38	10	47	33	102	91	99	60	54	24	40	594
LINC02987	69	27	13	56	43	255	57	207	88	71	18	23	805
LOC105372348	0	0	0	0	0	3	1	2	0	0	1	0	89
LOC105372347	0	0	0	0	2	3	0	2	0	1	0	1	50
LOC105372346	0	0	0	0	0	0	0	0	0	0	0	0	56
LOC107985269	0	0	0	0	1	2	2	1	0	1	0	0	14
LOC100420587	0	1	7	8	7	3	58	3	15	45	11	4	3
LOC105372349	2	2	0	0	1	0	4	0	1	0	4	2	3
LOC102724908	0	1	0	0	0	0	1	1	0	0	0	0	2
LOC107985336	0	0	0	0	0	1	0	0	0	0	0	0	9
LOC107985335	46	2	0	0	0	0	0	0	0	0	2	0	1
LINC00906	1	0	0	0	0	2	0	1	0	0	2	1	32
LOC102724958	0	0	0	0	0	0	1	0	0	0	0	0	9
LINC01532	1	0	0	0	0	0	0	0	2	1	1	0	6
UQCRFS1	1212	1350	609	1303	1383	1799	1072	1137	1075	1389	167	1141	809
UQCRFS1-DT	7	2	1	5	4	4	3	4	0	0	0	12	111
VSTM2B-DT	0	1	1	1	0	0	3	2	0	0	0	0	7
VSTM2B	0	3	1	22	1	2	6	4	0	3	4	2	4
POP4	685	906	436	812	414	1165	777	984	510	609	137	460	550
LOC105372353	0	0	0	0	1	3	2	4	1	0	0	0	5
PLEKHF1	78	1155	301	1743	304	819	1846	777	513	955	134	719	34
C19orf12	333	799	1201	1021	514	1904	1462	1456	794	924	403	372	796
LOC107985345	0	0	0	0	0	0	0	2	0	0	0	1	3
CCNE1	26	106	31	143	99	771	147	401	163	104	24	86	105
URI1	351	1839	766	2203	1767	2882	2958	2565	1490	1883	208	928	4939
LOC107985271	0	1	0	0	0	0	0	0	1	1	1	0	1
ZNF536	0	0	0	1	1	4	3	13	1	0	3	2	46
LOC105372354	0	0	1	0	0	0	1	0	0	0	0	0	3
LINC01834	0	0	0	0	0	1	0	0	1	0	0	0	0
LOC105372355	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372358	1	1	0	0	0	0	0	0	1	1	1	0	11
LOC105372356	0	0	1	0	0	0	0	1	0	0	3	1	10
TSHZ3	2168	471	796	343	216	82	306	94	82	321	13	107	658
LINC01791	0	0	1	0	0	0	0	1	0	1	0	0	6
TSHZ3-AS1	2	2	4	2	2	1	7	0	1	3	0	0	12
LINC02841	0	0	0	0	0	0	0	0	0	0	1	0	4
THEG5	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105372361	0	0	0	0	0	1	0	4	0	0	0	0	3
LOC105372362	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC01837	1	0	0	0	0	1	0	3	1	0	0	0	4
LOC105372364	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01533	0	0	0	0	0	0	0	3	0	0	0	0	0
LOC105376899	0	0	0	0	2	0	1	1	0	0	1	2	0
LINC01782	0	0	0	0	0	1	0	1	1	0	0	0	0
LOC107985270	0	76	10	69	1	0	102	4	45	176	40	55	0
ZNF507	223	1147	257	1095	558	1332	1411	1110	526	777	125	326	3266
DPY19L3-DT	3	1	1	2	4	5	4	4	11	2	2	4	13
DPY19L3	3705	640	955	684	657	596	674	529	223	543	40	144	4405
PDCD5	164	559	201	505	496	1513	918	1271	686	695	48	267	582
ANKRD27	690	1047	706	1282	1006	1679	1133	1399	561	1036	114	344	1032
SNORA68B	0	12	1	5	8	6	6	8	17	6	4	1	1
RGS9BP	0	2	0	2	4	4	1	2	1	3	2	0	46
NUDT19	415	495	112	370	255	816	644	535	309	488	47	146	277
LOC105372368	0	2	0	1	0	0	1	3	5	1	0	0	2
TDRD12	2	4	0	8	18	9	13	10	20	7	10	9	17
SLC7A9	2	1	0	2	2	5	16	11	17	6	6	4	21
CEP89	27	97	48	112	103	321	278	274	195	213	37	56	746
FAAP24	21	79	30	45	50	205	80	119	65	70	74	81	40
RHPN2	1	10	3	14	4	46	19	17	15	12	6	8	497
GPATCH1	93	315	77	362	210	601	464	531	350	287	22	104	772
WDR88	42	47	23	71	28	89	83	103	13	46	5	14	54
TRT-AGT1-3	0	0	0	1	1	1	0	1	0	0	0	0	0
LRP3	142	122	71	270	191	5	112	20	78	193	20	71	107
SLC7A10	2	0	0	3	1	1	4	3	1	2	0	2	6
CEBPA	1729	1162	982	3318	2186	130	613	513	474	1709	121	582	32
CEBPA-DT	3	11	1	11	11	1	26	6	14	27	0	5	14
CEBPG	477	1780	600	2222	1814	1944	1080	3236	527	1043	248	1074	3167
PEPD	224	935	391	950	930	1242	1064	1165	694	1321	40	236	210
LOC105372370	0	0	0	0	1	1	0	1	0	1	0	0	0
LOC100996681	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST8	3	6	14	12	1	0	9	0	34	24	7	9	44
KCTD15	34	220	46	284	274	72	332	81	170	414	12	79	357
LOC105372371	0	0	0	0	0	1	0	0	0	0	0	0	0
LSM14A	4761	7534	4487	7817	4929	6748	7346	6030	2656	5029	420	2231	3109
GARRE1	101	919	226	891	531	737	1025	632	365	697	156	276	1203
GPI	15035	5192	3849	4841	3617	6536	4672	4130	3096	3727	875	2129	3906
PDCD2L	19	65	31	69	82	259	81	180	88	59	5	20	65
UBA2	1123	3411	1824	3679	2981	4698	3452	3869	1462	2459	167	1071	3988
WTIP	6	10	10	18	15	19	24	29	35	12	42	36	53
ZNF807P	7	13	6	21	10	62	38	60	21	22	3	6	73
LOC105372374	0	0	0	0	1	0	0	0	0	0	0	0	14
SCGB1B2P	8	26	9	24	22	87	85	113	37	25	2	19	241
SCGB2B2	1	8	4	12	8	25	24	41	7	10	5	7	43
SCGB2B3P	0	0	0	0	0	0	0	2	0	0	0	0	13
ZNF302	229	452	321	698	468	1992	1305	2098	702	454	236	506	3324
ZNF181	76	181	91	291	174	662	441	685	150	239	17	61	2490
ZNF599	1	16	6	44	30	109	87	80	48	37	2	15	242
LINC01801	1	13	2	66	37	33	66	22	12	36	0	0	3
LINC00904	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372377	0	1	0	0	0	1	0	2	0	0	0	0	0
LINC01838	0	0	0	1	0	1	0	2	0	0	0	0	3
ZNF30-AS1	0	0	0	0	0	2	1	1	4	1	0	0	20
ZNF30	7	53	11	72	67	186	165	171	82	89	23	36	334
ZNF792	58	372	92	511	127	614	645	402	206	372	19	99	259
GRAMD1A	7094	3508	4041	3238	3022	4607	3428	4258	2515	2309	740	2221	99
SCN1B	94	99	246	140	167	33	148	30	93	121	435	351	31
HPN	1	3	19	7	4	4	4	1	3	4	2	10	0
HPN-AS1	0	1	4	1	4	4	1	2	3	1	6	0	2
FXYD3	0	0	4	0	2	0	3	0	1	3	8	1	20
MIR6887	0	0	0	0	0	0	0	0	0	0	0	0	0
LGI4	1	7	6	8	9	14	16	15	16	7	69	59	41
FXYD1	3	34	10	24	13	42	34	29	44	26	66	44	13
FXYD7	2	87	15	128	66	285	155	224	150	75	81	115	5
FXYD5	3186	9033	2205	8545	5842	6787	9014	7152	7788	7097	2821	7583	41
LOC105372379	2	3	4	10	11	3	6	6	6	6	16	16	0
FAM187B	4	0	0	0	0	1	0	0	3	0	0	1	0
LSR	23	674	130	628	409	2161	1078	1363	750	586	168	582	28
LOC105372380	3	9	6	18	16	34	43	31	16	21	2	6	5
USF2	6105	6373	5946	6382	4912	5960	6690	5548	3059	5015	800	2785	426
HAMP	138	27	11	4	32	2	0	1	0	5	1	13	6
MAG	0	22	3	2	2	1	2	3	0	0	0	0	7
CD22	186	1008	114	423	990	3251	2368	1543	1010	799	73	250	14
MIR5196	3	22	2	12	18	78	41	35	27	19	14	11	0
FFAR1	2	13	7	7	14	10	18	4	9	15	4	18	0
FFAR3	1726	43	1059	26	42	8	38	4	13	113	6	50	0
GPR42	863	31	499	13	19	3	17	3	7	63	0	19	0
LINC01531	10	3	40	3	14	3	0	13	5	6	150	145	0
LOC101927522	124	18	482	35	80	1	7	23	10	46	107	184	3
FFAR2	17292	2564	21552	1668	10786	14	544	263	581	3653	9177	13527	2
KRTDAP	0	0	0	0	0	0	0	0	0	0	0	0	1
DMKN	4	7	1	13	19	10	7	12	21	4	2	15	1
SBSN	0	0	1	1	1	1	1	0	2	1	0	0	0
GAPDHS	8	31	24	92	62	245	122	182	48	81	0	7	22
TMEM147-AS1	25	79	47	161	108	384	285	404	238	168	69	158	55
TMEM147	161	479	245	532	568	903	598	828	693	634	173	565	114
ATP4A	0	1	0	1	2	1	2	3	0	0	0	1	0
LINC01766	0	0	0	0	0	0	0	2	0	0	0	0	0
HAUS5	45	457	96	433	364	1134	862	824	486	443	62	202	120
RBM42	1340	1219	868	1357	1420	2148	1280	1413	1124	1333	294	823	132
ETV2	5	6	5	16	10	25	10	23	17	9	0	7	2
COX6B1	2968	2316	1839	1971	2155	2689	2384	2665	2710	2271	934	2249	206
UPK1A	3	2	5	4	5	9	9	13	3	3	4	4	0
UPK1A-AS1	2	3	4	2	1	4	5	2	1	2	4	4	0
ZBTB32	16	588	39	109	70	866	179	233	238	93	12	75	27
KMT2B	2105	3978	1994	4661	3113	3814	4136	3924	2083	2888	891	1422	140
IGFLR1	2269	1099	1244	1075	1153	3232	1190	3138	1259	1481	328	915	21
U2AF1L4	369	766	515	918	913	956	1299	1186	822	775	518	1312	53
PSENEN	869	696	1424	658	875	1117	541	923	542	816	71	372	80
LIN37	254	188	274	213	226	300	230	301	214	150	29	106	76
HSPB6	2	0	10	5	3	3	3	2	6	1	7	4	162
PROSER3	140	548	155	554	274	1093	881	1138	351	595	104	269	88
ARHGAP33	83	296	63	327	258	443	580	285	231	361	9	116	42
LINC01529	7	1	0	5	2	0	2	5	1	2	0	0	2
PRODH2	0	0	0	0	0	0	0	1	0	0	0	1	0
NPHS1	0	1	2	6	69	7	0	2	0	1	60	43	0
KIRREL2	11	8	10	9	235	50	4	23	0	4	38	53	5
LOC107985317	1	1	3	5	50	6	1	3	0	1	3	14	3
APLP1	6	8	15	22	326	23	4	11	4	13	218	133	235
NFKBID	905	3363	1857	1281	6618	1116	2437	1294	981	3712	2254	5303	19
HCST	1259	1310	976	1692	1820	1065	1888	689	2196	1681	403	1728	0
TYROBP	28107	10369	15292	9563	14507	657	5943	3516	5449	10456	2490	9144	95
LRFN3	2	23	12	97	32	644	341	365	162	171	13	19	40
LOC105372383	0	0	0	0	1	2	1	3	4	1	2	3	1
SDHAF1	60	166	69	208	153	569	190	465	314	174	37	113	40
SYNE4	5	5	4	16	24	39	35	34	27	23	7	21	12
ALKBH6	191	310	221	419	336	837	600	637	504	381	111	309	30
LOC101927572	1	5	5	9	5	34	15	28	17	8	6	5	15
CLIP3	4	25	14	28	35	67	59	78	37	54	39	35	225
THAP8	31	19	17	34	36	89	86	109	68	64	5	12	53
WDR62	55	193	61	124	118	546	150	197	124	100	42	130	79
OVOL3	0	0	2	1	0	3	2	0	1	3	0	1	3
POLR2I	70	235	81	168	128	491	331	456	383	209	94	287	108
TBCB	1971	1400	797	1336	1306	2257	2084	2087	1929	1521	428	1205	804
LOC105372385	3	3	5	12	3	8	4	3	4	9	1	5	8
CAPNS1	13141	10050	7480	8308	6358	6299	8122	6198	5424	8724	1239	4482	784
COX7A1	0	6	0	4	4	2	6	1	3	12	0	0	2
ZNF565	33	85	88	124	139	94	102	122	63	89	127	153	194
ZNF146	267	2472	897	2073	1020	3465	2104	3288	696	1488	74	412	3707
LOC107985304	59	618	218	514	275	647	395	531	87	293	77	70	946
LOC100134317	0	2	0	0	1	3	4	4	1	2	2	1	12
LINC00665	2	21	2	13	29	58	38	33	23	42	22	16	166
ZFP14	75	141	61	392	233	623	495	505	276	322	134	157	1293
ZFP82	24	160	22	183	155	366	220	332	149	128	62	182	2073
LOC644189	0	0	0	0	0	1	0	2	0	0	1	0	0
ZNF566	34	190	90	246	141	422	344	461	208	227	90	147	1282
ZNF566-AS1	1	12	7	13	10	74	30	60	17	17	37	24	14
ZNF260	93	334	105	429	226	695	468	667	157	235	46	123	3831
ZNF529	110	878	270	1057	1394	1149	1232	1273	460	661	708	801	2403
ZNF529-AS1	54	70	49	134	97	83	84	93	44	68	51	94	197
ZNF382	18	42	15	61	78	263	173	234	69	87	40	45	1008
ZNF461	57	155	76	262	254	270	299	261	130	176	69	172	674
ZNF567	76	359	57	339	291	376	374	355	123	176	28	61	901
ZNF567-DT	4	18	10	52	21	40	42	39	24	17	9	31	57
ZNF850	30	101	31	100	42	234	168	231	117	88	103	125	1025
LOC728485	1	3	0	7	1	26	9	13	7	5	10	9	25
ZNF790-AS1	1	46	13	35	34	47	49	41	48	43	6	45	188
ZNF790	20	75	38	138	48	203	115	172	79	92	88	88	1067
ZNF345	39	180	84	385	140	390	338	422	137	189	66	105	259
ZNF829	8	137	60	189	152	347	177	281	68	90	22	66	1233
ZNF568	36	146	64	226	144	369	265	360	116	158	29	81	1753
ZNF420	37	247	118	364	149	476	388	390	208	207	48	95	1212
LOC105372390	0	0	0	2	0	2	0	2	0	0	0	1	48
ZNF585A	164	240	118	216	173	468	333	412	161	209	27	57	1335
ZNF585B	65	162	59	212	159	645	523	622	207	308	14	37	1493
ZNF383	197	494	207	753	384	643	562	644	279	430	243	347	874
LINC01535	0	2	1	2	3	11	11	7	3	6	7	5	146
LOC284412	1	1	1	3	2	9	6	11	4	9	4	1	70
ZNF875	149	626	266	939	651	1317	1470	1441	530	850	358	819	1461
ZNF527	14	127	65	171	152	288	242	237	111	123	36	90	795
ZNF569	51	208	100	250	205	327	328	276	123	177	21	63	983
ZNF570	48	260	107	394	298	409	329	386	202	172	302	251	1765
ZNF793-AS1	1	3	0	3	0	17	8	9	4	3	4	2	16
ZNF793	10	92	12	83	46	125	129	131	91	76	82	90	605
ZNF571-AS1	10	27	29	45	66	32	37	23	20	24	34	26	149
ZNF540	14	54	84	264	301	231	133	205	84	52	53	89	242
ZNF571	15	182	204	259	420	189	131	182	55	96	15	154	558
ZFP30	47	141	85	188	303	381	280	269	77	169	37	84	2243
ZNF781	0	18	6	24	13	92	74	69	39	44	19	12	250
ZNF607	16	62	31	102	123	322	176	257	53	96	5	15	885
ZNF573	4	44	18	93	46	113	104	90	67	74	28	57	864
LOC105372394	2	2	0	0	2	0	3	0	4	1	5	5	0
LOC644554	0	0	0	0	0	3	0	0	0	1	0	0	3
WDR87BP	0	0	0	0	1	1	1	0	0	1	0	0	2
LOC105372395	0	0	0	0	0	0	0	0	1	0	1	1	0
WDR87	0	1	0	0	0	2	0	3	0	1	6	1	0
LOC107985301	0	0	0	0	0	0	1	0	0	0	0	1	0
SIPA1L3	286	677	250	1066	874	2242	1721	1661	609	1174	122	267	386
