	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
KLHL21	2076	920	754	1454	3309	1579	881	1222	432	651	209	1576	128
LOC107984913	10	3	6	16	22	2	8	4	4	12	3	15	36
PHF13	391	292	253	461	900	989	419	652	202	292	63	229	160
THAP3	126	328	136	428	395	785	536	712	564	360	122	266	209
DNAJC11	103	712	213	880	564	1358	1086	1114	580	791	46	188	579
LINC01672	0	0	0	0	0	0	0	1	0	1	0	0	0
CAMTA1-DT	1	5	4	13	18	16	9	6	30	12	38	16	9
CAMTA1	181	618	424	553	925	716	891	797	681	676	359	756	1949
LOC105376692	0	0	0	0	0	0	0	1	0	0	0	0	7
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	12
CAMTA1-AS1	0	0	0	0	0	0	0	0	0	0	1	0	7
LOC105376691	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105376689	0	29	3	7	19	15	39	20	27	24	2	8	73
VAMP3	5196	3658	3844	3003	3616	1178	1990	1618	936	3275	226	1512	1420
PER3	15	230	133	334	320	291	323	272	88	313	33	156	1005
UTS2	0	9	2	9	355	93	27	37	37	256	100	288	2
TNFRSF9	33	448	190	230	234	3758	97	839	47	107	76	169	35
PARK7	1091	2259	980	1824	1687	4461	2380	3134	2007	2287	273	975	2085
ERRFI1	28	82	101	86	230	87	104	103	16	81	13	20	2066
LOC107984915	0	0	1	0	0	0	1	0	1	1	0	0	1
LINC01714	0	0	0	0	0	0	0	3	0	1	1	3	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	1	1	0
SLC45A1	0	11	6	10	9	33	25	18	20	20	1	4	33
RERE	2604	3153	3955	3543	3914	2997	5014	2626	1593	4507	696	1509	1453
RERE-AS1	33	15	162	31	46	30	56	46	39	38	14	33	59
SNORD128	0	0	0	0	0	0	1	2	0	0	0	0	9
ENO1	33992	22638	21067	20677	17502	34445	11722	19763	10406	14382	2187	6129	20311
MIR6728	2	1	4	2	2	1	2	1	3	3	0	0	4
ENO1-AS1	6	16	8	9	9	13	16	13	10	8	2	7	8
LOC112268261	7	57	25	41	66	676	428	859	439	112	495	205	9
CA6	3	55	29	49	42	448	251	317	293	108	137	126	0
SLC2A7	0	0	0	1	0	3	3	1	0	0	0	0	0
SLC2A5	30	386	97	99	64	199	139	107	193	61	6	20	417
GPR157	15	383	378	227	131	897	164	1589	75	97	51	66	100
MIR34AHG	0	58	6	9	0	71	14	209	6	10	5	6	219
MIR34A	0	0	0	1	0	0	0	1	0	0	0	0	1
LNCTAM34A	0	1	1	2	0	6	2	9	1	0	0	0	27
H6PD	2054	3084	2914	2688	1183	3288	2807	4690	1081	2329	802	829	1322
SPSB1	101	542	214	324	207	447	309	867	150	178	24	161	257
