	GSM3745998	GSM3745999	GSM3746000	GSM3746001	GSM3746002	GSM3746003	GSM3746004	GSM3746005	GSM3746006	GSM3746007	GSM3746010	GSM3746011	GSM3746012
MUS81	751	1056	663	856	819	984	1235	970	539	513	510	671	604
EFEMP2	61	81	52	59	88	127	107	61	35	23	27	33	47
CTSW	714	1599	746	1202	803	1241	1360	1042	689	686	334	618	501
FIBP	986	1640	793	1073	916	1182	2022	1645	927	695	988	1116	1161
CCDC85B	102	222	135	175	182	212	519	396	216	159	143	220	153
FOSL1	52	59	33	47	43	68	43	30	23	29	20	21	23
C11orf68	207	300	209	219	231	338	340	310	203	188	167	249	203
DRAP1	600	1050	437	859	585	981	1446	1185	1123	524	601	698	836
LOC105369349	5	1	6	7	2	2	7	5	3	4	3	4	5
LOC105369350	0	0	0	0	0	0	0	1	0	0	0	0	0
TSGA10IP	2	1	1	6	1	0	4	5	2	0	0	1	7
SART1	803	1505	683	987	795	1116	2014	1516	907	594	730	880	853
EIF1AD	542	695	462	575	449	590	591	509	373	321	249	440	329
BANF1	507	1068	407	675	490	657	1285	1045	599	436	493	559	491
CST6	1	1	1	0	0	12	1	0	1	2	0	0	0
CATSPER1	17	30	31	34	47	79	27	28	17	37	11	33	31
GAL3ST3	4	0	5	4	5	6	3	0	1	0	0	0	1
SF3B2	3090	4871	2655	3348	2460	3512	6108	5385	3396	2570	2992	3412	3299
SNORD13F	8	4	3	6	5	5	6	3	2	3	1	3	3
PACS1	765	383	602	552	324	420	417	248	225	161	132	316	221
LOC105369354	21	7	16	10	4	8	5	1	4	0	2	8	5
KLC2	107	101	95	64	104	110	122	93	46	54	49	69	46
KLC2-AS1	55	34	44	29	35	46	51	41	26	17	33	42	11
KLC2-AS2	4	2	2	3	5	2	1	3	5	4	1	0	5
RAB1B	1065	1529	880	1095	1224	1327	1282	1034	705	551	507	729	656
LOC107984340	196	261	138	166	179	225	209	173	106	106	95	110	115
CNIH2	3	5	5	8	2	10	11	7	2	4	2	8	0
YIF1A	255	565	233	412	239	508	749	617	323	286	283	402	305
TMEM151A	0	0	0	0	0	3	0	1	0	0	0	0	0
CD248	1	1	0	1	1	0	2	0	0	3	1	1	0
RIN1	42	86	58	83	61	118	113	92	71	49	43	53	45
BRMS1	681	1229	550	672	622	790	1384	1182	627	443	540	666	610
B4GAT1	239	293	206	173	164	243	373	231	148	180	140	242	241
B4GAT1-DT	46	32	41	29	36	30	29	32	27	12	11	17	11
TRS-GCT3-1	3	2	2	6	2	2	2	5	3	3	3	3	0
SLC29A2	510	407	442	367	421	350	413	321	294	214	158	238	202
NPAS4	1	2	1	0	0	0	1	0	0	0	2	0	0
MRPL11	793	1518	638	800	546	836	2089	1915	981	665	1008	1029	957
PELI3	98	142	93	104	98	167	114	81	62	88	38	77	78
DPP3-DT	44	52	42	46	49	51	53	40	37	23	17	42	29
DPP3	1033	1975	831	1200	825	984	2320	1890	1098	727	951	1059	978
BBS1	149	214	138	150	147	197	247	195	97	127	88	157	102
ZDHHC24	386	572	401	438	369	505	788	542	361	374	292	494	396
ACTN3	2	2	1	2	2	2	2	2	2	2	2	2	1
CTSF	108	138	106	66	113	133	115	64	49	64	62	119	103
CCDC87	5	4	3	2	2	4	4	4	5	2	3	5	2
CCS	314	495	282	421	397	439	516	438	272	250	208	293	296
RBM14-RBM4	609	796	483	583	524	540	1030	817	541	409	420	593	445
RBM14	1893	1954	1562	1678	1158	1226	2474	1791	1172	705	915	1299	938
RBM4	1436	1751	1185	1278	1211	1209	2037	1608	1104	974	967	1340	943
RBM4B	542	688	488	535	492	526	770	660	439	450	416	579	431
SPTBN2	151	183	114	120	54	98	162	114	88	52	29	101	91
C11orf80	105	124	98	92	103	122	139	97	76	97	67	102	90
RCE1	231	276	155	203	189	252	420	281	202	140	153	209	163
PC	234	255	170	152	215	150	213	170	97	54	75	80	77
LRFN4	297	509	231	295	229	332	733	489	282	144	223	296	258
MIR3163	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105369355	1	1	2	1	2	1	0	1	0	0	2	0	0
C11orf86	0	1	0	0	0	0	0	0	0	0	0	0	0
SYT12	0	0	0	1	0	2	0	0	2	0	0	0	0
MIR6860	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOD	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984341	3	3	5	2	0	4	3	2	2	1	0	1	2
KDM2A	2938	2530	2185	2759	2030	2631	2634	2022	1763	1432	1144	1929	1648
GRK2	4851	7516	4189	5446	5770	7658	7220	5869	3384	3150	2780	4035	3499
ANKRD13D	1191	1375	1050	1342	1398	1757	1472	1063	780	771	558	890	716
SSH3	279	268	217	195	267	311	236	165	103	118	68	103	117
LOC100130987	20	40	15	16	16	24	21	21	10	14	10	23	23
POLD4	209	475	229	370	357	737	407	323	222	307	181	343	297
CLCF1	26	28	34	36	29	39	33	38	21	26	17	20	18
RAD9A	401	682	383	476	424	486	780	585	363	253	284	369	343
PPP1CA	3283	5262	2577	3381	3178	3525	6458	5350	3272	2615	2795	3397	3200
TBC1D10C	635	818	555	644	889	902	983	692	398	442	372	537	496
CARNS1	41	35	31	37	22	24	31	31	20	19	6	34	20
RPS6KB2	1010	1432	737	850	895	933	1502	1258	678	562	581	663	629
CORO1B	1709	2144	1519	1677	2043	2033	2546	1978	1100	1169	912	1461	1238
PTPRCAP	313	361	210	190	260	248	923	657	297	291	331	489	402
GPR152	2	2	0	0	2	0	0	0	0	0	0	0	0
CABP4	5	2	3	5	4	6	2	2	2	3	0	2	0
TMEM134	71	108	74	71	106	101	109	95	60	49	51	71	58
AIP	666	1060	552	779	792	1080	1287	951	566	516	452	779	674
MIR6752	0	3	1	2	1	1	3	3	2	2	1	2	0
PITPNM1	688	891	575	661	829	889	1016	783	495	471	391	622	513
CDK2AP2	248	562	227	386	300	418	688	531	241	184	247	327	286
CABP2	0	0	0	0	1	1	0	0	0	0	0	0	0
GSTP1	2731	6830	2718	5048	2780	4775	7515	6128	3884	2834	3085	4221	3882
NDUFV1-DT	2	0	2	0	4	3	2	1	1	2	0	1	0
NDUFV1	1840	3374	1497	2099	1479	2225	4138	3352	1746	1306	1600	2025	1798
DOC2GP	6	9	8	11	6	4	14	5	3	3	2	11	4
NUDT8	51	118	53	56	38	66	104	99	45	31	52	80	49
TBX10	1	0	1	0	0	1	8	2	0	1	1	2	5
ACY3	95	228	109	115	119	168	430	291	185	167	143	187	139
ALDH3B2	0	0	0	0	0	0	2	0	1	0	0	1	1
LOC105369358	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379406	1	0	1	0	0	0	0	0	2	0	1	0	0
FAM86C2P	13	46	26	32	8	30	84	39	16	20	35	41	32
LINC02754	1	1	1	1	1	1	0	0	0	0	0	0	0
LOC112268076	6	1	2	2	3	3	0	1	1	2	0	0	0
UNC93B1	472	825	468	1031	504	1227	962	743	1357	433	373	583	835
ALDH3B1	120	367	187	291	200	503	208	152	149	169	120	256	203
NDUFS8	842	1421	713	1039	834	1103	1560	1223	765	492	593	761	690
MIR7113	9	8	6	7	10	6	12	8	2	3	2	2	3
MIR4691	10	21	9	14	11	19	33	20	14	7	8	11	9
TCIRG1	1930	2674	2004	2851	2600	4360	2839	2146	1803	1472	969	1684	1486
MIR6753	8	14	7	19	18	21	10	8	6	7	3	5	5
CHKA	1496	1298	1405	1444	1261	1195	1280	857	797	812	640	1237	885
CHKA-DT	10	8	5	3	11	2	2	8	2	6	3	3	3
KMT5B	978	1012	772	973	930	872	1301	946	795	901	684	1332	892
C11orf24	210	347	209	279	283	380	428	340	228	162	162	295	233
LOC105369363	11	8	2	12	20	17	6	6	3	6	2	9	10
LRP5	831	733	554	520	609	649	868	613	340	290	280	411	308
PPP6R3	5824	6240	4171	5176	4682	5186	6302	5171	4030	3654	3581	5308	4009
LOC107984343	8	13	4	17	1	5	14	14	12	3	1	4	0
GAL	25	55	15	63	6	13	39	50	29	9	12	11	7
TESMIN	254	284	179	234	187	229	312	221	201	211	117	217	121
CPT1A	5238	6114	3952	4306	3167	3268	6856	5593	3640	2940	3605	4539	3659
LINC02701	68	73	61	70	32	33	64	63	64	41	60	72	72
MRPL21	477	958	424	553	338	589	1036	1042	587	429	699	636	622
IGHMBP2	530	565	381	436	397	486	637	436	320	281	225	267	200
MRGPRD	0	0	0	0	0	0	0	0	0	0	0	0	0
MRGPRF	1	0	0	2	1	6	0	0	0	0	2	0	4
MRGPRF-AS1	0	1	0	0	1	0	0	0	0	0	1	0	0
TPCN2	426	568	357	439	285	447	582	515	288	245	218	328	263
MIR3164	2	8	2	3	1	6	0	3	1	3	1	3	5
LOC107984344	20	21	23	26	11	25	32	24	13	15	22	24	12
LOC338694	0	0	2	0	1	0	1	0	1	2	0	0	0
SMIM38	8	10	13	16	10	20	9	9	13	9	7	16	8
LOC105369366	0	0	0	1	0	1	0	0	0	0	0	0	0
LOC105369367	0	1	0	0	0	0	0	1	0	2	0	0	0
LOC105369368	0	0	0	1	0	0	0	0	0	0	0	0	0
MYEOV	8	33	15	31	4	19	3	4	5	0	2	3	4
LOC105369370	2	14	22	43	3	9	1	2	7	1	0	4	2
LINC02953	0	1	0	0	0	0	0	0	0	1	0	0	1
LINC02747	0	0	0	1	0	0	0	0	1	0	0	0	0
LINC01488	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND1	25	177	74	150	26	120	47	22	42	25	21	53	56
LTO1	197	302	170	259	194	247	305	271	178	172	160	184	189
FGF19	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF4	0	0	0	0	0	0	0	1	0	1	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984368	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984355	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02753	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369371	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02584	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369372	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928473	0	0	0	0	0	0	0	0	0	0	0	0	0
FADD	413	696	368	444	475	578	700	635	444	381	357	472	426
PPFIA1	1260	1306	1079	1348	1058	1386	1225	954	861	816	627	987	725
MIR548K	4	2	1	0	1	0	0	0	1	0	0	1	0
LOC107984346	27	5	21	14	3	8	3	6	2	4	2	12	1
LOC105369373	70	61	65	53	56	56	67	42	45	38	32	50	35
LOC107984347	185	135	122	183	108	132	128	69	59	63	45	87	67
CTTN	83	210	250	454	372	608	123	104	115	221	27	83	87
SHANK2	1	1	5	6	3	0	3	3	5	3	3	7	3
SHANK2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
SHANK2-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3664	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTE1P	0	1	0	0	0	1	0	0	0	0	0	0	1
DHCR7	2429	2117	2085	2389	2415	2573	2022	1606	1888	1679	1088	2122	1988
NADSYN1	1237	2113	1213	1664	1402	2057	2027	1516	1097	1105	862	1428	1223
MIR6754	1	1	1	1	3	2	1	0	1	1	1	1	1
KRTAP5-7	3	1	0	1	2	2	1	0	0	0	1	0	0
KRTAP5-8	0	1	1	1	0	0	0	0	0	0	0	0	2
KRTAP5-9	2	2	4	1	2	0	1	0	4	0	1	1	0
KRTAP5-10	2	0	1	1	0	0	3	0	3	0	1	1	0
KRTAP5-11	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379409	3	2	2	3	1	1	2	3	2	3	2	1	1
FAM86C1P	77	173	68	75	54	62	132	103	68	49	76	79	75
ALG1L9P	37	40	34	31	23	22	29	37	14	6	14	14	17
ZNF705EP	26	24	14	27	7	13	12	19	14	21	7	30	19
DEFB108B	5	3	1	2	2	3	3	0	0	0	0	3	2
XNDC1N	86	110	89	109	65	85	126	93	68	57	65	149	83
DEFB131B	18	11	24	19	5	18	10	13	9	7	6	23	10
RNF121	460	494	401	434	318	468	508	359	284	234	224	282	261
IL18BP	181	176	155	192	117	127	201	189	109	59	71	107	108
NUMA1	3655	4442	2932	3154	3252	3536	6841	5613	3063	2803	2719	3509	2784
LOC100128494	1074	1186	850	873	907	994	1892	1562	845	779	787	998	738
MIR3165	5	0	2	0	2	0	2	1	1	0	0	0	0
LRTOMT	402	683	461	595	441	549	855	600	396	367	335	545	377
LAMTOR1	1288	2495	1409	2028	1842	2201	2561	2049	1403	1413	1162	1703	1414
ANAPC15	172	460	178	276	184	267	506	421	215	188	240	246	219
FOLR3	3	5	5	21	48	113	5	1	4	36	7	36	42
FOLR1	1	2	0	3	0	3	0	0	0	0	0	1	3
FOLR2	3	12	5	8	10	11	5	2	5	3	1	5	4
INPPL1	2512	2755	2264	2335	3104	2965	2536	2008	1372	1384	958	1521	1311
PHOX2A	3	5	3	1	3	5	4	0	2	2	2	5	2
CLPB	2136	2621	1513	1864	1542	1973	2603	2320	1641	1242	1345	1695	1441
LOC112268077	92	22	78	59	22	13	30	14	18	9	9	14	8
LOC105369376	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC01537	0	0	2	2	0	1	0	0	0	2	0	0	0
PDE2A	4	7	8	22	23	30	5	2	3	3	0	9	5
PDE2A-AS2	0	0	0	0	2	2	0	0	0	0	0	0	2
LOC105369377	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR139	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE2A-AS1	1	1	1	2	0	0	0	0	3	1	0	0	0
ARAP1	1765	1990	1722	2300	2221	3169	2077	1644	1016	952	780	1144	1065
ARAP1-AS2	85	105	86	110	122	146	98	100	68	43	45	62	60
STARD10	127	133	118	104	235	233	109	81	78	87	63	84	87
MIR4692	0	0	1	0	2	1	0	0	0	0	0	0	0
LOC105369380	57	82	45	61	89	108	74	46	28	39	20	42	41
LOC107984421	130	178	114	153	192	240	127	107	99	144	55	86	85
ATG16L2	1379	1174	1427	1324	1463	1676	1231	860	756	725	473	881	704
FCHSD2	2012	1425	1448	1906	1087	1421	1661	1243	1904	1245	1155	2114	1757
IUR1	9	1	5	18	3	17	9	6	14	11	6	10	15
P2RY2	412	822	586	740	462	773	1066	748	580	534	364	575	488
LOC105369382	2	16	9	16	10	7	18	28	15	6	3	15	6
P2RY6	20	81	39	158	30	170	205	154	294	106	64	170	183
ARHGEF17	393	369	370	360	317	319	410	308	179	261	145	322	222
ARHGEF17-AS1	11	5	7	9	9	11	16	19	7	8	5	12	5
RELT	679	1099	741	1077	948	1573	1401	1096	846	820	470	810	628
FAM168A	1612	1328	1462	1762	1154	1389	1545	1136	1190	889	657	1389	1073
PLEKHB1	25	29	23	16	21	17	19	9	9	2	7	5	8
RAB6A	1497	1817	1458	1945	1942	2440	1811	1572	1321	1469	1078	1635	1393
MRPL48	463	759	342	439	416	502	824	813	510	422	548	564	506
COA4	689	1325	611	898	586	904	1349	1209	726	612	780	775	773
PAAF1	275	419	277	360	195	264	446	362	262	200	256	345	291
DNAJB13	14	12	21	16	11	8	17	6	5	8	4	9	7
UCP2	504	408	515	517	237	302	438	220	276	168	133	377	293
UCP3	27	22	28	34	18	17	32	23	10	21	12	25	9
C2CD3	1038	775	945	1073	520	622	964	623	664	447	454	955	679
PPME1	561	708	513	570	465	671	761	597	417	326	331	489	397
LOC105369383	52	38	33	42	18	28	26	24	25	14	8	38	13
P4HA3	0	1	1	0	2	0	1	0	0	1	1	3	0
P4HA3-AS1	0	1	1	0	0	1	0	0	0	0	0	0	0
LOC112268078	7	2	6	2	1	3	1	2	1	1	3	3	4
PGM2L1	384	322	255	272	284	246	423	343	283	284	251	415	317
MIR548AL	2	1	2	0	4	2	1	1	0	0	0	1	1
KCNE3	624	1054	931	1390	1312	1820	990	883	899	1498	520	1033	840
LIPT2	69	98	51	85	59	84	89	76	52	63	63	87	61
LIPT2-AS1	30	47	19	51	30	35	64	50	34	45	48	44	47
LOC105369386	0	0	0	0	0	0	0	0	0	0	0	0	0
POLD3	969	1638	763	1130	792	1130	2012	1804	1281	968	1285	1389	1113
CHRDL2	1	0	0	1	0	2	0	0	0	0	0	0	0
MIR4696	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF169	1728	1754	1507	1781	1218	1473	2000	1454	1621	1279	1141	2097	1551
XRRA1	806	658	702	820	516	539	543	380	394	290	391	818	555
LOC107984352	32	22	18	22	7	18	6	7	6	2	6	18	16
SPCS2	775	853	558	764	551	769	916	673	550	492	576	710	605
NEU3	1064	1819	1079	1479	836	1227	1861	1624	1129	936	1106	1521	1229
OR2AT4	6	3	5	7	22	7	0	0	0	5	0	0	0
LOC107984358	0	0	1	1	0	0	0	0	0	0	0	0	0
SLCO2B1	22	89	69	113	137	63	83	49	76	141	9	34	32
LOC105369388	4	7	7	9	14	7	4	3	3	11	1	6	1
TPBGL	0	0	0	1	1	0	1	0	0	0	0	0	0
ARRB1	4351	4849	3431	4248	4505	5580	4729	3910	2810	3196	2365	3608	3203
MIR326	9	13	11	11	6	2	1	3	1	0	2	0	2
RPS3	18835	35744	16971	22881	21570	30674	40102	33447	21138	25329	19684	26963	25155
SNORD15A	36	81	49	59	42	66	52	50	23	27	33	23	20
SNORD15B	224	326	232	235	283	354	96	63	60	27	44	52	28
KLHL35	12	21	11	7	9	6	16	10	4	7	2	18	6
GDPD5	109	141	114	119	148	137	154	119	74	51	37	83	58
LOC105369389	20	21	17	22	19	16	30	9	11	4	2	14	2
SERPINH1	187	395	211	332	233	309	825	621	412	365	266	417	306
LOC105369391	0	5	2	0	0	0	0	0	0	1	2	2	0
MAP6	3	0	3	0	2	3	1	1	1	1	0	3	2
LOC105369392	0	0	0	0	0	0	0	0	0	0	0	0	0
MOGAT2	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105369393	1	0	0	0	0	1	3	0	0	0	0	0	0
DGAT2-DT	0	0	0	0	0	0	0	0	1	0	0	0	0
DGAT2	27	71	29	60	36	134	72	80	44	74	31	61	45
UVRAG-DT	3	1	1	3	3	4	3	1	6	4	1	6	3
UVRAG	1590	1675	1330	1782	1181	1368	2111	1607	1960	1344	1156	2145	1608
WNT11	9	55	31	39	43	34	19	5	6	12	3	11	9
LOC112268079	4	3	3	4	5	10	1	2	0	6	0	3	3
LINC02761	1	1	1	1	0	2	1	0	0	0	0	1	3
TRP-AGG2-4	0	0	0	0	0	0	1	0	0	0	0	0	2
TRP-TGG2-1	1	1	0	0	1	0	1	0	0	3	0	0	0
LOC105369395	1	0	0	0	0	0	0	0	0	0	0	0	0
THAP12	1779	2507	1287	1607	1520	1529	2926	2512	1643	1667	1987	2384	1687
GVQW3	282	292	260	226	240	270	276	214	178	204	175	294	199
EMSY	1109	805	881	1012	632	691	755	426	585	395	323	823	479
LINC02757	3	23	32	44	24	16	4	4	11	17	1	12	10
LRRC32	63	146	313	457	321	417	18	15	36	106	9	49	52
LOC107984360	12	23	35	78	66	48	13	6	12	41	0	8	11
GUCY2EP	1	0	0	0	0	0	0	0	0	2	0	0	0
LOC105369397	0	0	0	0	0	0	0	0	0	0	0	0	0
TSKU	25	34	13	37	8	44	42	50	28	13	10	15	20
TSKU-AS1	1	0	1	0	0	0	2	2	1	0	0	6	0
ACER3	1201	1179	1164	1628	1611	1743	1102	823	926	1098	672	1310	984
B3GNT6	0	0	1	0	0	1	0	0	0	0	0	0	0
LOC105369399	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369400	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN5	23	16	31	26	40	56	25	17	10	11	8	21	10
OMP	2	1	0	0	0	2	0	0	0	0	1	0	0
MYO7A	8	25	13	22	21	25	51	37	31	32	3	25	8
GDPD4	6	1	9	13	21	19	5	3	5	4	2	5	3
PAK1	1535	2928	1576	2431	1471	2479	3913	3355	2913	1861	2420	3322	2962
LINC03030	14	10	18	9	4	5	3	4	5	3	5	16	2
AQP11	80	71	73	57	49	42	66	28	35	29	44	65	31
CLNS1A	2731	4640	2343	3032	2589	3487	5218	4705	3053	3060	3327	3570	3151
LOC107984369	0	0	0	0	0	0	2	0	0	0	0	0	0
RSF1	2190	1708	1820	1902	1490	1636	1959	1467	1585	1295	1093	2187	1510
AAMDC	149	172	105	125	101	119	175	125	122	94	90	125	114
INTS4	1128	1403	1018	1145	983	1190	1267	1082	865	884	784	1228	976
NDUFC2-KCTD14	556	751	390	507	636	642	630	522	321	259	264	408	319
KCTD14	4	5	4	6	8	5	4	6	5	3	3	8	4
THRSP	15	17	15	13	20	22	14	5	3	9	11	7	11
NDUFC2	901	1105	613	761	1077	1010	890	720	495	482	446	644	503
LOC105369401	44	2	6	4	35	9	1	0	2	4	0	0	0
ALG8	1003	1138	685	812	743	829	1865	1536	1119	849	1070	1257	1027
KCTD21-AS1	55	28	48	30	37	35	57	52	47	51	43	56	58
KCTD21	230	193	194	173	247	233	138	115	116	147	66	153	130
USP35	378	326	325	327	350	423	272	213	186	162	138	235	209
GAB2	1191	1386	1182	1377	1442	1927	1428	1121	828	1137	739	1408	1038
LOC105369402	58	14	56	46	16	12	18	6	6	9	2	24	11
LINC02728	37	43	42	35	25	28	60	24	23	35	16	44	30
NARS2	941	1016	693	714	587	698	1307	1110	720	697	816	946	793
LOC105369403	106	25	54	55	18	15	39	24	35	10	11	64	15
LOC101928896	44	11	28	17	10	8	10	9	9	5	12	27	6
TENM4	0	1	0	0	0	1	0	1	0	0	0	4	0
MIR708	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5579	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369405	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984424	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369406	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC105369408	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369409	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02720	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4300HG	1	0	0	1	0	2	1	0	0	0	0	1	0
MIR4300	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984423	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369410	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM181B	0	0	1	0	0	0	0	0	0	1	0	0	0
LINC02734	5	0	3	4	0	2	2	1	1	1	1	1	1
PRCP	1382	1850	1159	1500	1418	1797	1601	1471	1249	1544	1037	1533	1364
DDIAS	657	728	423	508	339	414	731	621	431	280	447	491	400
RAB30	52	57	107	156	166	135	61	29	97	68	37	109	88
SNORA70E	1	0	0	0	0	0	0	0	0	0	0	0	0
RAB30-DT	179	192	128	160	143	163	173	151	111	125	103	132	80
PCF11	2722	3569	2513	3269	2779	3439	3789	2930	2765	2953	2099	3776	2815
ANKRD42-DT	137	195	131	181	134	189	213	157	179	189	140	236	185
PCF11-AS1	39	56	30	43	32	38	36	32	36	32	28	46	37
ANKRD42	224	211	193	216	158	210	232	143	158	140	88	187	158
CCDC90B	706	838	463	647	609	661	1016	810	594	635	553	827	622
LOC105369420	7	1	7	4	1	4	0	1	0	1	1	1	0
DLG2	48	45	56	53	40	33	55	33	34	37	25	67	40
LOC107984425	0	0	1	0	1	0	1	0	0	0	0	3	0
DLG2-AS2	0	1	1	1	0	0	0	0	0	0	0	1	0
LOC105369416	0	0	0	0	0	0	0	0	0	0	0	1	0
TMEM126B	843	1135	647	762	728	867	1001	908	755	610	676	930	680
TMEM126A	439	679	310	491	369	505	701	574	420	366	425	521	353
CREBZF	2454	2757	1874	2021	2553	2810	2682	2077	1696	1732	1284	2191	1696
CCDC89	3	2	8	3	6	1	0	1	2	0	0	1	2
SYTL2	284	407	391	409	735	630	374	295	299	534	186	491	373
CCDC83	2	0	0	5	1	1	1	0	1	0	0	1	0
PICALM	4654	3793	3657	4421	3588	4489	3808	2658	2997	2638	2106	4218	2910
LINC02695	0	0	0	2	4	5	5	6	2	7	4	5	3
EED	1261	1106	762	895	725	981	1090	836	805	556	590	863	704
MIR6755	9	7	3	7	6	3	2	2	5	2	2	5	14
HIKESHI	563	892	504	709	560	751	1029	925	672	557	568	728	633
LOC105369421	16	6	15	7	4	6	11	5	8	4	0	13	5
CCDC81	9	19	10	17	8	20	24	16	25	17	7	17	12
ME3	88	136	80	120	51	85	150	133	98	90	44	143	81
ME3-DT	12	5	14	16	5	4	13	9	9	3	3	12	10
LOC102724775	1	0	2	1	0	1	0	0	1	0	0	0	0
PRSS23	26	22	11	20	11	15	7	2	9	2	1	3	10
OR7E2P	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC112268086	0	0	2	0	0	0	0	0	0	0	0	1	0
LOC107984429	0	0	0	0	0	2	0	0	0	0	0	0	0
LOC107984428	2	0	5	0	6	1	0	0	0	0	1	0	3
FZD4	38	36	39	46	30	35	17	18	30	16	4	13	16
FZD4-DT	1	0	0	1	1	0	3	0	0	0	0	0	0
LOC105369422	1	0	1	0	1	0	0	0	0	1	2	1	2
TMEM135	860	773	797	1117	776	1047	807	582	715	779	498	1036	789
LOC107984361	5	0	2	4	5	2	0	0	4	5	0	2	2
LINC02711	0	0	2	0	0	1	0	0	0	0	0	0	0
RAB38	239	286	284	397	414	371	162	142	158	168	85	204	132
MIR3166	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	5330	8061	4773	6091	5782	6800	9329	8311	7733	7720	5621	8947	7349
LOC101929174	30	34	37	49	19	36	63	41	45	39	32	92	39
GRM5	0	0	0	0	0	0	0	3	2	0	0	2	1
GRM5-AS1	0	0	0	0	0	0	0	1	2	0	0	0	0
LOC107984363	0	0	0	0	0	0	0	0	0	2	0	0	0
TYR	0	0	0	0	0	0	0	0	0	0	0	0	0
NOX4	0	0	0	0	0	0	0	0	0	0	0	0	0
FOLH1B	1	2	0	0	0	0	0	0	0	0	0	0	0
TRIM77	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369176	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64B	2	7	3	10	6	4	0	0	0	0	0	1	1
TRIM49D1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49D2	0	0	0	0	1	0	0	0	0	0	0	0	0
TRIM64	0	1	2	3	2	0	0	0	0	0	0	1	0
TRIM51EP	1	1	1	3	0	2	0	0	0	0	0	1	0
TRIM53AP	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49C	0	0	0	0	0	0	0	0	0	0	0	0	0
UBTFL1	0	0	0	0	0	0	1	1	0	0	0	4	0
NAALAD2	111	98	75	74	53	42	98	44	73	35	49	120	68
CHORDC1	1252	1458	991	1187	941	1018	1659	1334	1308	886	982	1213	929
DISC1FP1	4	3	2	2	3	1	1	3	0	2	0	12	5
MIR4490	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR1261	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02748	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984371	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02756	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369429	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	1	5	1	0	3	0	13	3	2	2	4	5	1
LINC02746	0	0	0	0	0	0	0	0	0	0	0	0	0
MTNR1B	1	0	0	2	0	0	0	0	0	0	0	0	0
SLC36A4	862	760	657	795	594	765	676	429	543	562	417	764	504
LOC112268080	0	1	1	0	0	1	0	0	0	0	0	0	0
DEUP1	2	1	2	3	0	2	3	1	1	4	4	4	0
SMCO4	203	306	194	299	151	378	361	277	247	208	165	254	210
CEP295	2821	3123	2323	2886	2071	2319	3623	2823	2590	2411	2246	3503	2474
SCARNA9	224	426	245	329	592	723	492	401	392	539	326	554	488
