GeneID	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
10194	0	-0.6926123512763982	0	-0.4772126466688436	-0.037904872457915184	0
10195	0	-0.4552683001983686	-0.677257653236039	0	0	0
10196	0	-0.07956916666183303	-0.1382290139331004	0	0	0
10197	-0.21839707101676356	0	-0.02545122803399419	-0.3671405309313038	-0.27638111437257296	0
10198	-0.22160428781321104	0	0	-0.8632555451500403	-9.78074935721385	-8.55409062286039
10199	0	0	-1.9298893897415332	-4.103781886484462	0	0
102	0	-0.36364460667585696	0	-1.2984922673732116	0	0
1020	0	-1.3746757875346969	-0.025014433528433317	0	0	0
10200	0	-1.3511516399941532	-0.5878562362766191	0	-0.032315385880255953	0
10201	0	-1.1228798341056574	0	0	-0.1758075588257464	0
10202	0	-2.1747366747740258	0	0	0	-0.7959488688916756
10203	0	-1.5875972307475863	-0.5031642646947034	0	0	0
10204	0	-1.7858651772127976	-0.04049660135359345	0	-2.891606959007248	-5.462529234586882
10205	0	0	0	-0.05544760069612068	-0.27894473306232204	-1.6562881096312077
10206	-0.16329004122175828	0	-1.6888504607941934	-2.3383722073002664	0	0
10207	-0.13510939831564223	0	-0.002699440924096075	-0.008859410774822829	0	0
10208	-0.026818988304912805	-1.193159524441446	-0.02520230789974311	-0.1673630757158857	-1.3073724719437796	-4.12593613691556
10209	-0.1747210703826854	-1.5156593594955488	-0.04096299056662897	-0.2383877600035945	-1.0175872663938883	0
1021	-0.6234016796150197	0	-0.6623101165579466	-1.674306730294032	-0.3567253834950348	-1.1090796076209772
10210	0	-0.36802900438377806	-0.5931883219624949	-1.1939167404714677	0	0
10211	0	-0.10015226652070676	-0.16690976169841565	0	0	0
10212	0	-0.005721665421891287	-0.03750633870589981	-0.08192179451752263	0	0
10213	0	0	-0.3410198935221413	0	0	0
10214	-0.09034152659215612	0	-0.022653286873670603	0	-0.03917295889367356	0
10215	0	-0.7830636514347671	-0.4352200158668842	-1.190763794137562	0	0
10216	0	0	0	0	-6.783218668996068	-6.762985960273069
10217	-0.413111350653498	0	0	-0.04625588022463378	-3.446710439306301	0
10218	-0.1595117926442617	0	-0.3589305009441084	0	0	0
10219	-0.2914348768625228	0	-0.4478789253988493	-0.6323265002024685	-2.1930715355500485	0
1022	-0.017992175524795203	0	0	0	0	0
