"","id","is_bing","is_lm","pr_gene_id","pr_gene_symbol","pr_gene_title"
"332","202540_s_at",1,1,3156,"HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase"
"333","202433_at",1,1,10237,"SLC35B1","solute carrier family 35, member B1"
"334","203167_at",1,1,7077,"TIMP2","TIMP metallopeptidase inhibitor 2"
"335","205036_at",1,1,11157,"LSM6","LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"336","202797_at",1,1,22908,"SACM1L","SAC1 suppressor of actin mutations 1-like (yeast)"
"337","202396_at",1,1,10915,"TCERG1","transcription elongation regulator 1"
"338","201985_at",1,1,9897,"KIAA0196","KIAA0196"
"339","215116_s_at",1,1,1759,"DNM1","dynamin 1"
"340","202887_s_at",1,1,54541,"DDIT4","DNA-damage-inducible transcript 4"
"341","205633_s_at",1,1,211,"ALAS1","aminolevulinate, delta-, synthase 1"
"342","200816_s_at",1,1,5048,"PAFAH1B1","platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
"343","201896_s_at",1,1,84722,"PSRC1","proline/serine-rich coiled-coil 1"
"344","202689_at",1,1,29890,"RBM15B","RNA binding motif protein 15B"
"345","201519_at",1,1,9868,"TOMM70A","translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)"
"346","209213_at",1,1,873,"CBR1","carbonyl reductase 1"
"347","202545_at",1,1,5580,"PRKCD","protein kinase C, delta"
"348","201466_s_at",1,1,3725,"JUN","jun proto-oncogene"
"349","217766_s_at",1,1,23585,"TMEM50A","transmembrane protein 50A"
"350","201825_s_at",1,1,51097,"SCCPDH","saccharopine dehydrogenase (putative)"
"351","208763_s_at",1,1,1831,"TSC22D3","TSC22 domain family, member 3"
"352","204654_s_at",1,1,7020,"TFAP2A","transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)"
"353","218149_s_at",1,1,55893,"ZNF395","zinc finger protein 395"
"354","202261_at",1,1,6944,"VPS72","vacuolar protein sorting 72 homolog (S. cerevisiae)"
"355","201561_s_at",1,1,22883,"CLSTN1","calsyntenin 1"
"356","203218_at",1,1,5601,"MAPK9","mitogen-activated protein kinase 9"
"357","202868_s_at",1,1,10775,"POP4","processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)"
"358","201146_at",1,1,4780,"NFE2L2","nuclear factor (erythroid-derived 2)-like 2"
"359","201032_at",1,1,10904,"BLCAP","bladder cancer associated protein"
"360","202916_s_at",1,1,9917,"FAM20B","family with sequence similarity 20, member B"
"361","212180_at",1,1,1399,"CRKL","v-crk sarcoma virus CT10 oncogene homolog (avian)-like"
"362","203521_s_at",1,1,24149,"ZNF318","zinc finger protein 318"
"363","208647_at",1,1,2222,"FDFT1","farnesyl-diphosphate farnesyltransferase 1"
"364","201391_at",1,1,10131,"TRAP1","TNF receptor-associated protein 1"
"365","202678_at",1,1,2958,"GTF2A2","general transcription factor IIA, 2, 12kDa"
"366","203208_s_at",1,1,9650,"MTFR1","mitochondrial fission regulator 1"
"367","201899_s_at",1,1,7319,"UBE2A","ubiquitin-conjugating enzyme E2A"
"368","202891_at",1,1,4817,"NIT1","nitrilase 1"
"369","205691_at",1,1,9143,"SYNGR3","synaptogyrin 3"
"370","201314_at",1,1,10494,"STK25","serine/threonine kinase 25"
"371","202394_s_at",1,1,55324,"ABCF3","ATP-binding cassette, sub-family F (GCN20), member 3"
"372","213669_at",1,1,23149,"FCHO1","FCH domain only 1"
"373","202696_at",1,1,9943,"OXSR1","oxidative-stress responsive 1"
"374","201074_at",1,1,6599,"SMARCC1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"375","209092_s_at",1,1,51031,"GLOD4","glyoxalase domain containing 4"
"376","203233_at",1,1,3566,"IL4R","interleukin 4 receptor"
"377","205051_s_at",1,1,3815,"KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog"
"378","203405_at",1,1,8624,"PSMG1","proteasome (prosome, macropain) assembly chaperone 1"
"379","212281_s_at",1,1,27346,"TMEM97","transmembrane protein 97"
"380","201932_at",1,1,10489,"LRRC41","leucine rich repeat containing 41"
"381","212453_at",1,1,26128,"KIAA1279","KIAA1279"
"382","202371_at",1,1,79921,"TCEAL4","transcription elongation factor A (SII)-like 4"
"383","202184_s_at",1,1,55746,"NUP133","nucleoporin 133kDa"
"384","202153_s_at",1,1,23636,"NUP62","nucleoporin 62kDa"
"385","208309_s_at",1,1,10892,"MALT1","mucosa associated lymphoid tissue lymphoma translocation gene 1"
"386","217784_at",1,1,10652,"YKT6","YKT6 v-SNARE homolog (S. cerevisiae)"
"387","209408_at",1,1,11004,"KIF2C","kinesin family member 2C"
"388","202784_s_at",1,1,23530,"NNT","nicotinamide nucleotide transhydrogenase"
"389","200791_s_at",1,1,8826,"IQGAP1","IQ motif containing GTPase activating protein 1"
"390","211015_s_at",1,1,3308,"HSPA4","heat shock 70kDa protein 4"
"391","201292_at",1,1,7153,"TOP2A","topoisomerase (DNA) II alpha 170kDa"
"392","203188_at",1,1,11041,"B3GNT1","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1"
"393","201339_s_at",1,1,6342,"SCP2","sterol carrier protein 2"
"394","204828_at",1,1,5883,"RAD9A","RAD9 homolog A (S. pombe)"
"395","203258_at",1,1,10589,"DRAP1","DR1-associated protein 1 (negative cofactor 2 alpha)"
"396","205202_at",1,1,5110,"PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase"
"397","202431_s_at",1,1,4609,"MYC","v-myc myelocytomatosis viral oncogene homolog (avian)"
"398","203616_at",1,1,5423,"POLB","polymerase (DNA directed), beta"
"399","209662_at",1,1,1070,"CETN3","centrin, EF-hand protein, 3"
"400","201664_at",1,1,10051,"SMC4","structural maintenance of chromosomes 4"
"401","201827_at",1,1,6603,"SMARCD2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
"402","201875_s_at",1,1,9019,"MPZL1","myelin protein zero-like 1"
"403","201323_at",1,1,10969,"EBNA1BP2","EBNA1 binding protein 2"
"404","203648_at",1,1,9797,"TATDN2","TatD DNase domain containing 2"
"405","201186_at",1,1,4043,"LRPAP1","low density lipoprotein receptor-related protein associated protein 1"
"406","208398_s_at",1,1,9519,"TBPL1","TBP-like 1"
"407","211318_s_at",1,1,8480,"RAE1","RAE1 RNA export 1 homolog (S. pombe)"
"408","203213_at",1,1,983,"CDK1","cyclin-dependent kinase 1"
"409","203306_s_at",1,1,10559,"SLC35A1","solute carrier family 35 (CMP-sialic acid transporter), member A1"
"410","201709_s_at",1,1,8508,"NIPSNAP1","nipsnap homolog 1 (C. elegans)"
"411","202518_at",1,1,9275,"BCL7B","B-cell CLL/lymphoma 7B"
"412","203046_s_at",1,1,8914,"TIMELESS","timeless homolog (Drosophila)"
"413","212648_at",1,1,54505,"DHX29","DEAH (Asp-Glu-Ala-His) box polypeptide 29"
"414","203919_at",1,1,6919,"TCEA2","transcription elongation factor A (SII), 2"
"415","202949_s_at",1,1,2274,"FHL2","four and a half LIM domains 2"
"416","200895_s_at",1,1,2288,"FKBP4","FK506 binding protein 4, 59kDa"
"417","202423_at",1,1,7994,"KAT6A","K(lysine) acetyltransferase 6A"
"418","204089_x_at",1,1,4216,"MAP3K4","mitogen-activated protein kinase kinase kinase 4"
"419","201531_at",1,1,7538,"ZFP36","zinc finger protein 36, C3H type, homolog (mouse)"
"420","202794_at",1,1,3628,"INPP1","inositol polyphosphate-1-phosphatase"
"421","201719_s_at",1,1,2037,"EPB41L2","erythrocyte membrane protein band 4.1-like 2"
"422","201040_at",1,1,2771,"GNAI2","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
"423","36936_at",1,1,7264,"TSTA3","tissue specific transplantation antigen P35B"
"424","201697_s_at",1,1,1786,"DNMT1","DNA (cytosine-5-)-methyltransferase 1"
"425","209515_s_at",1,1,5873,"RAB27A","RAB27A, member RAS oncogene family"
"426","1007_s_at",1,1,780,"DDR1","discoidin domain receptor tyrosine kinase 1"
"427","202651_at",1,1,9926,"LPGAT1","lysophosphatidylglycerol acyltransferase 1"
"428","202703_at",1,1,8446,"DUSP11","dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)"
"429","203120_at",1,1,7159,"TP53BP2","tumor protein p53 binding protein, 2"
"430","202284_s_at",1,1,1026,"CDKN1A","cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
"431","202011_at",1,1,7082,"TJP1","tight junction protein 1 (zona occludens 1)"
"432","203192_at",1,1,10058,"ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6"
"433","201761_at",1,1,10797,"MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"434","203456_at",1,1,11230,"PRAF2","PRA1 domain family, member 2"
"435","202776_at",1,1,30836,"DNTTIP2","deoxynucleotidyltransferase, terminal, interacting protein 2"
"436","202602_s_at",1,1,27336,"HTATSF1","HIV-1 Tat specific factor 1"
"437","201774_s_at",1,1,9918,"NCAPD2","non-SMC condensin I complex, subunit D2"
"438","201361_at",1,1,79073,"TMEM109","transmembrane protein 109"
"439","202188_at",1,1,9688,"NUP93","nucleoporin 93kDa"
"440","204458_at",1,1,23659,"PLA2G15","phospholipase A2, group XV"
"441","201080_at",1,1,8396,"PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"442","201959_s_at",1,1,23077,"MYCBP2","MYC binding protein 2"
"443","201121_s_at",1,1,10857,"PGRMC1","progesterone receptor membrane component 1"
"444","201000_at",1,1,16,"AARS","alanyl-tRNA synthetase"
"445","202756_s_at",1,1,2817,"GPC1","glypican 1"
"446","201767_s_at",1,1,60528,"ELAC2","elaC homolog 2 (E. coli)"
"447","202446_s_at",1,1,5359,"PLSCR1","phospholipid scramblase 1"
"448","202087_s_at",1,1,1514,"CTSL1","cathepsin L1"
"449","200766_at",1,1,1509,"CTSD","cathepsin D"
"450","209435_s_at",1,1,9181,"ARHGEF2","Rho/Rac guanine nucleotide exchange factor (GEF) 2"
"451","201234_at",1,1,3611,"ILK","integrin-linked kinase"
"452","203574_at",1,1,4783,"NFIL3","nuclear factor, interleukin 3 regulated"
"453","202208_s_at",1,1,10123,"ARL4C","ADP-ribosylation factor-like 4C"
"454","202119_s_at",1,1,8895,"CPNE3","copine III"
"455","201462_at",1,1,9805,"SCRN1","secernin 1"
"456","209166_s_at",1,1,4125,"MAN2B1","mannosidase, alpha, class 2B, member 1"
"457","201572_x_at",1,1,1635,"DCTD","dCMP deaminase"
"458","201152_s_at",1,1,4154,"MBNL1","muscleblind-like (Drosophila)"
"459","203360_s_at",1,1,26292,"MYCBP","c-myc binding protein"
"460","202716_at",1,1,5770,"PTPN1","protein tyrosine phosphatase, non-receptor type 1"
"461","202427_s_at",1,1,25874,"BRP44","brain protein 44"
"462","203013_at",1,1,11319,"ECD","ecdysoneless homolog (Drosophila)"
"463","200810_s_at",1,1,1153,"CIRBP","cold inducible RNA binding protein"
"464","202458_at",1,1,11098,"PRSS23","protease, serine, 23"
"465","202733_at",1,1,8974,"P4HA2","prolyl 4-hydroxylase, alpha polypeptide II"
"466","200078_s_at",1,1,533,"ATP6V0B","ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
"467","200752_s_at",1,1,823,"CAPN1","calpain 1, (mu/I) large subunit"
"468","202260_s_at",1,1,6812,"STXBP1","syntaxin binding protein 1"
"469","201125_s_at",1,1,3693,"ITGB5","integrin, beta 5"
"470","203123_s_at",1,1,4891,"SLC11A2","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"471","203857_s_at",1,1,10954,"PDIA5","protein disulfide isomerase family A, member 5"
"472","203911_at",1,1,5909,"RAP1GAP","RAP1 GTPase activating protein"
"473","205895_s_at",1,1,9221,"NOLC1","nucleolar and coiled-body phosphoprotein 1"
"474","201432_at",1,1,847,"CAT","catalase"
"475","203367_at",1,1,11072,"DUSP14","dual specificity phosphatase 14"
"476","202241_at",1,1,10221,"TRIB1","tribbles homolog 1 (Drosophila)"
"477","203050_at",1,1,7158,"TP53BP1","tumor protein p53 binding protein 1"
"478","208945_s_at",1,1,8678,"BECN1","beclin 1, autophagy related"
"479","200698_at",1,1,11014,"KDELR2","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"480","201727_s_at",1,1,1994,"ELAVL1","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
"481","201393_s_at",1,1,3482,"IGF2R","insulin-like growth factor 2 receptor"
"482","212665_at",1,1,25976,"TIPARP","TCDD-inducible poly(ADP-ribose) polymerase"
"483","201380_at",1,1,10491,"CRTAP","cartilage associated protein"
"484","218350_s_at",1,1,51053,"GMNN","geminin, DNA replication inhibitor"
"485","202880_s_at",1,1,9267,"CYTH1","cytohesin 1"
"486","201494_at",1,1,5547,"PRCP","prolylcarboxypeptidase (angiotensinase C)"
"487","213720_s_at",1,1,6597,"SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
"488","202990_at",1,1,5836,"PYGL","phosphorylase, glycogen, liver"
"489","201756_at",1,1,6118,"RPA2","replication protein A2, 32kDa"
"490","202680_at",1,1,2961,"GTF2E2","general transcription factor IIE, polypeptide 2, beta 34kDa"
"491","209860_s_at",1,1,310,"ANXA7","annexin A7"
"492","201266_at",1,1,7296,"TXNRD1","thioredoxin reductase 1"
"493","202950_at",1,1,1429,"CRYZ","crystallin, zeta (quinone reductase)"
"494","202812_at",1,1,2548,"GAA","glucosidase, alpha; acid"
"495","203727_at",1,1,6499,"SKIV2L","superkiller viralicidic activity 2-like (S. cerevisiae)"
"496","202179_at",1,1,642,"BLMH","bleomycin hydrolase"
"497","212846_at",1,1,23076,"RRP1B","ribosomal RNA processing 1 homolog B (S. cerevisiae)"
"498","200972_at",1,1,10099,"TSPAN3","tetraspanin 3"
"499","202417_at",1,1,9817,"KEAP1","kelch-like ECH-associated protein 1"
"500","209257_s_at",1,1,9126,"SMC3","structural maintenance of chromosomes 3"
"501","201795_at",1,1,3930,"LBR","lamin B receptor"
"502","202494_at",1,1,10450,"PPIE","peptidylprolyl isomerase E (cyclophilin E)"
"503","201174_s_at",1,1,54386,"TERF2IP","telomeric repeat binding factor 2, interacting protein"
"504","201849_at",1,1,664,"BNIP3","BCL2/adenovirus E1B 19kDa interacting protein 3"
"505","203685_at",1,1,596,"BCL2","B-cell CLL/lymphoma 2"
"506","201967_at",1,1,10180,"RBM6","RNA binding motif protein 6"
"507","202329_at",1,1,1445,"CSK","c-src tyrosine kinase"
"508","202022_at",1,1,230,"ALDOC","aldolase C, fructose-bisphosphate"
"509","201649_at",1,1,9246,"UBE2L6","ubiquitin-conjugating enzyme E2L 6"
"510","203557_s_at",1,1,5092,"PCBD1","pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha"
"511","201611_s_at",1,1,23463,"ICMT","isoprenylcysteine carboxyl methyltransferase"
"512","202382_s_at",1,1,10007,"GNPDA1","glucosamine-6-phosphate deaminase 1"
"513","203675_at",1,1,4925,"NUCB2","nucleobindin 2"
"514","201980_s_at",1,1,6251,"RSU1","Ras suppressor protein 1"
"515","202006_at",1,1,5782,"PTPN12","protein tyrosine phosphatase, non-receptor type 12"
"516","202847_at",1,1,5106,"PCK2","phosphoenolpyruvate carboxykinase 2 (mitochondrial)"
"517","202722_s_at",1,1,2673,"GFPT1","glutamine--fructose-6-phosphate transaminase 1"
"518","211729_x_at",1,1,644,"BLVRA","biliverdin reductase A"
"519","202598_at",1,1,6284,"S100A13","S100 calcium binding protein A13"
"520","201710_at",1,1,4605,"MYBL2","v-myb myeloblastosis viral oncogene homolog (avian)-like 2"
"521","203530_s_at",1,1,6810,"STX4","syntaxin 4"
"522","208716_s_at",1,1,54499,"TMCO1","transmembrane and coiled-coil domains 1"
"523","204610_s_at",1,1,11007,"CCDC85B","coiled-coil domain containing 85B"
"524","203409_at",1,1,1643,"DDB2","damage-specific DNA binding protein 2, 48kDa"
"525","203304_at",1,1,25805,"BAMBI","BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)"
"526","201036_s_at",1,1,3033,"HADH","hydroxyacyl-CoA dehydrogenase"
"527","206662_at",1,1,2745,"GLRX","glutaredoxin (thioltransferase)"
"528","202180_s_at",1,1,9961,"MVP","major vault protein"
"529","200783_s_at",1,1,3925,"STMN1","stathmin 1"
"530","202528_at",1,1,2582,"GALE","UDP-galactose-4-epimerase"
"531","200636_s_at",1,1,5792,"PTPRF","protein tyrosine phosphatase, receptor type, F"
"532","201968_s_at",1,1,5236,"PGM1","phosphoglucomutase 1"
"533","203570_at",1,1,4016,"LOXL1","lysyl oxidase-like 1"
"534","201976_s_at",1,1,4651,"MYO10","myosin X"
"535","201847_at",1,1,3988,"LIPA","lipase A, lysosomal acid, cholesterol esterase"
"536","201397_at",1,1,26227,"PHGDH","phosphoglycerate dehydrogenase"
"537","207871_s_at",1,1,7982,"ST7","suppression of tumorigenicity 7"
"538","209341_s_at",1,1,3551,"IKBKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"
"539","202174_s_at",1,1,5108,"PCM1","pericentriolar material 1"
"540","201631_s_at",1,1,8870,"IER3","immediate early response 3"
"541","201579_at",1,1,2195,"FAT1","FAT tumor suppressor homolog 1 (Drosophila)"
"542","202683_s_at",1,1,8731,"RNMT","RNA (guanine-7-) methyltransferase"
"543","201984_s_at",1,1,1956,"EGFR","epidermal growth factor receptor"
"544","201829_at",1,1,10276,"NET1","neuroepithelial cell transforming 1"
"545","202447_at",1,1,1666,"DECR1","2,4-dienoyl CoA reductase 1, mitochondrial"
"546","202679_at",1,1,4864,"NPC1","Niemann-Pick disease, type C1"
"547","202016_at",1,1,4232,"MEST","mesoderm specific transcript homolog (mouse)"
"548","203228_at",1,1,5050,"PAFAH1B3","platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)"
"549","200757_s_at",1,1,813,"CALU","calumenin"
"550","208936_x_at",1,1,3964,"LGALS8","lectin, galactoside-binding, soluble, 8"
"551","201412_at",1,1,26020,"LRP10","low density lipoprotein receptor-related protein 10"
"552","201243_s_at",1,1,481,"ATP1B1","ATPase, Na+/K+ transporting, beta 1 polypeptide"
"553","202780_at",1,1,5019,"OXCT1","3-oxoacid CoA transferase 1"
"554","202825_at",1,1,291,"SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
"555","212815_at",1,1,10973,"ASCC3","activating signal cointegrator 1 complex subunit 3"
"556","202368_s_at",1,1,9697,"TRAM2","translocation associated membrane protein 2"
"557","202148_s_at",1,1,5831,"PYCR1","pyrroline-5-carboxylate reductase 1"
"558","207700_s_at",1,1,8202,"NCOA3","nuclear receptor coactivator 3"
"559","202996_at",1,1,57804,"POLD4","polymerase (DNA-directed), delta 4"
"560","202801_at",1,1,5566,"PRKACA","protein kinase, cAMP-dependent, catalytic, alpha"
"561","203897_at",1,1,57149,"LYRM1","LYR motif containing 1"
"562","217140_s_at",1,1,7416,"VDAC1","voltage-dependent anion channel 1"
"563","209253_at",1,1,10174,"SORBS3","sorbin and SH3 domain containing 3"
"564","219888_at",1,1,6676,"SPAG4","sperm associated antigen 4"
"565","204087_s_at",1,1,8884,"SLC5A6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6"
"566","202388_at",1,1,5997,"RGS2","regulator of G-protein signaling 2, 24kDa"
"567","205607_s_at",1,1,57147,"SCYL3","SCY1-like 3 (S. cerevisiae)"
"568","213417_at",1,1,6909,"TBX2","T-box 2"
"569","205963_s_at",1,1,9093,"DNAJA3","DnaJ (Hsp40) homolog, subfamily A, member 3"
"570","212851_at",1,1,23142,"DCUN1D4","DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)"
"571","210151_s_at",1,1,8444,"DYRK3","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3"
"572","205811_at",1,1,11232,"POLG2","polymerase (DNA directed), gamma 2, accessory subunit"
"573","203512_at",1,1,27095,"TRAPPC3","trafficking protein particle complex 3"
"574","204849_at",1,1,10732,"TCFL5","transcription factor-like 5 (basic helix-loop-helix)"
"575","212591_at",1,1,23029,"RBM34","RNA binding motif protein 34"
"576","203336_s_at",1,1,9270,"ITGB1BP1","integrin beta 1 binding protein 1"
"577","210337_s_at",1,1,47,"ACLY","ATP citrate lyase"
"578","206066_s_at",1,1,5889,"RAD51C","RAD51 homolog C (S. cerevisiae)"
"579","201589_at",1,1,8243,"SMC1A","structural maintenance of chromosomes 1A"
"580","201351_s_at",1,1,10730,"YME1L1","YME1-like 1 (S. cerevisiae)"
"581","214274_s_at",1,1,30,"ACAA1","acetyl-CoA acyltransferase 1"
"582","202908_at",1,1,7466,"WFS1","Wolfram syndrome 1 (wolframin)"
"583","212403_at",1,1,89910,"UBE3B","ubiquitin protein ligase E3B"
"584","218086_at",1,1,56654,"NPDC1","neural proliferation, differentiation and control, 1"
"585","208950_s_at",1,1,501,"ALDH7A1","aldehyde dehydrogenase 7 family, member A1"
"586","212955_s_at",1,1,5438,"POLR2I","polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa"
"587","218064_s_at",1,1,26993,"AKAP8L","A kinase (PRKA) anchor protein 8-like"
"588","218290_at",1,1,55111,"PLEKHJ1","pleckstrin homology domain containing, family J member 1"
"589","203138_at",1,1,8520,"HAT1","histone acetyltransferase 1"
"590","201503_at",1,1,10146,"G3BP1","GTPase activating protein (SH3 domain) binding protein 1"
"591","201379_s_at",1,1,7165,"TPD52L2","tumor protein D52-like 2"
"592","217872_at",1,1,55011,"PIH1D1","PIH1 domain containing 1"
"593","204656_at",1,1,6461,"SHB","Src homology 2 domain containing adaptor protein B"
"594","221514_at",1,1,10813,"UTP14A","UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
"595","219581_at",1,1,80746,"TSEN2","tRNA splicing endonuclease 2 homolog (S. cerevisiae)"
"596","203007_x_at",1,1,10434,"LYPLA1","lysophospholipase I"
"597","204756_at",1,1,5607,"MAP2K5","mitogen-activated protein kinase kinase 5"
"598","209899_s_at",1,1,22827,"PUF60","poly-U binding splicing factor 60KDa"
"599","210788_s_at",1,1,51635,"DHRS7","dehydrogenase/reductase (SDR family) member 7"
"600","212614_at",1,1,84159,"ARID5B","AT rich interactive domain 5B (MRF1-like)"
"601","215980_s_at",1,1,3508,"IGHMBP2","immunoglobulin mu binding protein 2"
"602","212500_at",1,1,84890,"ADO","2-aminoethanethiol (cysteamine) dioxygenase"
"603","218584_at",1,1,79600,"TCTN1","tectonic family member 1"
"604","214259_s_at",1,1,8574,"AKR7A2","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
"605","203338_at",1,1,5529,"PPP2R5E","protein phosphatase 2, regulatory subunit B', epsilon isoform"
"606","203726_s_at",1,1,3909,"LAMA3","laminin, alpha 3"
"607","215000_s_at",1,1,9637,"FEZ2","fasciculation and elongation protein zeta 2 (zygin II)"
"608","202491_s_at",1,1,8518,"IKBKAP","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"
"609","205120_s_at",1,1,6443,"SGCB","sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)"
"610","217956_s_at",1,1,58478,"ENOPH1","enolase-phosphatase 1"
"611","203291_at",1,1,4850,"CNOT4","CCR4-NOT transcription complex, subunit 4"
"612","212723_at",1,1,23210,"JMJD6","jumonji domain containing 6"
"613","218826_at",1,1,54733,"SLC35F2","solute carrier family 35, member F2"
"614","218910_at",1,1,55129,"ANO10","anoctamin 10"
"615","217934_x_at",1,1,10273,"STUB1","STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase"
"616","209364_at",1,1,572,"BAD","BCL2-associated agonist of cell death"
"617","219485_s_at",1,1,5716,"PSMD10","proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"
"618","203884_s_at",1,1,22841,"RAB11FIP2","RAB11 family interacting protein 2 (class I)"
"619","202945_at",1,1,2356,"FPGS","folylpolyglutamate synthase"
"620","206050_s_at",1,1,6050,"RNH1","ribonuclease/angiogenin inhibitor 1"
"621","221492_s_at",1,1,64422,"ATG3","ATG3 autophagy related 3 homolog (S. cerevisiae)"
"622","209939_x_at",1,1,8837,"CFLAR","CASP8 and FADD-like apoptosis regulator"
"623","218595_s_at",1,1,55127,"HEATR1","HEAT repeat containing 1"
"624","212880_at",1,1,23335,"WDR7","WD repeat domain 7"
"625","203848_at",1,1,10270,"AKAP8","A kinase (PRKA) anchor protein 8"
"626","212811_x_at",1,1,6509,"SLC1A4","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"
"627","221549_at",1,1,83743,"GRWD1","glutamate-rich WD repeat containing 1"
"628","200887_s_at",1,1,6772,"STAT1","signal transducer and activator of transcription 1, 91kDa"
"629","206015_s_at",1,1,22887,"FOXJ3","forkhead box J3"
"630","219363_s_at",1,1,51001,"MTERFD1","MTERF domain containing 1"
"631","219492_at",1,1,26511,"CHIC2","cysteine-rich hydrophobic domain 2"
"632","201498_at",1,1,7874,"USP7","ubiquitin specific peptidase 7 (herpes virus-associated)"
"633","217950_at",1,1,51070,"NOSIP","nitric oxide synthase interacting protein"
"634","209095_at",1,1,1738,"DLD","dihydrolipoamide dehydrogenase"
"635","217496_s_at",1,1,3416,"IDE","insulin-degrading enzyme"
"636","209161_at",1,1,9128,"PRPF4","PRP4 pre-mRNA processing factor 4 homolog (yeast)"
"637","204825_at",1,1,9833,"MELK","maternal embryonic leucine zipper kinase"
"638","205398_s_at",1,1,4088,"SMAD3","SMAD family member 3"
"639","208717_at",1,1,5018,"OXA1L","oxidase (cytochrome c) assembly 1-like"
"640","205573_s_at",1,1,51375,"SNX7","sorting nexin 7"
"641","218399_s_at",1,1,55038,"CDCA4","cell division cycle associated 4"
"642","212054_x_at",1,1,23061,"TBC1D9B","TBC1 domain family, member 9B (with GRAM domain)"
"643","218742_at",1,1,64428,"NARFL","nuclear prelamin A recognition factor-like"
"644","201788_at",1,1,11325,"DDX42","DEAD (Asp-Glu-Ala-Asp) box polypeptide 42"
"645","204549_at",1,1,9641,"IKBKE","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
"646","40829_at",1,1,23038,"WDTC1","WD and tetratricopeptide repeats 1"
"647","56197_at",1,1,57048,"PLSCR3","phospholipid scramblase 3"
"648","212206_s_at",1,1,94239,"H2AFV","H2A histone family, member V"
"649","218039_at",1,1,51203,"NUSAP1","nucleolar and spindle associated protein 1"
"650","213689_x_at",1,1,388650,"FAM69A","family with sequence similarity 69, member A"
"651","212166_at",1,1,23039,"XPO7","exportin 7"
"652","220643_s_at",1,1,55179,"FAIM","Fas apoptotic inhibitory molecule"
"653","219076_s_at",1,1,5827,"PXMP2","peroxisomal membrane protein 2, 22kDa"
"654","203342_at",1,1,10245,"TIMM17B","translocase of inner mitochondrial membrane 17 homolog B (yeast)"
"655","209367_at",1,1,6813,"STXBP2","syntaxin binding protein 2"
"656","202854_at",1,1,3251,"HPRT1","hypoxanthine phosphoribosyltransferase 1"
"657","209567_at",1,1,23212,"RRS1","RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)"
"658","219384_s_at",1,1,23536,"ADAT1","adenosine deaminase, tRNA-specific 1"
"659","218206_x_at",1,1,51282,"SCAND1","SCAN domain containing 1"
"660","209215_at",1,1,10227,"MFSD10","major facilitator superfamily domain containing 10"
"661","209029_at",1,1,50813,"COPS7A","COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)"
"662","218034_at",1,1,51024,"FIS1","fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"
