organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TB	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	cell.type.ch1	tissue.ch1	time.ch1	TIME_POINT	CONTRAST	SIGNATURE_NAME	SAMPLE_CONDITION	EXPRMAT_PATH
Homo sapiens	GSE19491	GSM484598	disease without treatment	PTB_LON_test004	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 58	gender: Male	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484601	disease without treatment	LTB_LON_test012	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Latent TB	age: 28	gender: Male	ethnicity: South Asian	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484624	disease without treatment	LTB_LON_test022	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Latent TB	age: 33	gender: Male	ethnicity: South Asian	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484625	disease without treatment	LTB_LON_test024	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Latent TB	age: 29	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE34151	GSM842924	healthy control without treatment	DCs ID2 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID2	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM842925	disease without treatment	DCs ID2 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID2	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM842926	healthy control without treatment	DCs ID3 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID3	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM842927	disease without treatment	DCs ID3 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID3	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM842928	healthy control without treatment	DCs ID4 non-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID4	infection status: non-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
Homo sapiens	GSE34151	GSM842929	disease without treatment	DCs ID4 MTB-infected rep_1	PRIMARY_SAMPLE	DCs	BLOOD	MTB	Human dendritic cells	gender: Male	sample: ID4	infection status: MTB-infected	total RNA	GPL10558					MTB_control	GSE34151_GPL10558_MTB_control_blood_dcs	GSE34151_MTB_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv
