Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	circulating_aggregated_microarray	aggregated_RNAseq	circulating_aggregated_RNAseq
positive regulation of miRNA processing	0	0	0	0	0	0	0	1.1281487707571969	1.3216046631569451	1.0158856743564564	0	0	0	1.3657326635445066	0	0	1.5681669764073012	0	0	1.6852854570634055	0	1.1056064468074254	0.9945367420159104	0	1.3752532453857638	0.7676766404315911	0	0	1.1052992892289777	1.1202249259446382	0.9020234857950488	0.9046789589929608
positive regulation of miRNA transcription	0.8629812996278561	0.36105992261481784	0.589811031987766	0.7828234629089809	0.645929914584916	1.110468395422317	1.2825059918722874	1.237583666709316	1.3946334431207406	0.6129839218630598	0.2148232152827035	0.951624401202748	0.967293701592612	0.8781802003293501	1.1917624994686646	1.05494941455743	0.4801828689552181	1.528192999262686	0.2203586489787187	0.971903438964244	0.8289798114885565	0.7918151428297369	1.563417645162452	1.0914003320878989	0.9773243225120478	1.07011622851589	1.042915328680401	0	1.4640160034540874	1.4369192143645757	0.854450360367937	0.8570175333065664
positive regulation of miRNA-mediated gene silencing	0	1.2183306610620022	0.8668023001438809	0	1.164701778209143	0.9715412000789492	0.4487358074677462	1.0522128619696232	1.434123923730088	0.5214393145073524	0	0.49191371453061145	0.7203903308895718	1.046897007207243	0	0.4629783407445693	0.9114890922894828	0	0	1.3385581431168017	0.6080860701840517	0.5785535883802876	0.9236618654848584	0.4832954367243365	1.2923321233023646	1.2150956266638857	0	0	1.264623618390743	1.280466098296695	0.835266790449926	0.8377966589787109
positive regulation of microglial cell migration	0	1.7628259448835322	0	0	1.7022040031009449	2.1304125901143736	1.9385239673904664	0.9852872891177552	1.519977952857555	1.4435336459526038	1.2801929129395295	0	1.778454662912691	1.5661337386606493	1.5081334771776167	0.7935089518534805	0	1.611605852975117	1.302402249525138	0.9403036269881015	0	1.54678382322444	1.4186034154990974	0.8243503349202808	0.901519331615012	1.7591900084565812	1.872483225747569	0	1.191373680793255	1.2068248276768063	0.9020234857950488	0.9046789589929608
positive regulation of microtubule nucleation	0	1.496686996288493	1.1066724954037492	1.9141471966870696	0	0	0.6010751724526117	0.7822222593653207	0	0	0	1.1426135173557004	0	0	0	0.6192410651232201	0	0.8104388139286917	0	0.743441819165221	0	0	0	0	0.7102754742234991	0.5064085750582525	0	0	1.4259392632433108	1.4424870664570997	0.7107049885724979	0.7129680226489142
positive regulation of microtubule polymerization	0	1.496686996288493	0.5676089627134441	1.127485513409469	1.0941659896783522	0.4978942375111016	0.2110720879885675	0.7822222593653205	0.5203710635594213	0.2474388503863913	0	0.655933598403217	0	0.1896629108228007	0.5141649127872415	0.4266586522507142	0	0.5700340782051304	0	0.9403036269881015	0.8003752005752952	0	0.6764586220746904	0.22824786438450553	0.6052907549158056	0.7943429519610445	0.19717877880246745	0	1.242215300033228	1.2579431952358355	0.7107049885724978	0.7129680226489142
positive regulation of microtubule polymerization or depolymerization	0	1.391353930761155	0.5097135136246075	1.0340662620992815	1.00220708520857	0.4461383350105981	0.18790808497335687	0.7078152659537139	0.46659611631964376	0.22040802482328023	0	0.5907968434363788	0	0.1687990777965266	0.4609437446340167	0.3815391558207501	0	0.7341362118108525	0	1.0196133768482176	0.7247413579163513	0	0.609727754025973	0.20325091436292253	0.6409920607222771	0.7191138594115111	0.1755055877767082	0	1.2803021738434417	1.2962222454776855	0.703142911562818	0.7053883436974965
positive regulation of mitochondrial calcium ion concentration	0	0	1.216319115462281	0	1.5594728162967924	1.3399393876506214	0	0.4758226961590648	0	0	0	0.7362265405349339	0	0.6147243713154066	1.0335891889812898	0	0	0	0	2.024576795101577	0.8923277476750451	0	0.7585529576878763	0.7243513531762704	1.0921605867074502	0.5720880075060016	0.6365611249638103	0	1.066495598110179	1.0811591068075896	0.9020234857950488	0.9046789589929608
positive regulation of mitochondrial depolarization	0	2.613801065943727	0.667593182197922	1.702769221599648	1.8745546967994953	1.6434606384987678	0	0	0	1.0158856743564564	0	0	0	0	0.7783780213927717	0.91996303496688	0	0	0	0	0	0	0.9945367420159104	0	0	0.7676766404315911	0.8474586712762363	0	1.5464342636960176	1.5633911926752322	0.9020234857950488	0.9046789589929608
positive regulation of mitochondrial fission	0	0	0.4350799418451115	1.0437241186962287	0.8774451071981129	0.7154622692757521	0.3137893727853598	0.6098415165283628	0.5203710635594214	0	0	0.655933598403217	0	0.5450198334608268	0.7370984317431656	0.3240880336744683	0	0.8104388139286917	0	1.2635668078912758	0.8003752005752953	0.408834928779076	1.171512325371706	0.6450348714134074	1.1086691677433038	0.9208796859944672	0.8037035541782419	0	0.8674251574391818	0.8804658651010575	0.8094178579528228	0.8118958868257596
