Unnamed: 0	GSM3001089	GSM3001091	GSM3001092	GSM3001093	GSM3001094
ENSG00000025708	1033	857	10599	7549	7855
ENSG00000025770	2846	1599	4268	1892	1964
ENSG00000025772	3221	2124	3467	2203	2253
ENSG00000025796	7018	3682	6453	3345	3511
ENSG00000025800	21303	10828	20726	12233	12186
ENSG00000026025	779939	544087	417400	356287	354760
ENSG00000026036	385	142	571	271	248
ENSG00000026103	1697	652	2190	974	1116
ENSG00000026297	1001	544	1255	732	859
ENSG00000026508	652	627	657	393	543
ENSG00000026559	36	30	35	29	22
ENSG00000026652	3243	2334	2823	2634	2890
ENSG00000026751	6	2	7	7	4
ENSG00000026950	2116	1575	8508	5884	6346
ENSG00000027001	1183	723	1212	586	667
ENSG00000027075	35294	20129	40301	23195	23841
ENSG00000027697	11271	6547	11356	8341	8017
ENSG00000027847	2378	1513	2189	1521	1520
ENSG00000027869	1	4	3	5	11
ENSG00000028116	4264	1881	5621	2470	2475
ENSG00000028137	1966	849	3044	1468	1539
ENSG00000028203	16154	7764	13287	7323	7349
ENSG00000028277	94	49	161	88	89
ENSG00000028310	4002	2153	3712	2154	2339
ENSG00000028528	10098	5880	9229	5721	6329
ENSG00000028839	5361	2300	5788	2962	2803
ENSG00000029153	7859	3859	8682	5579	5291
ENSG00000029363	29122	15070	27463	14901	15152
ENSG00000029364	15970	7887	13636	8811	8495
ENSG00000029534	17	20	39	45	32
ENSG00000029639	1656	823	1911	997	1124
ENSG00000029725	11444	6490	11005	7194	6936
ENSG00000029993	6746	3302	4686	2165	2365
ENSG00000030066	3791	2194	6578	2980	3295
ENSG00000030110	2496	1197	4726	1821	1991
ENSG00000030304	5	7	2	9	5
ENSG00000030419	504	39	305	41	34
ENSG00000030582	52469	41097	55588	44480	49150
ENSG00000031003	5719	2993	4488	2937	2849
ENSG00000031081	20912	12701	20749	14688	15667
ENSG00000031691	727	254	1064	293	267
ENSG00000031698	19446	12456	17734	11109	11547
ENSG00000031823	4719	2923	5593	3204	3555
ENSG00000032219	5147	2602	4445	2563	2716
ENSG00000032389	3002	1427	3586	1639	1594
ENSG00000032444	7854	5760	6885	4686	5562
ENSG00000032742	1379	827	1131	705	794
ENSG00000033011	2553	1520	2821	1655	1664
ENSG00000033030	3231	1628	3719	2104	2188
ENSG00000033050	5047	2751	5730	3003	2999
ENSG00000033100	7098	4546	8548	5386	6250
ENSG00000033122	523	170	314	150	160
ENSG00000033170	1373	715	1261	641	614
ENSG00000033178	20969	8562	30145	12380	12523
ENSG00000033327	10386	9362	6638	6136	6686
ENSG00000033627	2054	1534	2258	1473	1655
ENSG00000033800	7316	3735	7882	4439	4555
ENSG00000033867	5993	2559	6333	3620	3352
ENSG00000034053	938	708	1012	690	569
ENSG00000034152	1729	1117	2093	1455	1609
CLXN	30	20	31	27	26
ENSG00000034510	119239	78437	113943	90916	89996
ENSG00000034533	791	516	783	593	541
ENSG00000034677	20843	9393	18782	10489	10068
ENSG00000034693	1918	1038	2472	1175	1128
ENSG00000034713	11049	6887	8531	7154	7360
ENSG00000035115	1582	831	968	671	701
ENSG00000035141	4257	1790	4532	1847	2063
ENSG00000035403	26943	10538	30048	12350	13911
ENSG00000035499	1441	428	1473	274	352
ENSG00000035664	1766	758	1450	961	949
ENSG00000035681	5477	2619	4774	2341	2548
ENSG00000035687	14721	6545	14209	6852	7150
ENSG00000035720	8	1	21	5	11
ENSG00000035862	21743	30498	18411	25854	28195
ENSG00000035928	18187	9596	16310	8772	8893
ENSG00000036054	7751	3910	8401	4857	4759
ENSG00000036257	8061	4319	7031	4312	4320
ENSG00000036448	15	17	12	10	34
ENSG00000036473	42	106	18	95	81
ENSG00000036530	396	162	390	233	279
ENSG00000036549	11925	5657	12634	6633	6655
ENSG00000036672	28	32	30	22	22
ENSG00000036828	140	54	146	74	94
ENSG00000037042	1155	624	1138	634	691
ENSG00000037241	2098	1166	2226	1234	1218
ENSG00000037280	37915	34837	35103	38206	40809
ENSG00000037474	6038	4262	7755	5180	5550
ENSG00000037637	3444	1870	3544	1963	2104
ENSG00000037749	11200	6740	11000	9283	8888
ENSG00000037757	2553	1374	2354	1463	1464
ENSG00000037897	259	234	338	274	354
ENSG00000038002	2322	1343	2172	1458	1424
ENSG00000038210	6528	3001	19742	8708	8609
ENSG00000038219	13171	7218	12012	7514	7606
ENSG00000038274	12454	8504	14898	9930	10167
ENSG00000038295	6471	11869	3064	8795	8352
ENSG00000038358	5289	3513	5333	3518	3946
ENSG00000038382	23068	14848	23503	15453	16841
ENSG00000038427	160	33	67	22	24
ENSG00000038532	4494	2588	4257	2629	3040
ENSG00000038945	195	196	306	315	335
ENSG00000039068	57	26	78	23	40
ENSG00000039123	9434	4486	9352	4328	4580
ENSG00000039139	117	76	94	62	68
ENSG00000039319	14550	7872	13109	8339	8354
ENSG00000039523	1737	1560	1669	1643	2031
ENSG00000039560	50499	22934	52414	33925	33882
ENSG00000039600	3	8	9	8	11
ENSG00000039650	1948	1185	2190	1183	1346
ENSG00000039987	10	9	7	12	22
ENSG00000040199	2593	1484	2949	1748	1870
ENSG00000040275	2601	914	3237	850	913
ENSG00000040341	9449	4167	7089	4251	4076
ENSG00000040487	1039	622	1156	694	759
ENSG00000040531	2405	1708	1946	1630	1692
ENSG00000040608	108	56	69	43	56
ENSG00000040633	4800	2717	4110	2728	2826
ENSG00000040933	4108	2497	3923	2576	2808
ENSG00000041357	14829	6813	25811	9695	10470
ENSG00000041515	23	9	26	13	12
ENSG00000041802	6006	3132	7385	4064	4017
ENSG00000041880	1322	889	2245	1147	1377
ENSG00000041982	48	19	40	40	35
ENSG00000041988	1091	677	1450	997	985
ENSG00000042062	191	68	271	127	158
ENSG00000042088	1968	1092	2359	1105	1237
ENSG00000042286	543	205	1178	269	378
ENSG00000042304	13	9	18	6	13
ENSG00000042317	1022	820	783	677	595
ENSG00000042429	4393	2339	4762	2844	2960
ENSG00000042445	11807	6194	9146	6166	6057
ENSG00000042493	2300	2608	2427	2726	2862
ENSG00000042753	9455	5715	11144	5683	6396
ENSG00000042781	106	33	106	58	70
ENSG00000042832	116	47	95	48	61
ENSG00000042980	46	27	104	25	34
ENSG00000043039	36	5	33	22	10
ENSG00000043093	6073	2818	6045	3071	3133
ENSG00000043143	4062	2722	18440	8235	9254
ENSG00000043355	45	34	27	31	31
ENSG00000043462	6	2	27	15	20
ENSG00000043514	1389	629	1497	763	774
ENSG00000043591	7720	1503	6325	1242	1318
