Unnamed: 0	GSM2695725	GSM2695726	GSM2695727	GSM2695728	GSM2695729	GSM2695730	GSM2695731	GSM2695732	GSM2695733	GSM2695734	GSM2695735	GSM2695736	GSM2695737	GSM2695738
ENSG00000010278	208	314	530	645	87	291	419	629	493	606	604	862	364	1038
ENSG00000010292	70	134	270	226	141	113	468	298	414	280	658	264	166	413
ENSG00000010295	94	135	100	128	81	191	120	125	542	363	380	245	207	276
ENSG00000010310	17	3	18	19	15	8	14	16	433	235	172	73	95	148
ENSG00000010318	33	37	56	59	19	33	53	52	240	169	374	90	45	163
ENSG00000010319	6	8	4	14	8	6	5	39	42	9	76	15	6	42
ENSG00000010322	302	448	424	536	402	530	404	555	1394	800	1369	725	409	1273
ENSG00000010327	10	8	7	2	6	8	12	11	4	1	5	2	0	3
ENSG00000010361	2	2	1	0	5	1	3	4	9	4	4	8	4	3
ENSG00000010404	345	248	500	413	450	298	503	373	1615	1242	1928	1574	475	1858
ENSG00000010539	188	141	179	187	197	201	198	243	713	438	343	435	513	366
ENSG00000010610	63	61	174	136	44	43	219	157	506	255	1427	488	142	1018
ENSG00000010626	11	0	5	12	7	5	12	11	42	34	48	11	10	20
ENSG00000010671	1107	595	601	531	416	892	670	682	2779	1693	2589	1617	1968	1898
ENSG00000010704	18	18	13	15	27	30	23	11	44	40	27	29	43	16
ENSG00000010803	154	170	243	264	143	145	286	241	443	317	614	396	259	545
ENSG00000010810	194	239	449	299	283	327	384	354	808	367	821	1045	843	1616
ENSG00000010818	339	200	42	43	1037	356	11	28	2882	877	188	1961	2595	204
ENSG00000011007	966	1125	1269	1065	1819	1728	1039	1160	3734	2560	1952	2084	2204	1987
ENSG00000011009	114	71	125	112	85	110	149	131	256	138	177	196	178	187
ENSG00000011021	58	88	43	100	100	93	54	75	724	360	230	494	351	256
ENSG00000011028	407	619	893	735	567	487	892	750	4264	2002	5424	3994	1153	3867
ENSG00000011052	33	58	47	32	0	55	26	94	14	4	4	19	24	47
ENSG00000011105	2	0	5	3	2	1	2	7	13	16	56	13	12	31
ENSG00000011114	89	129	130	135	131	102	98	132	426	221	358	280	367	273
ENSG00000011132	69	49	56	71	78	79	55	64	212	99	103	137	76	75
ENSG00000011143	19	58	51	89	31	40	67	65	178	99	174	146	107	207
ENSG00000011198	130	81	115	123	118	100	125	120	276	171	167	135	134	161
ENSG00000011201	13	38	54	76	21	22	23	50	168	79	131	117	23	115
