Unnamed: 0	GSM6506628	GSM6506629	GSM6506634	GSM6506635	GSM6506640	GSM6506643
ENSG00000023318	2135	2384	3868	3450	3244	3996
ENSG00000023330	13369	16284	17193	15463	16190	14932
ENSG00000023445	8661	9319	18211	17054	10808	16626
ENSG00000023516	5073	5533	5236	4953	5174	4687
ENSG00000023572	831	943	995	925	839	903
ENSG00000023608	463	463	559	478	621	736
ENSG00000023697	615	749	630	582	658	531
ENSG00000151304	4379	4884	4933	4271	5697	5852
ENSG00000023839	14	17	20	22	24	34
ENSG00000023892	1215	1307	1613	1307	1263	1606
ENSG00000023902	15743	18116	20043	18668	23409	21906
ENSG00000023909	3463	3770	6799	6068	4735	6984
ENSG00000024048	4410	5017	5129	4770	6109	5806
ENSG00000024422	3786	4248	4505	3999	3504	3542
ENSG00000024526	534	574	214	218	186	110
ENSG00000024862	404	450	456	445	660	654
ENSG00000025039	1110	1222	1828	1679	2424	2625
ENSG00000025156	314	320	309	268	499	494
ENSG00000025293	1933	2183	1907	1722	2818	2520
ENSG00000025423	90	99	63	50	78	84
ENSG00000025434	779	917	1439	1305	855	908
ENSG00000284194	1598	1982	8968	7715	1512	5220
ENSG00000025770	1054	1232	1356	1170	1077	1295
ENSG00000025772	1268	1444	1370	1191	2119	1813
ENSG00000025796	5778	6328	7088	6304	6810	6937
ENSG00000025800	4467	4911	4380	3998	5538	5052
ENSG00000026025	87188	100742	82984	72573	153382	97363
ENSG00000169710	32	26	34	36	35	26
ENSG00000026297	1252	1409	1503	1336	2138	2036
ENSG00000026508	27623	32466	28242	25005	34059	30952
ENSG00000026559	432	513	504	439	817	745
ENSG00000026652	1623	1543	2296	2226	2647	2451
ENSG00000026751	970	1132	2977	2670	1688	2308
ENSG00000026950	1804	1883	2961	2816	2987	3766
ENSG00000027001	361	416	390	350	434	456
ENSG00000027075	891	1166	1101	948	1252	1524
ENSG00000027644	6	10	3	9	5	10
ENSG00000027697	3316	3654	3865	3455	3812	4544
ENSG00000027847	412	479	490	484	459	540
ENSG00000027869	229	234	407	378	193	364
ENSG00000028116	1615	1961	2727	2590	1412	1986
ENSG00000028137	10315	12415	17184	15316	24405	28192
ENSG00000028203	1157	1369	1527	1429	1811	1786
ENSG00000028277	10905	12182	11988	11377	20373	16011
ENSG00000028310	9124	9890	10979	10076	10812	10078
ENSG00000028528	3112	3462	3984	3665	3757	4102
ENSG00000028839	270	285	288	274	327	401
ENSG00000029153	4276	4414	3957	3548	8842	6470
ENSG00000029363	6532	7344	7508	6940	6649	7494
ENSG00000029364	2701	2980	3212	2973	3635	3875
ENSG00000029534	65	26	61	58	31	52
ENSG00000029639	386	431	452	382	534	468
ENSG00000029725	2926	3524	3892	3407	3956	4172
ENSG00000029993	1097	1273	948	879	1071	1081
ENSG00000030066	2500	2905	3412	3190	3377	3395
ENSG00000030110	2969	3516	5097	4513	5080	5902
ENSG00000030582	16906	20085	32270	27333	24771	31134
ENSG00000031003	1179	1214	1602	1415	1331	1463
ENSG00000031081	3048	3777	3194	2961	3894	3402
ENSG00000031691	935	990	871	739	572	574
ENSG00000031698	5782	6696	7503	6927	7387	7489
ENSG00000031823	1621	1913	2046	1949	1856	2050
ENSG00000032219	1563	1677	1983	1821	1628	1888
ENSG00000032389	812	1001	1021	988	1022	1012
ENSG00000032444	4506	5178	4837	4193	7276	6121
ENSG00000032742	412	435	449	392	413	417
ENSG00000033011	572	735	847	744	736	876
ENSG00000033030	951	1140	1440	1396	1468	1626
ENSG00000033050	1406	1781	1707	1600	1888	2023
ENSG00000033100	2065	2448	3197	2844	2729	3478
ENSG00000033122	39	37	31	35	60	46
ENSG00000033170	1478	1600	1562	1341	1585	1735
ENSG00000033178	4755	5131	5820	5158	5823	5681
ENSG00000033327	1712	1893	2295	2163	3156	3371
ENSG00000033627	4781	5315	5458	4831	8328	7504
ENSG00000033800	1777	2006	2263	2014	1807	1990
ENSG00000033867	5159	5590	3595	3287	8141	4806
ENSG00000034053	268	220	352	250	370	379
ENSG00000034152	3782	4418	4802	4418	9499	7919
ENSG00000034239	3	3	9	4	7	4
ENSG00000034510	25564	29888	31271	27456	37826	31822
ENSG00000034533	162	183	185	160	175	195
ENSG00000034677	1738	1819	2091	2006	3344	2845
ENSG00000034693	113	149	202	173	153	190
ENSG00000034713	1345	1425	1707	1503	2196	2218
ENSG00000035115	360	349	407	361	515	515
ENSG00000035141	1275	1331	1579	1362	1412	1611
ENSG00000035403	8938	10213	7533	6530	7866	6434
ENSG00000035499	337	399	234	192	181	163
ENSG00000035664	352	408	413	402	276	298
ENSG00000035681	2037	2375	3421	3137	3343	3471
ENSG00000035687	3426	3830	3561	3316	4271	3887
ENSG00000035862	4612	5405	7251	6112	5304	5746
ENSG00000173638	2639	3158	2796	2405	2645	2798
ENSG00000036054	1865	2041	2188	1993	2433	2310
ENSG00000036257	3285	3663	3361	2934	3760	3695
ENSG00000036530	44	35	51	62	40	35
ENSG00000036549	1256	1432	1534	1539	1849	1817
ENSG00000036565	12	14	17	16	10	15
ENSG00000036672	588	785	687	636	1322	936
ENSG00000036828	7	7	10	6	5	6
ENSG00000037042	678	683	708	679	997	803
ENSG00000037241	347	443	412	402	414	454
ENSG00000037474	16549	18983	21774	19844	16471	18611
ENSG00000037637	909	996	960	940	1271	1377
ENSG00000037749	883	961	1131	952	1088	1237
ENSG00000037757	552	572	592	558	721	648
ENSG00000037897	457	617	638	582	405	525
ENSG00000038002	219	242	331	271	317	303
ENSG00000038210	680	724	831	714	937	761
ENSG00000038219	3519	3878	4221	4027	4919	4701
ENSG00000038274	1823	2044	2231	2091	2413	2520
ENSG00000038358	2473	2926	2974	2620	3113	3231
ENSG00000038382	32097	35234	43142	39829	67470	58119
ENSG00000038427	36	54	35	38	51	33
ENSG00000038532	1311	1561	1434	1314	1663	1580
ENSG00000038945	363	347	613	518	1744	2116
ENSG00000105325	7	5	7	7	5	7
ENSG00000039123	3170	3498	3458	3148	3474	3560
ENSG00000039139	18	19	10	26	28	35
ENSG00000039319	2896	3005	5838	5078	3424	4521
ENSG00000039523	2882	3353	2927	2614	4583	4006
ENSG00000039560	1808	2089	2474	2421	3839	3613
ENSG00000039650	2070	2214	2541	2295	2849	2660
ENSG00000039987	6	3	4	2	6	2
ENSG00000040199	501	515	484	484	582	550
ENSG00000040275	755	837	640	521	507	480
ENSG00000040341	1060	1152	1139	997	1202	1198
ENSG00000040487	640	746	878	815	837	941
ENSG00000040531	1065	1308	1835	1588	1808	1903
ENSG00000040608	100	129	147	109	199	258
ENSG00000040633	1373	1741	2119	1888	1606	1898
ENSG00000040933	1894	2111	1776	1724	3979	3319
ENSG00000041353	1271	1314	2162	1796	3463	2605
ENSG00000041357	3573	3933	5848	5269	3753	4547
ENSG00000041515	18	31	32	36	153	143
ENSG00000041802	1742	1998	2538	2238	2058	2341
ENSG00000041880	116	148	154	141	155	151
ENSG00000041988	340	324	465	395	455	493
ENSG00000042062	97	66	143	129	256	145
ENSG00000042088	578	730	553	508	858	730
ENSG00000042286	1601	1851	3092	2697	2071	3032
ENSG00000042317	166	162	133	157	286	248
ENSG00000042429	1462	1666	1811	1603	1748	1962
ENSG00000042445	691	716	784	679	932	899
ENSG00000109805	5484	6940	8266	7407	4955	6563
ENSG00000042753	5513	6625	6522	5700	7318	6995
ENSG00000042832	53	61	71	83	89	86
ENSG00000042980	1124	1256	1773	1491	526	848
ENSG00000043039	1	2	2	3	3	3
ENSG00000043093	1738	1855	2253	1965	1842	2109
ENSG00000043143	1093	1211	2021	1772	1630	2088
ENSG00000043355	498	522	625	641	827	912
ENSG00000043462	3335	3937	5762	5039	5946	6630
ENSG00000043514	3563	3937	3930	3554	3861	3843
ENSG00000043591	216	212	267	256	297	396
ENSG00000044090	1929	2069	2140	1916	3058	2666
ENSG00000044115	14409	16458	18329	16401	19220	19651
ENSG00000044446	397	428	383	372	615	534
ENSG00000044459	1095	1202	1208	1156	974	990
ENSG00000044574	24963	27979	49128	42971	38759	47293
ENSG00000046604	697	789	1342	1117	1525	2041
ENSG00000046647	159	191	198	136	273	220
ENSG00000046651	852	896	1033	931	1216	1129
ENSG00000046653	27	5	27	26	16	17
ENSG00000047056	2201	2350	1989	1754	2906	2416
ENSG00000047188	1042	1110	1059	1007	985	949
ENSG00000047230	482	551	514	423	574	586
ENSG00000047249	4449	5110	7652	7006	7196	7827
ENSG00000047315	5039	5837	6270	5488	5831	5984
ENSG00000047346	596	605	643	629	772	853
ENSG00000047365	23	24	20	25	30	23
ENSG00000047410	6316	6900	6408	5853	6680	6024
ENSG00000047457	12	14	7	15	22	16
ENSG00000047578	917	997	1038	976	1380	1589
ENSG00000047579	416	473	518	497	590	612
ENSG00000047597	499	634	407	310	364	286
ENSG00000047621	752	821	1000	896	593	776
ENSG00000047634	30	35	70	48	63	79
ENSG00000047644	416	492	288	254	451	319
ENSG00000047648	20	39	35	46	20	28
ENSG00000047662	10	5	10	8	23	8
ENSG00000047849	10946	12872	11369	10209	12061	10922
ENSG00000047932	1905	2121	2083	1827	2047	2193
ENSG00000047936	12	11	11	16	2	8
ENSG00000048028	946	1005	1284	1151	1300	1418
ENSG00000048052	5958	6676	6642	6081	14674	9355
ENSG00000048140	1847	2008	2115	1925	2999	2709
ENSG00000048162	585	662	719	669	565	653
ENSG00000048342	423	458	434	382	494	442
ENSG00000048392	1767	1911	1892	1756	2175	2109
ENSG00000048405	1038	1098	1356	1281	1216	1311
ENSG00000048462	3	2	1	2	2	1
ENSG00000048471	874	1016	1087	943	1211	1172
ENSG00000048544	3138	3582	3848	3431	4256	4384
ENSG00000048649	2980	3248	3366	3069	3609	3652
ENSG00000048707	2913	3307	3472	3456	4418	4452
ENSG00000048740	6069	6854	5622	5291	6952	6161
