Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000010270	1279	1130	955	890	1100	930	1191	1014
ENSG00000010278	9323	2803	11091	4736	12509	15037	6993	8318
ENSG00000010292	1407	863	1896	1325	898	1005	698	981
ENSG00000010295	761	626	883	788	480	573	408	525
ENSG00000010310	14	14	3	28	10	12	22	38
ENSG00000010318	115	131	105	122	82	144	107	132
ENSG00000010319	74	31	148	54	144	356	39	92
ENSG00000010322	997	732	1168	1027	1240	1513	943	1108
ENSG00000010327	120	11	1006	200	26	138	12	84
ENSG00000010361	266	217	217	183	203	275	205	255
ENSG00000010404	3042	3031	2288	3146	3358	3096	3255	3073
ENSG00000010539	219	235	214	209	228	228	215	276
ENSG00000010610	7954	4647	8424	5185	4725	2734	3233	2164
ENSG00000010626	203	128	157	92	196	294	127	213
ENSG00000010671	2638	2563	2821	3199	2812	3419	2931	3492
ENSG00000010704	491	376	453	384	415	368	324	401
ENSG00000010803	489	278	286	215	422	213	297	175
ENSG00000010810	272	136	157	104	310	344	121	139
ENSG00000010818	193	414	115	498	100	98	197	277
ENSG00000011007	1737	2162	1464	2311	1504	1442	2097	2108
ENSG00000011009	1621	1409	1363	1363	1435	1612	1476	1619
ENSG00000011021	760	752	691	687	746	770	688	836
ENSG00000011028	701	322	671	418	671	532	379	473
ENSG00000011052	223	276	236	135	257	146	244	302
ENSG00000011083	178	54	333	104	605	290	287	146
ENSG00000011105	8	15	8	10	6	19	5	9
ENSG00000011114	168	226	171	270	180	203	193	208
ENSG00000011132	279	354	236	275	145	243	243	272
ENSG00000011143	265	187	242	168	207	235	158	223
ENSG00000011198	1467	840	1216	839	1692	1865	1132	1255
ENSG00000011201	187	68	260	195	872	486	561	429
ENSG00000011243	887	844	910	1126	808	878	845	1079
ENSG00000011258	494	515	530	628	429	548	508	626
ENSG00000011260	1757	1611	1587	1596	1334	1613	1849	1651
ENSG00000011275	1551	1406	1317	1312	1391	1365	1297	1426
ENSG00000011295	598	530	510	485	455	482	470	523
ENSG00000011304	5909	5804	5250	5849	3972	4567	5249	5509
ENSG00000011332	3	2	2	6	6	9	7	5
ENSG00000011347	5	49	4	41	7	3	9	30
ENSG00000011376	1109	962	1157	1061	1395	1070	1419	1205
ENSG00000011405	1322	1118	1123	1145	1392	1226	1058	1163
ENSG00000011422	9479	15848	10078	22019	7355	9251	13636	15454
ENSG00000011426	521	143	824	392	195	116	43	25
ENSG00000011451	642	597	661	757	514	648	575	598
ENSG00000011454	1150	965	1005	1042	1255	1153	1037	1018
ENSG00000011478	330	261	195	208	206	178	198	185
ENSG00000011485	1317	1125	1031	1156	1142	1187	1153	1293
