GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:2001106	regulation of Rho guanyl-nucleotide exchange factor activity	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001107	negative regulation of Rho guanyl-nucleotide exchange factor activity	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001108	positive regulation of Rho guanyl-nucleotide exchange factor activity	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001109	regulation of lens epithelial cell proliferation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001111	positive regulation of lens epithelial cell proliferation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001112	regulation of cellular response to hepatocyte growth factor stimulus	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001113	negative regulation of cellular response to hepatocyte growth factor stimulus	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001124	regulation of translational frameshifting	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001125	negative regulation of translational frameshifting	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001135	regulation of endocytic recycling	19	0.0017406440382941688	18/16075	0.3721766885238985	0.6318719804357205	0.5505090536097523	INPP5F/RAB11B	2		12	1	2.1151987263319496	-0.7491487685248738	0.4567238674374177
GO:2001136	negative regulation of endocytic recycling	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001137	positive regulation of endocytic recycling	8	0	0	1	1	1		0		0	0	0	0	0
GO:2001138	regulation of phospholipid transport	15	0	0	1	1	1		0		0	0	0	0	0
GO:2001140	positive regulation of phospholipid transport	14	0	0	1	1	1		0		0	0	0	0	0
GO:2001141	regulation of RNA biosynthetic process	3098	0	0	1	1	1		0		0	0	0	0	0
GO:2001142	nicotinate transport	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001144	regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001145	negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001148	regulation of dipeptide transmembrane transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001150	positive regulation of dipeptide transmembrane transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001151	regulation of renal water transport	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001153	positive regulation of renal water transport	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001160	regulation of histone H3-K79 methylation	3	0	0	1	1	1		0		0	0	0	0	0
GO:2001161	negative regulation of histone H3-K79 methylation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001162	positive regulation of histone H3-K79 methylation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001163	regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001165	positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001169	regulation of ATP biosynthetic process	22	8.703220191470844e-4	22/16075	0.8045871319311413	0.8635092612741238	0.7523195851784299	PARP1	1		8	1	1.4101324842212999	-0.34368366041670945	0.6601490575297885
GO:2001170	negative regulation of ATP biosynthetic process	4	0	0	1	1	1		0		0	0	0	0	0
GO:2001171	positive regulation of ATP biosynthetic process	14	0	0	1	1	1		0		0	0	0	0	0
GO:2001176	regulation of mediator complex assembly	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001178	positive regulation of mediator complex assembly	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	20	0.0026109660574412533	20/16075	0.16816800595064652	0.47657638570883754	0.41521007924487	NCKAP1L/RUNX1/HFE	3		8	1	1.4101324842212999	-0.34368366041670945	0.6601490575297885
GO:2001186	negative regulation of CD8-positive, alpha-beta T cell activation	7	8.703220191470844e-4	7/16075	0.4050184442226413	0.6394443317639756	0.5571063519429428	HFE	1		4	1	0.7050662421106499	0.3494635201432359	1.1485765880596626
GO:2001187	positive regulation of CD8-positive, alpha-beta T cell activation	9	0.0017406440382941688	9/16075	0.13151413785788343	0.4227334551910598	0.36830022781819677	NCKAP1L/RUNX1	2		4	0	0.7050662421106499	-Inf	0
GO:2001188	regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	6	8.703220191470844e-4	6/16075	0.3591984839285264	0.6238917974626887	0.5435564380291613	CD81	1		5	1	0.8813328026383124	0.12631996882902616	0.973452212596571
GO:2001189	negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	3	0	0	1	1	1		0		0	0	0	0	0
GO:2001190	positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	3	0	0	1	1	1		0		0	0	0	0	0
GO:2001191	regulation of gamma-delta T cell activation involved in immune response	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001193	positive regulation of gamma-delta T cell activation involved in immune response	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001197	basement membrane assembly involved in embryonic body morphogenesis	5	0	0	1	1	1		0		0	0	0	0	0
GO:2001198	regulation of dendritic cell differentiation	11	0	0	1	1	1		0		0	0	0	0	0
