ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0006754	ATP biosynthetic process	0.012117714945181766	98/16323	0.21428571428571427	2.018341439287775	3.4847563979363416	0.0012715614197367363	0.040000650745124156	0.033183712830929635	ATP5PD/ALDOA/IL4/ATP6/ND5/NDUFA5/NDUFA6/NDUFB5/NDUFC1/NDUFC2/NDUFS4/ATP5F1B/ATP5F1D/ATP5MC3/ATP5PF/ATP6V0C/SDHA/SDHB/SDHC/SDHD/TGFB1	21	19	0.11611127733758264	0.9658106046964922
GO:0006937	regulation of muscle contraction	0.022504327755337564	161/16323	0.2422360248447205	2.281603366151398	5.632190664477337	5.853597573772298e-7	4.082884307706178e-4	3.3870764066343495e-4	AKAP9/MYL9/NMU/CHRNA3/CHRNB4/CNN1/ADORA1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/EDN3/F2R/GHSR/GPER1/NR4A1/KIT/RHOA/SMAD7/ASPH/MYL5/PPP1R12B/ATP2B1/OXTR/RYR2/TACR2/TNNC1/UCN/CACNA1C/CACNB1/CALCA/CALM1/CALM2/CAMK2D/CASQ1/CAV1/KCNB2/GSTO1	39	85	-0.76306179158007	0.4508110370323804
GO:0006939	smooth muscle contraction	0.019042123485285632	104/16323	0.3173076923076923	2.9886979004838206	7.011836328449015	3.953661369391965e-9	2.7576788051508955e-5	2.2877133207944876e-5	NMU/CHRNA3/CHRNB2/CHRNB4/CNN1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/EDN3/EDNRA/EDNRB/F2R/GHSR/GPER1/APBB1/HTR7/KIT/RHOA/MYH11/NEUROG1/ATP2B1/OXTR/P2RX3/BBS2/SSTR2/TACR2/TBX3/CALCA/MKKS/CAV1/KCNB2	33	17	0.6793220361908643	1.4312870963021513
GO:0006940	regulation of smooth muscle contraction	0.012117714945181766	57/16323	0.3684210526315789	3.470130895617578	6.438361144615484	1.521014305804354e-7	2.4097154207378693e-4	1.999050091348209e-4	NMU/CHRNA3/CHRNB4/CNN1/ADRA2A/ADRA2C/ADRB2/EDN1/EDN2/EDN3/F2R/GHSR/GPER1/KIT/RHOA/ATP2B1/OXTR/TACR2/CALCA/CAV1/KCNB2	21	13	0.49560089904248644	1.2707670366239823
GO:0007043	cell-cell junction assembly	0.017311021350259664	153/16323	0.19607843137254902	1.8468483758188792	3.627059554625306	6.567819293034713e-4	0.02650118926760592	0.02198483869519408	CDH5/CDH6/CDH7/CDH8/CDH10/CDH13/ABI2/CDH18/RAMP2/PKP3/CLDN4/CLDN7/DSG1/APLNR/EPB41L3/GDF2/GJA4/IL17A/RHOA/SMAD7/NPHS1/PKP1/RAB13/ACTG1/TNF/VCL/CAV1/MPDZ/ACVRL1/CDH1	30	55	-0.5901079847897154	0.5292162655992018
GO:0007044	cell-substrate junction assembly	0.01154068090017311	95/16323	0.21052631578947367	1.9829319403529018	3.311395642721262	0.002052612428179181	0.04934457089461465	0.04093523579818099	CORO2B/SORBS1/COL17A1/EFNA5/APOD/ITGB4/RHOA/LAMC1/LIMS1/MYOC/PTEN/PTK2/PTPRK/BCL2/ACTG1/VCL/PIP5K1A/ITGB1BP1/ACVRL1/PPM1F	20	21	-0.03276234538883182	0.8583978721001599
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	0.021350259665320254	171/16323	0.21637426900584794	2.0380133831404823	4.702688118036731	1.8407209406813275e-5	0.003476465347691877	0.0028840037753272586	RAMP2/RACK1/GNA13/ADCY5/CNR1/CNR2/ADM/ADRA2A/ADRA2C/ADRB1/ADRB2/MGRN1/GALR1/GHRHR/GNAL/GPR6/CXCR3/GPR26/GPER1/HTR7/LHCGR/MC2R/MC4R/MC5R/OPRL1/PTGER1/PTGER2/PTGFR/PTGIR/ADGRB1/ADGRB2/CXCL11/CALCA/LGR5/GALR2/S1PR2/ADGRE5	37	83	-0.7918948763717734	0.4387708061925474
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	0.010963646855164455	80/16323	0.2375	2.236995095210617	3.8224179436723897	5.720252059090536e-4	0.025188408134039834	0.02089578260898954	ADCY5/CHRM5/ADORA1/ADRA2A/EDN1/EDNRA/GNAI3/MCHR1/GPR37/GRM7/GRM8/INSL3/MTNR1A/OPRL1/OPRM1/PSAP/RGS1/SSTR2/MARCO	19	44	-0.8237228359712206	0.42581029861294095
GO:0007204	positive regulation of cytosolic calcium ion concentration	0.025389497980380843	168/16323	0.2619047619047619	2.466861759129503	6.586408586580547	9.400924737497886e-9	2.8642330220853183e-5	2.376108496118166e-5	GNA13/ADCY5/CMKLR1/ADM/CX3CR1/EDN1/EDNRA/EDNRB/F2R/SWAP70/GALR1/GATA2/GNAT2/GPR6/CXCR3/MCHR1/GPER1/CXCR2/ITGAV/LHCGR/ASPH/OPRM1/OXTR/P2RX3/PKD2/AVP/PTGER1/PTGER2/PTGFR/PTGIR/BCL2/RYR2/TAC1/TMBIM6/C3AR1/TRPC3/CACNA1A/CACNA1C/CACNA2D1/CXCR4/CALCA/CAV1/GALR2/CCKBR	44	67	-0.4044751666921048	0.6256944261212166
GO:0007214	gamma-aminobutyric acid signaling pathway	0.005770340450086555	30/16323	0.3333333333333333	3.139642238892095	4.042588940403296	7.225213235543462e-4	0.027690034240612994	0.022971079905021643	GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRR1/SLC12A2	10	12	-0.16629373801335448	0.7687953642527019
