GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
22889	0	0	0	0	0	0	0	0	0	0	0	0
22905	0	0	0	0	0	0	0	-0.4578910731139105	0	0	0	0
22908	0	0	0	0	0	0	0	0	0	0	0	0
22926	0	0	0	0	0	0	0	0	0	0	0	0
22934	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
230	-0.536306310763629	0	0	0	0	0	0	0	-0.3424238213534374	-0.3424238213534374	0	-0.7565023419408301
23011	0	0	0	0	0	0	0	0	0	0	0	0
23013	0	0	0	0	0	0	0	0	0	0	0	0
23014	0	0	0	0	0	0	0	0	0	0	0	0
23029	0	0	0	0	0	0	0	0	0	0	-0.5316296189891694	0
23038	0	0	0	0	0	0	0	0	-0.2787429762110706	-0.2787429762110706	-1.0429543218269597	0
23039	0	0	0	0	0	0	0	0	0	0	0	0
23061	0	0	0	0	0	0	0	0	0	0	0	0
23076	0	0	0	0	0	0	0	0	0	0	-0.30640698752964535	0
23077	0	0	0	0	0	0	0	0	0	0	-0.3716261066711113	0
2309	0	0	0	0	0	0	0	0	0	0	0	0
23097	0	0	0	0	0	0	0	0	0	0	0	0
23131	0	0	0	0	0	0	0	0	0	0	0	0
23139	0	0	0	0	0	0	0	0	0	0	0	0
23142	0	0	0	0	0	0	0	0	0	0	0	0
23149	0	0	0	0	0	0	0	0	0	0	0	0
23161	0	0	0	0	0	0	0	0	0	0	0	0
23200	0	0	0	0	0	0	0	0	0	0	0	0
23210	0	0	0	0	0	0	0	0	0	0	0	0
23212	0	0	0	0	0	0	0	-1.1188954701818647	0	0	0	0
23223	0	0	0	0	0	0	0	0	0	0	-0.948122614045756	0
23224	0	0	0	0	0	0	0	0	0	0	-0.8222270123279265	0
