,pert_iname,clinical_phase,moa,target,disease_area,indication
2975,idoxuridine,Launched,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor,,infectious disease,virus herpes simplex (HSV)
2982,ifenprodil,Launched,adrenergic receptor antagonist|glutamate receptor antagonist,GRIN2B,,
2983,ifosfamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis
2985,iguratimod,Launched,cyclooxygenase inhibitor|NFkB pathway inhibitor,PTGS2,rheumatology,rheumatoid arthritis
2989,ilaprazole,Launched,proton pump inhibitor,,gastroenterology,gastroesophageal reflux disease (GERD)
2992,iloperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR2A|HTR6|HTR7,neurology/psychiatry,schizophrenia
2993,iloprost,Launched,platelet aggregation inhibitor|prostanoid receptor agonist,PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R,pulmonary,pulmonary arterial hypertension (PAH)
2994,imatinib,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
2999,imidacloprid,Launched,acetylcholine receptor antagonist,,,
3000,imidafenacin,Launched,acetylcholine receptor antagonist,CHRM1|CHRM3,neurology/psychiatry,spasms
3001,imidapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure
3005,imipenem,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,pneumonia|urinary tract infections|intra-abdominal infections|gynecologic infections|bacterial septicemia|bone and joint infections|skin infections|endocarditis
3006,imipramine,Launched,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry|urology,depression|nocturnal enuresis
3007,imiquimod,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
3022,indacaterol,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,chronic obstructive pulmonary disease (COPD)
3024,indapamide,Launched,thiazide diuretic,CA2|HTR3A|KCNQ1,cardiology,hypertension|congestive heart failure
3029,indinavir,Launched,HIV protease inhibitor,CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
3036,indobufen,Launched,cyclooxygenase inhibitor|platelet aggregation inhibitor,PTGS1|PTGS2,hematology,thrombosis
3037,indocyanine-green,Launched,contrast agent,SLCO1B1,cardiology,vascular imaging agent
3040,indomethacin,Launched,cyclooxygenase inhibitor,GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1,rheumatology|orthopedics,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis
3042,indoramin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2B|ADRA2C,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension
3044,ingenol,Launched,PKC activator,PRKCD|PRKCE,dermatology,keratosis
3045,ingenol-mebutate,Launched,PKC activator,PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,dermatology,actinic keratosis (AK)
3047,inimur,Launched,other antifungal,,,
3049,inosine,Launched,neurotrophic agent,PARP1|PNP,,
3050,inositol,Launched,insulin sensitizer,CDIPT,obstetrics/gynecology,polycystic ovary syndrom (PCOS)
3051,inositol-hexanicotinate,Launched,,,dermatology|cardiology|rheumatology|neurology/psychiatry,statis dermatitis|claudication|Raynaud's disease|hypertension|insomnia|atherosclerosis|restless leg syndrome|schizophrenia|psoriasis|acne vulgaris (AV)
3057,iobenguane,Launched,antineoplastic agent,,oncology|cardiology|endocrinology,neuroblastoma|congestive heart failure|pheochromocytoma
3058,iocetamic-acid,Launched,radiopaque medium,,radiology,contrast agent
3059,iodipamide,Launched,radiopaque medium,ALB,radiology,contrast agent
3060,iodixanol,Launched,radiopaque medium,,radiology,contrast agent
3064,iodoquinol,Launched,antiseptic,,infectious disease,amebiasis
3065,iohexol,Launched,radiopaque medium,,radiology,contrast agent
3066,iopamidol,Launched,radiopaque medium,,radiology,contrast agent
3068,iopodic-acid,Launched,,,radiology,contrast agent
3069,iopromide,Launched,radiopaque medium,,radiology,contrast agent
3071,ioversol,Launched,radiopaque medium,,radiology,contrast agent
3073,ioxaglic-acid,Launched,radiopaque medium,,radiology,contrast agent
3074,ioxilan,Launched,radiopaque medium,,radiology,angiography
3081,ipragliflozin-L-proline,Launched,sodium/glucose cotransporter inhibitor,SLC5A2,endocrinology,diabetes mellitus
3082,ipratropium,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,pulmonary,bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
3083,ipriflavone,Launched,bone resorption inhibitor,,orthopedics,osteoporosis
3086,irbesartan,Launched,angiotensin receptor antagonist,AGTR1|JUN|SLC10A1,cardiology|nephrology,hypertension|diabetic nephropathy
3089,irinotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
3092,irsogladine,Launched,phosphodiesterase inhibitor,PDE4A,gastroenterology,peptic ulcer disease (PUD)
3097,isepamicin,Launched,protein synthesis inhibitor,,infectious disease,pneumonia|peritonitis
3101,isocarboxazid,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression
3102,isoconazole,Launched,fungal lanosterol demethylase inhibitor,CYP17A1,infectious disease,gram-positive bacterial infections
3104,isoetharine,Launched,adrenergic receptor agonist,,pulmonary,bronchospasm|asthma
3107,isoflurane,Launched,inhaled anaesthetic,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,general anaesthetic
3108,isoflurophate,Launched,cholinesterase inhibitor,ACHE|BCHE,ophthalmology,glaucoma
3110,isoleucine,Launched,,,,
3112,isometheptene-mucate,Launched,,,neurology/psychiatry,headache
3113,isoniazid,Launched,FABI inhibitor,CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4,infectious disease,tuberculosis
3114,isopentyl-4-methoxycinnamate,Launched,,,dermatology,sunscreen lotion
3115,isoprenaline,Launched,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,cardiology|pulmonary,bradycardia|heart block|asthma
3116,isopropamide-iodide,Launched,acetylcholine receptor antagonist,CHRM3|CHRM4,gastroenterology,peptic ulcer disease (PUD)|gastrointestinal acidosis
3117,isopropyl-myristate,Launched,,,dermatology,cosmetic
3118,isopropyl-palmitate,Launched,cosmetic moisturizer,,dermatology,cosmetic
3121,isosorbide,Launched,nitric oxide stimulant,,cardiology,angina pectoris|coronary artery disease (CAD)
3122,isosorbide-dinitrate,Launched,nitric oxide stimulant,GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3|NPR1,cardiology,angina pectoris|coronary artery disease (CAD)
3123,isosorbide-mononitrate,Launched,nitric oxide stimulant,GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3,cardiology,angina pectoris|coronary artery disease (CAD)
3126,isotretinoin,Launched,retinoid receptor agonist,RARA|RARB|RARG,dermatology,acne vulgaris (AV)
3130,isoxsuprine,Launched,adrenergic receptor agonist,ADRB2,rheumatology|cardiology,Raynaud's disease|arteriosclerosis|Buerger's disease
3132,isradipine,Launched,calcium channel blocker,CACNA1D|CACNA1F|CACNA2D1,cardiology,hypertension
3135,istradefylline,Launched,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,neurology/psychiatry,Parkinson's Disease|dyskinesia
3141,itopride,Launched,dopamine receptor antagonist,CHRM3|DRD2,gastroenterology|neurology/psychiatry,dyspepsia|gastroparesis|heartburn|nausea|vomiting|anorexia
3142,itraconazole,Launched,cytochrome P450 inhibitor,,infectious disease,onychomycosis|histoplasmosis|blastomycosis|aspergillosis
3147,ivabradine,Launched,HCN channel blocker|potassium channel blocker|sodium channel blocker,HCN1|HCN3|HCN4,cardiology,angina pectoris
3148,ivacaftor,Launched,CFTR channel potentiator,CFTR,pulmonary,cystic fibrosis
3149,ivermectin,Launched,benzodiazepine receptor agonist,CHRNA7|P2RX7,infectious disease,gastrointestinal roundworms|lungworms|cattle grubs|mites|lice|horn flies
3150,ivosidenib,Launched,isocitrate dehydrogenase inhibitor,IDH1,hematologic malignancy,acute myeloid leukemia (AML)
3152,ixabepilone,Launched,microtubule stabilizing agent,TUBB,oncology,breast cancer
3153,ixazomib,Launched,proteasome inhibitor,,hematologic malignancy,multiple myeloma
3154,ixazomib-citrate,Launched,proteasome inhibitor,,hematologic malignancy,multiple myeloma
3185,josamycin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis
3210,kanamycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
3220,ketanserin,Launched,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,cardiology,hypertension
3221,ketoconazole,Launched,sterol demethylase inhibitor,KCNA10,dermatology,seborrheic dermatitis
3223,ketoprofen,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis
3224,ketorolac,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
3225,ketotifen,Launched,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor,HRH1,neurology/psychiatry,itching
3237,kinetin,Launched,cell division inducer,,dermatology,sunburn
3269,L-alanine,Launched,,AARS|AARS2|ABAT|AGXT|AGXT2|GPRC6A|GPT|GPT2|KYNU|NFS1|PHYKPL|SLC1A4|SLC36A1|SLC7A8,,
3270,L-arginine,Launched,nitric oxide precursor,ARG2|ASL|ASS1|AZIN2|GPRC6A|NOS2|NOS3|SLC7A1|SLC7A3|SLC7A4,cardiology|neurology/psychiatry|urology|obstetrics/gynecology|otolaryngology,congestive heart failure|hypertension|coronary artery disease (CAD)|claudication|senile dementia|erectile dysfunction|infertility|common cold
3274,L-aspartic-acid,Launched,metallic radical formation stimulant,ACY1|ACY3|ADSS|ADSSL1|ASNS|ASPA|ASPH|ASRGL1|ASS1|CAD|DARS|DARS2|GOT1|GOT2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|LYZ|PAICS|RNASE1|SLC1A1|SLC25A12|SLC25A13,,
3275,L-citrulline,Launched,nitric oxide stimulant,ASS1|DDAH1|DDAH2|GPRC6A|NOS1|NOS2|NOS3|OTC|PADI1|PADI2|PADI3|PADI4|PADI6,cardiology|urology,hypertension|erectile dysfunction
3276,L-cysteine,Launched,,CARS|CARS2|CBS|CDO-1|CDO1|CSAD|CTH|GCLC|GCLM|GOT1|GSS|MGMT|NFS1|SLC19A3,rheumatology,osteoarthritis|rheumatoid arthritis
3278,L-cystine,Launched,,CTNS|SLC3A1|SLC7A11|SLC7A9,,
3280,L-glutamic-acid,Launched,glutamate receptor agonist,AADAT|AASS|ABAT|ALDH18A1|ASNS|BCAT1|BCAT2|CCBL2|DNPEP|EARS2|ENPEP|EPRS|FOLH1|FPGS|FTCD|GAD1|GAD2|GATB|GCLC|GCLM|GGCX|GLS|GLS2|GLUD1|GLUD2|GLUL|GMPS|GOT1|GOT2|GPT|GPT2|GRIA1|GRIA2|GRIA3|GRIA4|GRID1|GRID2|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM1|GRM2|GRM3|GRM4|GRM6|GRM7|GRM8|LGSN|NADSYN1|NAGS|OPLAH|PFAS|PGCP|PSAT1|SLC1A1|SLC1A2|SLC1A3|SLC1A6|SLC1A7|SLC25A18|SLC25A22|SLC7A11|TAT,,
3281,L-glutamine,Launched,,CTPS1|GLUL|GPRC6A|PPAT,gastroenterology|dental|neurology/psychiatry|rheumatology,diarrhea|mucositis|muscle pain|joint pain|peptic ulcer disease (PUD)|ulcerative colitis|Crohn's disease|anxiety|insomnia
3282,L-hydroxyproline,Launched,,,,
3286,L-methionine,Launched,voltage-gated calcium channel ligand,BHMT|BHMT2|METAP2|MTR|MTRR,pulmonary|allergy|neurology/psychiatry,asthma|allergic rhinitis|depression|Parkinson's Disease|schizophrenia
3292,L-proline,Launched,glutamate receptor agonist,EPRS|L3HYPDH|P3H1|P3H2|P3H3|P4HA1|P4HA2|PARS2|PPIA|PPIB|PPIC|PPIF|PPIG|PPIH|PRODH|PROSC|PYCR1|PYCR2|PYCRL|SLC6A14|SLC6A7,,
3294,L-theanine,Launched,glutamate receptor antagonist,,,
3321,labetalol,Launched,adrenergic receptor antagonist,ADRA1D|ADRB1|ADRB2,cardiology,hypertension
3322,lacidipine,Launched,calcium channel blocker,CACNA1C,cardiology,hypertension
3323,lacitol,Launched,laxative,,gastroenterology,constipation
3324,lactulose,Launched,laxative,,gastroenterology,portal-systemic encephalopathy (PSE)
3325,lafutidine,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|peptic ulcer disease (PUD)
3326,lamivudine,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)|hepatitis B
3327,lamotrigine,Launched,serotonin receptor antagonist|sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|bipolar disorder
3330,landiolol,Launched,adrenergic receptor antagonist,ADRB1,cardiology,cardiac arrythmia
3332,lanoconazole,Launched,sterol demethylase inhibitor,,infectious disease,fungal infection
3333,lansoprazole,Launched,ATPase inhibitor,ATP4A|ATP4B,gastroenterology,heartburn
3334,lapatinib,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer
3338,laropiprant,Launched,prostanoid receptor antagonist,PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGFR|PTGIR|TBXA2R,cardiology,cholesterol
3339,larotrectinib,Launched,tropomyosin receptor kinase inhibitor,NTRK1|NTRK2|NTRK3,,
3340,lasalocid,Launched,bacterial permeability inducer,,infectious disease,coccidiosis
3341,lasmiditan,Launched,serotonin receptor agonist,,,
3342,lasofoxifene,Launched,selective estrogen receptor modulator (SERM),ESR1|ESR2,orthopedics|oncology,osteoporosis|breast cancer
3343,latanoprost,Launched,prostanoid receptor agonist,PTGFR,ophthalmology,ocular hypertension|glaucoma
3355,LCZ696,Launched,angiotensin receptor antagonist,,cardiology,angioedema|hypotension
3363,ledipasvir,Launched,HCV inhibitor,,infectious disease,hepatitis C
3364,leflunomide,Launched,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor,AHR|DHODH|PTK2B,rheumatology,rheumatoid arthritis
3365,lemborexant,Launched,orexin receptor antagonist,HCRTR1|HCRTR2,,
3366,lenalidomide,Launched,anticancer agent,TNF,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)|myelodysplastic diseases (MDS)
3368,lenvatinib,Launched,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT4|KDR,oncology,thyroid cancer
3371,lercanidipine,Launched,calcium channel blocker,CACNA2D1,cardiology,hypertension
3374,lesinurad,Launched,uric acid diuretic,SLC22A12,rheumatology,gout
3377,letermovir,Launched,CMV terminase inhibitor,,infectious disease,cytomegalovirus (CMV)
3378,letosteine,Launched,mucolytic agent,,pulmonary|infectious disease,bronchitis|pneumonia
3380,letrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
3382,leucovorin,Launched,folate receptor ligand,,oncology,osteosarcoma
3384,leuprolide,Launched,gonadotropin releasing factor hormone receptor agonist,GNRHR,oncology,prostate cancer
3385,levalbuterol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,bronchospasm
3386,levallorphan,Launched,opioid receptor antagonist,CHRNA2|OPRM1,pulmonary,respiratory depression
3388,levamlodipine,Launched,calcium channel blocker,,cardiology,hypertension
3390,levetiracetam,Launched,calcium channel blocker,CACNA1B|SCN1A|SV2A,neurology/psychiatry,seizures
3391,levo-phencynonate,Launched,acetylcholine receptor antagonist,CHRM1,,
3392,levobetaxolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,intraocular pressure|glaucoma
3393,levobunolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,ophthalmology,glaucoma|ocular hypertension
3396,levocabastine,Launched,histamine receptor antagonist,HRH1|NTSR2,ophthalmology,conjunctivitis
3397,levocarnitine,Launched,,CRAT|CROT,endocrinology,carnitine deficiency
3398,levocarnitine-propionate,Launched,carnitine palmitoyltransferase inhibitor,CRAT,neurology/psychiatry|endocrinology,peripheral neuropathy|carnitine deficiency
3399,levocetirizine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
3400,levodopa,Launched,dopamine precursor,DRD1|DRD2|DRD3|DRD4|DRD5|GPR143,neurology/psychiatry,Parkinson's Disease
3401,levodropropizine,Launched,antitussive,,pulmonary,cough suppressant
3402,levofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|pulmonary|urology,pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague
3403,levomenol,Launched,,,neurology/psychiatry|infectious disease,spasms|skin infections
3404,levomenthol,Launched,,OPRK1|TRPA1|TRPM8|TRPV3,neurology/psychiatry,pain relief
3405,levomepromazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR2A|HTR2C,neurology/psychiatry|gastroenterology,psychosis|schizophrenia|bipolar disorder|nausea|insomnia
3407,levonordefrin,Launched,vasodilator,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|SLC6A2,hematology,hemorrhage
3408,levonorgestrel,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,PGR,endocrinology,contraceptive
3409,levopropoxyphene,Launched,antitussive,,pulmonary,cough suppressant
3410,levosimendan,Launched,calcium sensitizer,KCNJ11|KCNJ8|PDE3A|TNNC1,cardiology,congestive heart failure
3411,levosulpiride,Launched,dopamine receptor antagonist,CA1|CA12|CA7|DRD2|DRD3,neurology/psychiatry|gastroenterology|urology,schizophrenia|psychosis|anxiety|vertigo|dyspepsia|irritable bowel syndrome|premature ejaculation (PE)
3412,levothyroxine,Launched,thyroid hormone stimulant,THRA|THRB,endocrinology,myxedema coma
3423,lidamidine,Launched,adrenergic receptor agonist,,gastroenterology,diarrhea
3424,lidocaine,Launched,histamine receptor agonist,EGFR|SCN10A|SCN5A|SCN9A,neurology/psychiatry|dermatology|hematology,itching|eczema|hemorrhage
3425,lidoflazine,Launched,calcium channel blocker,SCN1A|SCN3A|SLC29A1,cardiology,coronary artery disease (CAD)
3427,lifitegrast,Launched,lymphocyte function-associated antigen negative modulator,,ophthalmology,dry eye syndrome
3429,limaprost-alfadex,Launched,prostanoid receptor agonist,PTGER1,cardiology,claudication
3432,linaclotide,Launched,guanylate cyclase activator,GUCY2C,gastroenterology,irritable bowel syndrome|constipation
3433,linagliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
3436,lincomycin,Launched,bacterial 30S ribosomal subunit inhibitor,,gastroenterology,enteritis
3437,lindane,Launched,,GABRB1|GLRA1|GLRA2|GLRA3|GLRB,infectious disease,scabies
3438,linezolid,Launched,bacterial 50S ribosomal subunit inhibitor,MAOA|MAOB,infectious disease,pneumonia|skin infections
3442,linsidomine,Launched,nitric oxide donor,,urology,erectile dysfunction
3445,liothyronine,Launched,thyroid hormone stimulant,THRA|THRB,endocrinology,hypothyroidism|myxedema coma
3449,liraglutide,Launched,GLP receptor agonist,GLP1R,endocrinology,weight-loss aid|diabetes mellitus
3450,liranaftate,Launched,fungal squalene epoxidase inhibitor,,infectious disease,fungal infection
3452,lisadimate,Launched,topical sunscreen agent,,dermatology,sunscreen lotion
3453,lisinopril,Launched,angiotensin converting enzyme inhibitor,ACE|ACE2,cardiology|endocrinology,hypertension|congestive heart failure|diabetes mellitus
3455,lisuride,Launched,dopamine receptor agonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6,neurology/psychiatry,Parkinson's Disease
3457,lithium-citrate,Launched,,,neurology/psychiatry,bipolar disorder|depression
3465,lobeline,Launched,acetylcholine receptor antagonist,CHRNA10|CHRNA9|SLC18A2,neurology/psychiatry,smoking cessation
3467,lobenzarit,Launched,immunosuppressant,,rheumatology,rheumatoid arthritis
3469,lodoxamide,Launched,histamine receptor antagonist,,ophthalmology,vernal keratoconjunctivitis (VKC)
3471,lofepramine,Launched,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),HTR1A|SLC6A2|SLC6A4,neurology/psychiatry,depression
3472,lofexidine,Launched,adrenergic receptor agonist,,neurology/psychiatry,opioid withdrawal
3473,lomefloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,respiratory tract infections|urinary tract infections
3475,lomerizine,Launched,calcium channel blocker,CACNA1B|SCN5A,neurology/psychiatry,migraine headache
3477,lomitapide,Launched,microsomal trigylceride transfer protein inhibitor,MTTP,endocrinology,hypercholesterolemia
3478,lomustine,Launched,DNA synthesis inhibitor,,hematologic malignancy|oncology,Hodgkin's lymphoma|brain tumors
3480,lonidamine,Launched,glucokinase inhibitor,GCK,,
3481,loperamide,Launched,opioid receptor agonist,CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC,gastroenterology,diarrhea
3482,lopinavir,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
3483,loracarbef,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|otolaryngology|pulmonary,ear infections|laryngitis|bronchitis|pneumonia|urinary tract infections|skin infections
3484,loratadine,Launched,histamine receptor antagonist,HRH1,allergy|neurology/psychiatry,allergic rhinitis|itching
3488,lorlatinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK,oncology,non-small cell lung cancer (NSCLC)
3489,lornoxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology|neurology/psychiatry,osteoarthritis|sciata
3490,losartan,Launched,angiotensin receptor antagonist,AGTR1,cardiology|nephrology,hypertension|diabetic nephropathy|hypertension
3493,loteprednol,Launched,glucocorticoid receptor agonist|phospholipase inhibitor,NR3C1,ophthalmology,conjunctivitis
3494,lovastatin,Launched,HMGCR inhibitor,HDAC2|HMGCR|ITGAL|NR1I2,cardiology|endocrinology,coronary heart disease|myocardial infarction|hypercholesterolemia
3495,loxapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,schizophrenia
3497,loxoprofen,Launched,cyclooxygenase inhibitor|prostanoid receptor antagonist,PTGS2,neurology/psychiatry,pain relief
3507,lubiprostone,Launched,chloride channel activator,CLCN2,gastroenterology,constipation|irritable bowel syndrome
3511,lufenuron,Launched,chitin inhibitor,,infectious disease,flea control
3512,luliconazole,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis
3513,lumacaftor,Launched,CFTR channel agonist,CFTR,pulmonary,cystic fibrosis
3514,lumateperone,Launched,dopamine receptor modulator|serotonin receptor antagonist,DRD2|HTR2A,,
3515,lumefantrine,Launched,antimalarial agent,ATP1A1,infectious disease,malaria
3518,lurasidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA2A|ADRA2C|DRD2|HTR1A|HTR2A|HTR7,neurology/psychiatry,schizophrenia
3521,lusutrombopag,Launched,thrombopoietin receptor agonist,,,
3522,lutein,Launched,antioxidant,,ophthalmology,macular degeneration|cataracts|retinitis pigmentosa (RP)
3530,lycopene,Launched,free radical scavenger,,,
3532,lymecycline,Launched,bacterial 50S ribosomal subunit inhibitor,,dermatology,acne vulgaris (AV)
3533,lynestrenol,Launched,progestogen hormone,,endocrinology,contraceptive
3534,lypressin,Launched,vasopressin receptor agonist,AVPR1A|AVPR1B|AVPR2,endocrinology,central diabetes insipidus
3590,mabuprofen,Launched,cyclooxygenase inhibitor,,neurology/psychiatry,pain relief
3591,mabuterol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma
3593,macitentan,Launched,endothelin receptor antagonist,EDNRA|EDNRB,endocrinology,contraceptive
3598,mafenide,Launched,carbonic anhydrase inhibitor,CA12|CA14|CA2|CA4|CA6|CA9,infectious disease,first-aid antibiotic|skin infections
3600,malathion,Launched,cholinesterase inhibitor,ACHE,infectious disease,lice
3601,malic-acid,Launched,,PKD2L1,,
3602,malotilate,Launched,protein synthesis stimulant,,gastroenterology,hepatic cirrhosis
3603,maltobionic-acid,Launched,matrix metalloprotease inhibitor,,dermatology,cosmetic
3604,mandelic-acid,Launched,,,,
3605,mangafodipir,Launched,contrast agent,,radiology,contrast agent
3606,manidipine,Launched,calcium channel blocker,CACNA1C|CACNA1D,cardiology,hypertension
3608,mannitol-D,Launched,diuretic,,neurology/psychiatry|ophthalmology|gastroenterology,intracranial pressure|intraocular pressure|constipation
3609,maprotiline,Launched,norepinephrine reputake inhibitor|tricyclic antidepressant,SLC6A2,neurology/psychiatry,depression|dysthymic disorder
3610,maraviroc,Launched,CC chemokine receptor antagonist,CCR5,infectious disease,human immunodeficiency virus (HIV-1)
3611,marbofloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
3614,maropitant,Launched,neurokinin receptor antagonist,TACR1,gastroenterology,vomiting
3615,masitinib,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor,FGFR3|KIT|PDGFRA|PDGFRB,dermatology,mastocytoma
3616,masoprocol,Launched,lipoxygenase inhibitor,ALOX5,dermatology,actinic keratosis (AK)
3621,maxacalcitol,Launched,vitamin D receptor agonist,VDR,endocrinology,hyperparathyroidism
