metric,drug_name,median_min_score
NCS_indivSig_TB_microarray,paclitaxel,-1.3232784799673936
NCS_indivSig_TB_microarray,vincristine,-1.3097853122478895
NCS_indivSig_TB_microarray,ingenol,-1.2984393792727005
NCS_indivSig_TB_microarray,diltiazem,-1.2808530177423523
NCS_indivSig_TB_microarray,vorinostat,-1.278524859704762
NCS_indivSig_TB_microarray,oxibendazole,-1.2729178548673419
NCS_indivSig_TB_microarray,meclofenamic-acid,-1.2700546988247359
NCS_indivSig_TB_microarray,vinblastine,-1.2685450205059419
NCS_indivSig_TB_microarray,everolimus,-1.239546155868366
NCS_indivSig_TB_microarray,clemastine,-1.238741448931096
NCS_indivSig_TB_microarray,trifluoperazine,-1.236915130438597
NCS_indivSig_TB_microarray,bepridil,-1.2328418291710697
NCS_indivSig_TB_microarray,tivozanib,-1.2269218582508588
NCS_indivSig_TB_microarray,crizotinib,-1.2243082908038314
NCS_indivSig_TB_microarray,danazol,-1.219005259059869
NCS_indivSig_TB_microarray,topotecan,-1.218517652829838
NCS_indivSig_TB_microarray,midostaurin,-1.2166101026216034
NCS_indivSig_TB_microarray,carbetocin,-1.2111900126542574
NCS_indivSig_TB_microarray,clozapine,-1.2110482046941655
Tau_indivSig_TB_microarray,panobinostat,-93.46815626286735
Tau_indivSig_TB_microarray,vincristine,-93.208746618274
Tau_indivSig_TB_microarray,vorinostat,-92.97626495410032
Tau_indivSig_TB_microarray,diltiazem,-92.20494160790878
Tau_indivSig_TB_microarray,clemastine,-92.1233733178249
Tau_indivSig_TB_microarray,valsartan,-91.78852643419572
Tau_indivSig_TB_microarray,bepridil,-91.02982272769356
Tau_indivSig_TB_microarray,trifluoperazine,-90.09288236238163
Tau_indivSig_TB_microarray,nitrendipine,-89.91960927071956
Tau_indivSig_TB_microarray,danazol,-89.64752848659927
Tau_indivSig_TB_microarray,ketoprofen,-89.3816631130064
Tau_indivSig_TB_microarray,oxibendazole,-89.21023973028866
Tau_indivSig_TB_microarray,paclitaxel,-89.18129375509469
Tau_indivSig_TB_microarray,phentolamine,-89.10829666554594
Tau_indivSig_TB_microarray,primidone,-88.9479278049447
Tau_indivSig_TB_microarray,estradiol,-88.915728203984
Tau_indivSig_TB_microarray,meclofenamic-acid,-88.48990717924492
Tau_indivSig_TB_microarray,naftopidil,-88.22501487209993
Tau_indivSig_TB_microarray,albendazole,-88.10998847412255
Tau_indivSig_TB_microarray,pirenzepine,-87.22192608386638
WCS_indivSig_TB_microarray,fludroxycortide,-0.4216355686168939
WCS_indivSig_TB_microarray,clemastine,-0.42017872680805113
WCS_indivSig_TB_microarray,clomifene,-0.4173549163452904
WCS_indivSig_TB_microarray,vincristine,-0.41613003309942276
WCS_indivSig_TB_microarray,panobinostat,-0.4150249847756682
WCS_indivSig_TB_microarray,diltiazem,-0.41310599843843243
WCS_indivSig_TB_microarray,tamoxifen,-0.41000540688386056
WCS_indivSig_TB_microarray,meclofenamic-acid,-0.40915454937545404
WCS_indivSig_TB_microarray,nicergoline,-0.40884516509098023
WCS_indivSig_TB_microarray,pinacidil,-0.40512135261808635
WCS_indivSig_TB_microarray,everolimus,-0.40473378629269646
WCS_indivSig_TB_microarray,triflupromazine,-0.4034098043898337
WCS_indivSig_TB_microarray,raltitrexed,-0.40202964455715534
WCS_indivSig_TB_microarray,menadione,-0.4014377200092973
WCS_indivSig_TB_microarray,mycophenolate-mofetil,-0.3998334714019347
WCS_indivSig_TB_microarray,cabergoline,-0.39878614604809615
WCS_indivSig_TB_microarray,vorinostat,-0.3985203964715577
WCS_indivSig_TB_microarray,danazol,-0.39704679907084883
WCS_indivSig_TB_microarray,cimetidine,-0.39413525445214603
WCS_indivSig_TB_microarray,ibudilast,-0.39367810182399204
