pert	cell	pearson
calcipotriol	A549	-0.11639332541074236
bifonazole	VCAP	-0.1162920367042535
ouabain	NEU	-0.11621772140016431
ambroxol	SKB	-0.11616230842618348
tamibarotene	VCAP	-0.11589352301040186
icosapent	PC3	-0.1158929906406005
dolasetron	PC3	-0.11583643849845247
propranolol	VCAP	-0.11581026932526284
gefitinib	SKBR3	-0.11565827874144403
mephentermine	NPC	-0.11554845467523328
acarbose	VCAP	-0.11550900627167789
calcifediol	HA1E	-0.11545980999086988
phenazopyridine	HCC515	-0.11539835908123756
miglitol	A549	-0.11536542359695086
lamotrigine	ASC	-0.11531636289799647
amperozide	PHH	-0.1152970638036744
sirolimus	A375	-0.11522003866497411
chenodeoxycholic-acid	SKB	-0.115166412553102
halcinonide	A549	-0.11495972453213812
vinpocetine	VCAP	-0.1147329864450849
tranylcypromine	FIBRNPC	-0.1145349196768128
lidoflazine	HCC515	-0.11442554705183688
trazodone	PC3	-0.1144108758356736
proxymetacaine	PC3	-0.11437126058555344
nicergoline	HCC515	-0.11432817996129986
bosutinib	VCAP	-0.11431742713097463
lidocaine	A549	-0.11422071601088934
quercetin	NEU	-0.11419211764915926
lenalidomide	A549	-0.11410855710284463
pyrimethamine	PC3	-0.11410089657997226
clozapine	FIBRNPC	-0.11402340826833073
ziprasidone	SKB	-0.113917976124631
midostaurin	NPC	-0.1139068434898862
pentoxifylline	PHH	-0.11390600587818211
molsidomine	PC3	-0.11385443231503473
hesperidin	NPC	-0.1138520196054593
mirtazapine	PC3	-0.11380039407470018
oxybenzone	HA1E	-0.11375502527385573
pyrazinamide	PC3	-0.11374441930616304
lidocaine	ASC	-0.11372823935627116
tacrolimus	A549	-0.11363580020412464
procarbazine	HA1E	-0.1134008193525035
maraviroc	PC3	-0.11323457783206207
lacidipine	A549	-0.11317370779234884
nizatidine	A549	-0.1131427039781712
rutin	NPC	-0.11299287371381588
propantheline	VCAP	-0.1129879557966638
tofacitinib	VCAP	-0.11297081434802644
decitabine	SKB	-0.11292515241716404
somatostatin	PHH	-0.11291806970525678
lypressin	VCAP	-0.11268162679376888
metoprolol	PHH	-0.11253971267958668
nicorandil	MCF7	-0.11251093198096176
pilocarpine	A549	-0.11246797019506868
nalbuphine	VCAP	-0.1124322712165969
quinapril	HA1E	-0.1123695759321759
ezetimibe	PHH	-0.11234627492825026
procaterol	NEU	-0.11212867037991736
butoconazole	PHH	-0.11198681750789782
amantadine	HCC515	-0.1118822070978256
hydrocortisone	HCC515	-0.1117921955395856
terazosin	MCF7	-0.11175490453477543
estrone	HT29	-0.1116914510236801
deoxycholic-acid	ASC	-0.11148172096225784
bisoprolol	MCF7	-0.11140310901731018
fulvestrant	NEU	-0.1113850018874859
diphenidol	PC3	-0.11134285650989124
mometasone	MCF7	-0.11126072691815544
acitretin	PHH	-0.11124032834929944
pravastatin	A549	-0.11121660698934877
iloprost	ASC	-0.11111514085144417
diazoxide	A549	-0.11107546271530871
everolimus	A549	-0.11097502093947872
calcitriol	FIBRNPC	-0.11093846271131937
calcifediol	NPC	-0.1109167215967442
olaparib	BT20	-0.11075666576615809
dexamethasone	HA1E	-0.11072416566312834
ropinirole	ASC	-0.11064968886905502
phenazopyridine	PC3	-0.1106293305166873
propafenone	HA1E	-0.1105937097046557
sirolimus	HS578T	-0.1104508084250348
iloprost	CD34	-0.11044602643513668
biotin	NPC	-0.11033858675302365
imatinib	MCF10A	-0.11028938562225164
pentoxifylline	VCAP	-0.11025917962415813
raloxifene	HEPG2	-0.10989512587642158
cilnidipine	PHH	-0.10981055093058711
brompheniramine	SKB	-0.10974901411435378
sulpiride	A549	-0.10957810043314054
spiperone	HUH7	-0.10947249258187262
floxuridine	PC3	-0.10937699030566278
hydroflumethiazide	PC3	-0.10926811152512483
bendroflumethiazide	PC3	-0.108913625128886
oxyphenonium	VCAP	-0.1088621938452662
thiostrepton	ASC	-0.1088436816660503
vinpocetine	HA1E	-0.1088393588221272
doxylamine	PHH	-0.10870892666917852
estradiol	PC3	-0.10867865281506478
thiostrepton	PC3	-0.10865220856970376
citalopram	HT29	-0.10862366075510872
granisetron	PC3	-0.10861219807926945
nabumetone	PC3	-0.10855606446539703
digoxin	NPC	-0.108493890381446
homochlorcyclizine	HT29	-0.1084666298666483
equol	MCF7	-0.10844176135346958
tolterodine	VCAP	-0.10843334553414984
cortisone	NPC	-0.1082752122833988
selegiline	A549	-0.10813438592309237
propentofylline	PC3	-0.10812555729507484
escitalopram	ASC	-0.10809811227719822
dihydroergocristine	A549	-0.10801779978764976
crizotinib	HA1E	-0.10796075029278042
tamoxifen	MCF7	-0.10780819472141027
gefitinib	PHH	-0.1076911309666989
talniflumate	HCC515	-0.10760510364543924
metoprolol	VCAP	-0.10759615955890307
mifepristone	NEU	-0.1075905599597574
bupropion	MCF7	-0.107469945154378
doconexent	A549	-0.10744037256564662
iloprost	PC3	-0.10735866646421724
celecoxib	HCC515	-0.10730661106023344
nemonapride	ASC	-0.1072417218577787
nifedipine	A375	-0.10723750087464735
ivermectin	VCAP	-0.10712318563975888
belinostat	SKB	-0.10705863996588602
quercetin	A549	-0.10697115887555832
tiagabine	VCAP	-0.10691422769440116
lidoflazine	VCAP	-0.10690235520029408
mebeverine	MCF7	-0.10689728946730584
gefitinib	HS578T	-0.10685196924565628
tacrolimus	PC3	-0.10681895603117304
trapidil	A549	-0.10677969247005466
parachlorophenol	HA1E	-0.10670885618917043
ouabain	MCF7	-0.10668942088172696
cilostazol	PC3	-0.106620649014673
prednisolone	ASC	-0.10660953099168397
irbesartan	ASC	-0.10646622362642212
docetaxel	PC3	-0.10631793331881946
dexamethasone	VCAP	-0.1063030105194319
ezetimibe	PC3	-0.10629125878184544
physostigmine	ASC	-0.1061709849569192
rifabutin	VCAP	-0.10614935682452872
vinorelbine	PHH	-0.10594766323278278
doxepin	PC3	-0.10590884810451462
piperidolate	HCC515	-0.10588081611939992
triamterene	HCC515	-0.10585064885259336
dexamethasone	PC3	-0.10571261357873638
nitrendipine	A375	-0.10569666509295672
fenoldopam	ASC	-0.10563397080580644
vecuronium	PHH	-0.10562105347308316
prednicarbate	A549	-0.10560073890206884
captopril	VCAP	-0.10535536649379176
tadalafil	MCF7	-0.105049602365994
pyrimethamine	ASC	-0.10504148159448194
procarbazine	ASC	-0.10499706945114878
cefotaxime	VCAP	-0.10492637510898715
diazoxide	HCC515	-0.10484158122239684
moxifloxacin	PC3	-0.10483485583119002
metyrapone	VCAP	-0.10482388025853616
