pert	cell	spearman
pyrvinium-pamoate	MCF7	-0.09171374646691866
mephentermine	NPC	-0.09161453815884892
dextromethorphan	HA1E	-0.09151821941315014
eplerenone	A549	-0.09147391279012868
etodolac	NPC	-0.091448869916247
cholic-acid	ASC	-0.09131402367226872
fluocinonide	MCF7	-0.09130342861024184
naphazoline	ASC	-0.09128223848618812
terconazole	VCAP	-0.0911502818045808
panobinostat	HCC515	-0.09112528281605324
quinapril	HCC515	-0.09108382187004864
tripelennamine	ASC	-0.09106070537108094
iloperidone	PHH	-0.09098268718706493
biotin	NPC	-0.09081027663226413
tolazamide	HT29	-0.09078619694583942
mianserin	NPC	-0.09075055900993088
clemastine	HCC515	-0.09067254082591486
menadione	ASC	-0.09060511770392572
molsidomine	NPC	-0.0905521423937914
midostaurin	HCC515	-0.0904962775212861
estradiol	HCC515	-0.09045197089826466
azathioprine	PC3	-0.09044041264878082
mefenamic-acid	PHH	-0.090268965281437
tacrolimus	MCF7	-0.09020154215944784
terguride	ASC	-0.09010233385137811
vorinostat	ASC	-0.0900946283517222
nilotinib	HA1E	-0.09003394754193197
tamoxifen	MCF7	-0.08998675135653958
tivozanib	MCF7	-0.08989524854812574
cilastatin	HCC515	-0.08989139579829779
econazole	A549	-0.08981241442682479
resorcinol	PHH	-0.08978544517802914
naltrexone	ASC	-0.08978159242820118
tadalafil	HCC515	-0.08973535943026577
aprepitant	ASC	-0.08971127974384108
niacin	MCF7	-0.08966697312081964
calcipotriol	HT29	-0.08961977693542723
diphenidol	ASC	-0.08959569724900254
ciprofibrate	VCAP	-0.08958702856188965
dasatinib	MCF10A	-0.08951478950261557
guanfacine	A549	-0.08950130487821774
nizatidine	A549	-0.0894878202538199
estradiol-valerate	PHH	-0.0894252130691157
isotretinoin	SKB	-0.0893712745715244
carteolol	A549	-0.08934719488509969
methylene-blue	PC3	-0.08934526851018572
calcipotriol	VCAP	-0.08928169813802453
benazepril	MCF7	-0.08927977176311055
crizotinib	A375	-0.08927218621402255
nimodipine	SKB	-0.08922294370314827
pefloxacin	VCAP	-0.08914781508150323
stiripentol	PC3	-0.08913914639439034
verapamil	SKB	-0.0891025452710248
metolazone	NPC	-0.08886752753151979
spiperone	HCC515	-0.08883574234543919
methocarbamol	HCC515	-0.08877602472310595
sulindac	VCAP	-0.0887644664736221
icosapent	NPC	-0.08865755266589645
chloroquine	NPC	-0.08856027073274068
saquinavir	HCC515	-0.08854389654597189
benidipine	VCAP	-0.08848514211109564
levocetirizine	A549	-0.08847262067415479
raloxifene	NPC	-0.08843890911316023
tolterodine	VCAP	-0.0884090503019936
lomerizine	VCAP	-0.0883551118044023
mexiletine	HA1E	-0.08833488486780555
galantamine	A375	-0.08828479912004218
benzonatate	MCF7	-0.08826938812073039
methocarbamol	HA1E	-0.08823856612210677
thiotepa	PHH	-0.08819136993671436
mercaptopurine	MCF7	-0.08803437038122536
raltitrexed	SKB	-0.08773385589464518
maraviroc	HT29	-0.08772518720753228
imatinib	A549	-0.08752773377884979
gemfibrozil	PC3	-0.0874564579070327
piperidolate	ASC	-0.0873466545369361
triamterene	SKB	-0.08724070391666744
vinpocetine	VCAP	-0.08723685116683949
cefdinir	A549	-0.08711163679743107
yohimbine	A375	-0.08706925654932361
nilutamide	SKB	-0.08703747136324302
lidoflazine	SKB	-0.08695945317922701
clofibric-acid	SKB	-0.08687372949555511
mafenide	VCAP	-0.08684483387184545
metoprolol	HA1E	-0.0867639261254585
cilostazol	PC3	-0.08675236787597464
niclosamide	ASC	-0.08671480356515211
