Source,Target,Interaction
naltrexone,ANKK1,drug-gene
triclosan,RXRA,drug-gene
tofacitinib,STAT5B,drug-gene
tofacitinib,STAT5A,drug-gene
zolmitriptan,HTR1F,drug-gene
nelfinavir,TFAP2A,drug-gene
lisuride,HTR1A,drug-gene
nitrendipine,CACNG1,drug-gene
rilmenidine,NISCH,drug-gene
resveratrol,CEL,drug-gene
resveratrol,GDF15,drug-gene
resveratrol,RIPK1,drug-gene
resveratrol,SLC2A3,drug-gene
resveratrol,FOXO3,drug-gene
