pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
albendazole	A549	trt_cp	down	-0.5483982421004723	1.967034845978778e-5	4.981322373798753e-5	-1.0099123242208676	-69.47154471544715	4920	-0.02782393078339941	23	1	CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B	Anthelmintic; Tubulin inhibitor	2082	Launched
albendazole	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	-0.02782393078339941	23	1	CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B	Anthelmintic; Tubulin inhibitor	2082	Launched
alfacalcidol	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.3462592222830995	23	1	CYP27B1; CYP3A5; RXRA; VDR	Vitamin D receptor agonist	73707490	Launched
alfacalcidol	VCAP	trt_cp	down	-0.4099827517092839	2.567589732582918e-5	5.0226090218610045e-5	-0.7246023120883558	-37.41429970617042	6126	0.3462592222830995	23	1	CYP27B1; CYP3A5; RXRA; VDR	Vitamin D receptor agonist	73707490	Launched
alfacalcidol	MCF7	trt_cp	up	0.6016671502853288	1.7320351077423755e-5	4.981322373798753e-5	1.0184094773032344	68.57647247632804	6231	0.3462592222830995	23	1	CYP27B1; CYP3A5; RXRA; VDR	Vitamin D receptor agonist	73707490	Launched
alfuzosin	PHH	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1778	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	HA1E	trt_cp	up	0.6323135050038703	1.6014796976110404e-5	4.981322373798753e-5	1.0531098827131045	77.19767960731815	2241	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	MCF7	trt_cp	up	0.61061251982791	1.6928684847029748e-5	4.981322373798753e-5	1.0335508210110038	60.10271224522548	6231	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	A549	trt_cp	up	0.43990307743470014	2.4370343224515834e-5	4.981322373798753e-5	0.7619881703739911	43.39430894308943	4920	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	HCC515	trt_cp	up	0.6404989706438111	1.566664921576018e-5	4.981322373798753e-5	1.0857430631756928	89.98756218905473	1608	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alfuzosin	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.7701350498931016	23	1	ADRA1A; ADRA1B; ADRA1D; KCNH2	Adrenergic receptor antagonist	2092	Launched
alimemazine	VCAP	trt_cp	up	0.48167936077625884	2.2542567482677147e-5	4.981322373798753e-5	0.815405516583998	42.491021873979754	6126	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	MCF7	trt_cp	up	0.5561354531352467	1.9322200699437554e-5	4.981322373798753e-5	0.9413404336079716	58.25710158883005	6231	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	HT29	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1607	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	HA1E	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2241	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alimemazine	A375	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1968	0.016308110331680337	23	1	HRH1	Histamine receptor agonist	5574	Launched
alprenolol	HCC515	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1608	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	NEU	trt_cp	up	0.6219643237799267	1.6449981676548188e-5	4.981322373798753e-5	1.044448230994388	53.37373737373738	2475	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	SKB	trt_cp	up	0.5514801901308088	1.9539793049656446e-5	4.981322373798753e-5	0.895145643799417	58.383233532934135	2338	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	HA1E	trt_cp	up	0.5673940733263066	1.8843497528955994e-5	4.981322373798753e-5	0.9449874172925027	55.644801427933956	2241	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	MCF7	trt_cp	down	-0.37486349638829686	2.7199043777361424e-5	5.191076273235689e-5	-0.6868621046775648	-43.87738725726208	6231	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	NPC	trt_cp	down	-0.5890469974765185	1.788609118799287e-5	4.981322373798753e-5	-1.0602599002150646	-61.17788461538462	3328	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
alprenolol	ASC	trt_cp	up	0.4123173276286878	2.5588860385741625e-5	5.016901313511699e-5	0.7289973349903467	34.58422174840085	2345	0.7339817842546189	23	1	ADCY10; ADRB1; ADRB2; ADRB3	Adrenergic receptor antagonist	2119	Launched
altrenogest	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	-0.027961229436824945	23	1	PGR	Progestogen hormone	10041070	Launched
altrenogest	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	-0.027961229436824945	23	1	PGR	Progestogen hormone	10041070	Launched
altrenogest	HCC515	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1608	-0.027961229436824945	23	1	PGR	Progestogen hormone	10041070	Launched
