Unnamed: 0	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
ALAS1	10200	1149	2449	1305	2544	681	1894	339	969
BIRC3	1757	11845	5070	8056	16116	8569	29278	3957	5956
AKAP11	211	2131	638	2525	1110	2489	2302	648	1844
GLRX2	418	367	195	426	372	784	974	457	601
SNAPC1	179	176	300	241	366	232	325	217	170
DERA	566	407	400	419	508	546	464	290	575
STRAP	1556	3149	2834	2968	4344	1931	1987	1237	1823
ABCC2	158	66	187	92	125	119	168	85	91
DEF6	3695	3813	2256	5577	3588	7421	4829	4805	4603
PLEKHO1	453	8331	5188	6393	5726	5560	6558	5264	8969
GCLM	2233	438	2554	1249	496	772	1081	554	454
UBR2	3843	3996	6232	4758	5605	3494	2743	1431	3081
EHD2	12	20	22	25	24	63	67	103	37
DEPDC1	100	93	34	32	7	30	32	33	13
CCDC28A	1229	566	871	691	764	585	665	414	594
RRAGD	1500	763	1259	634	869	295	432	146	411
HSF2	136	450	280	809	1046	811	582	345	419
PHF20	1446	3067	3723	4488	2695	3172	2508	2577	2533
HSD17B6	2	1	4	2	3	8	24	18	9
NR1H3	29	70	51	62	88	140	335	145	151
TYMP	10408	9346	6659	8046	14328	4556	13044	7108	31617
NCAPH2	223	1485	522	1420	1587	1398	1805	1338	984
TOMM34	102	315	135	207	303	425	861	242	148
SEC63	2094	4107	2831	4027	2976	3336	4354	1846	2551
KPNA6	2416	3267	2242	4299	2587	3877	3700	2645	3243
VIM	115271	74305	46203	59139	66619	29862	24517	18489	44933
RTEL1-TNFRSF6B	71	325	253	549	339	594	540	293	481
FAS	4185	3429	14621	2500	2398	1292	3393	889	1461
RNASET2	9194	5459	5273	7930	9490	7741	2566	6493	8458
CD44	51806	51877	25775	34720	29477	23733	31491	9756	23066
KCNG1	3	15	9	30	30	137	124	97	16
AGPAT4	156	789	352	1470	1002	1075	592	501	1095
SLAMF7	1095	12757	10493	2892	1988	4476	24983	2699	4573
BTN3A1	1152	4602	3897	5424	6731	13691	9850	3403	6714
MIPEP	16	86	26	86	88	181	240	102	115
PRKCH	589	5528	3285	8215	5473	10362	4874	2845	5274
INSRR	0	4	5	7	6	6	19	1	3
IFNGR1	23050	7193	17175	8817	9242	2539	2205	1068	4271
B4GALT7	84	531	131	423	335	529	597	444	415
SH2D2A	167	2327	871	3803	1565	1677	2041	957	861
VRK2	1029	1964	1207	1514	1160	557	965	306	1029
TNFRSF1B	19791	38888	21473	30337	15299	14485	10202	6010	25684
VEZT	307	1171	502	1129	1090	1048	1231	610	839
POU2F2	575	11867	1870	6874	4936	11348	5940	8023	12284
BRD9	420	1983	798	1545	1458	2348	1821	3008	1706
SNX1	4768	2636	2182	4523	3463	3918	4006	2131	3604
TBPL1	823	626	757	785	631	722	790	372	479
ARNTL2	111	504	227	184	207	93	1220	183	180
BCLAF1	5308	12362	5241	10904	13743	9758	8404	6770	7595
SLC39A9	1082	1778	1383	1742	1087	1504	2275	635	1371
ANK1	30	245	155	383	225	688	184	180	328
IBSP	0	0	0	0	0	0	0	0	0
TFB1M	40	82	165	124	157	279	322	221	165
RABEP1	829	2225	1190	2630	1861	1840	1574	1110	1509
HMGB3	200	292	222	247	271	154	235	240	82
NUP160	235	1381	588	1529	1357	1536	1258	856	1344
BAK1	659	1648	1233	1635	1451	1019	1142	888	1092
MUSK	1	2	1	3	3	4	7	9	12
IKZF2	57	564	503	1800	1183	2523	798	583	1597
GRN	17222	15638	12359	17815	14259	7323	4406	3656	20256
FAM13B	1923	3102	2350	3701	3365	2590	1858	652	2110
ARHGAP31	402	4505	2485	2908	1067	626	1362	275	1160
CENPQ	70	95	119	106	49	92	204	85	76
SARS1	1331	2704	1230	2830	1705	2919	4729	2028	2346
RANBP3	926	1929	707	2122	1420	2621	2718	1392	1809
ARID4A	5654	3306	2225	3388	6161	3350	3040	3883	2702
EIPR1	286	293	152	313	373	662	663	487	508
PNPLA6	7754	2241	2732	3572	3174	3124	2697	3147	3848
IFT88	88	464	205	419	379	300	281	237	266
ALG1	101	385	160	357	294	623	803	772	486
ZCCHC8	1271	1509	504	1493	2577	1362	1661	968	1001
ABCF2	190	514	313	778	622	775	889	763	733
CHPF2	1753	2269	1069	2173	1540	2063	2341	1448	1883
LRRC7	56	153	43	124	176	202	169	346	109
FUT8	112	334	137	306	788	932	879	1549	481
