Unnamed: 0	GSM4263940	GSM4263941	GSM4263942	GSM4263943	GSM4263944	GSM4263945
ERP44	863	1015	1047	1512	1713	1735
ALAS1	4648	5373	4271	14131	7838	9239
BIRC3	204	169	258	2803	1611	3883
AKAP11	429	510	803	370	374	648
GLRX2	479	437	373	453	321	335
SNAPC1	45	60	71	59	56	123
DERA	571	613	568	713	398	606
STRAP	1120	1228	1235	1301	833	1225
ABCC2	2	3	4	8	7	11
DEF6	270	477	790	215	249	430
PLEKHO1	2913	2292	2984	4397	3080	4796
GCLM	191	219	239	329	249	349
UBR2	915	804	861	1284	933	1236
EHD2	5	5	59	2	1	67
DEPDC1	75	128	228	14	9	41
CCDC28A	280	246	272	232	183	349
RRAGD	1451	2094	1236	1066	1150	967
HSF2	61	60	95	57	22	79
PHF20	765	678	739	849	507	851
HSD17B6	4	5	1	4	6	4
NR1H3	7355	5996	4303	16609	7940	7634
TYMP	2624	3481	6318	12800	12572	18843
NCAPH2	494	432	705	452	223	372
TOMM34	311	306	513	553	291	561
SEC63	1168	1378	1567	1331	1154	1581
KPNA6	1287	1193	1355	1432	1055	1598
VIM	48952	71935	91083	52975	63769	113277
RTEL1-TNFRSF6B	124	126	114	91	76	161
FAS	394	315	316	317	281	326
RNASET2	2955	3126	3351	2548	2053	2724
CD44	11429	10258	12607	18065	14250	31718
KCNG1	2	2	44	6	5	13
AGPAT4	690	518	455	671	394	788
SLAMF7	5919	4362	2912	21127	17598	15220
BTN3A1	480	492	471	836	670	700
MIPEP	476	439	394	470	233	328
PRKCH	357	268	478	322	184	620
INSRR	0	0	0	1	0	1
IFNGR1	2095	2538	3948	1328	1428	2828
B4GALT7	283	264	298	309	191	328
SH2D2A	1	2	8	1	3	39
VRK2	232	208	273	374	230	436
TNFRSF1B	8424	5392	6320	11580	4756	9900
VEZT	658	698	716	753	704	882
POU2F2	180	145	169	470	279	452
BRD9	475	495	547	522	286	493
SNX1	3824	3125	2618	4439	2450	2880
TBPL1	53	78	112	67	75	93
ARNTL2	207	184	378	329	234	565
BCLAF1	1574	1770	1961	1678	1226	1858
SLC39A9	1363	1155	1344	1581	976	1758
ANK1	12	4	26	11	4	43
IBSP	2	20	2	1	11	11
TFB1M	115	153	156	169	120	153
RABEP1	1288	1401	1201	1483	1189	1242
HMGB3	251	294	619	155	176	922
NUP160	605	597	1034	655	518	776
BAK1	1672	1546	1421	3178	2868	2069
MUSK	1	1	0	1	1	0
IKZF2	155	121	141	71	68	78
GRN	38886	40603	28452	46929	34584	35891
FAM13B	2311	2164	1527	2114	1574	1516
ARHGAP31	3623	4292	4584	5521	4024	5963
CENPQ	101	128	76	32	39	38
SARS1	917	907	1129	1156	739	1205
RANBP3	751	758	757	760	457	828
ARID4A	491	460	461	535	366	587
EIPR1	455	481	481	426	306	384
PNPLA6	3361	3380	6051	2521	2248	5808
IFT88	48	61	40	30	39	52
ALG1	545	623	682	630	422	574
ZCCHC8	286	290	336	313	312	410
ABCF2	347	373	527	411	270	442
CHPF2	1348	1413	1301	1483	902	1727
LRRC7	10	14	15	14	13	11
FUT8	87	107	213	47	54	207
UBA6	740	859	839	979	1122	1223
GAB2	643	767	741	807	982	1874
ATP6V0A1	2816	3446	2742	2890	2346	3066
PIAS1	943	874	834	944	689	1004
SLC4A7	532	872	1310	441	444	1019
APBA2	0	0	0	0	0	0
MAP2K3	2782	2318	2725	4936	2762	5268
CLXN	7	8	9	9	7	7
TMSB10	15277	15638	18692	20464	16430	22708
ASTE1	97	79	88	80	57	77
RNF19A	1437	994	855	2092	1503	1446
PEX3	112	122	136	175	117	148
GABARAPL2	1194	1085	864	1608	1107	1233
MYOC	0	0	0	0	0	0
SH3YL1	215	171	177	149	69	139
FAM136A	358	387	618	478	295	512
VCL	2088	2429	3066	1288	860	1791
DEPDC1B	48	88	175	10	11	37
DAPK2	29	3	23	59	16	34
NSMAF	905	982	1002	1047	744	1073
ADSS2	1254	1073	1035	1372	822	1158
STAP1	2	11	12	50	276	48
TIMP2	17865	20059	13287	16970	13208	13093
RFC1	509	497	699	493	321	527
TBC1D23	589	453	597	740	485	838
CUL3	891	734	899	863	493	947
MYOM2	3	12	12	1	0	7
OTC	0	0	0	0	0	0
CYP46A1	23	14	14	14	11	11
ZZZ3	312	342	345	281	189	309
SLC18A1	2	7	3	2	5	8
USP2	1985	1749	1137	1828	1290	1101
CASR	7	1	1	4	5	4
TUBG2	121	125	111	105	63	118
RPL26L1	274	251	307	313	178	288
FLT4	2	3	1	1	5	2
NSUN2	938	967	1147	1274	890	1137
FBXO42	468	404	462	392	343	623
MFAP3	453	415	574	436	391	611
MRI1	183	213	269	161	135	188
METTL1	677	602	534	805	542	616
HOXC8	0	0	0	0	0	0
AGA	233	247	368	269	213	374
PI4K2B	412	435	499	822	868	642
BOD1L1	996	928	1169	1027	840	1207
MAT2B	1382	978	1223	1744	1283	1557
TLL1	0	0	0	0	0	0
EDC4	1005	893	1089	1076	620	1192
TRIO	2334	2737	2751	2265	1648	2448
VCAN	172	634	1848	48	363	2801
CLEC16A	706	678	709	699	497	777
MSR1	9984	7671	7511	7889	7733	7792
CDH1	18	43	11	11	23	10
MTREX	801	756	834	813	587	790
DNAH5	1	1	2	0	1	2
ZFYVE16	3704	2964	3382	5274	2965	5132
RIPOR1	1769	2098	1780	1724	1163	1521
C6	0	0	0	0	0	0
RAI14	1607	1206	1205	1327	613	1474
SOX30	0	0	1	0	0	1
PNKP	475	456	436	465	263	446
BEST2	0	0	3	0	0	1
PHLPP2	302	243	248	268	159	387
SPDL1	138	167	259	75	49	113
STAU2	379	398	388	252	169	293
SLC66A1	1587	1449	1235	1962	1038	1519
CTNS	2201	2192	2418	3136	2121	3212
RTN4R	603	708	298	363	222	158
PHF23	611	575	567	670	468	620
CDH10	0	1	0	0	2	0
INPP4A	1144	926	1062	788	541	845
RAB27B	0	0	0	0	0	0
PSMA4	988	1083	1341	2053	1979	1983
MYO16	1	0	2	1	1	1
LSG1	448	558	538	584	387	512
PARP3	201	162	155	220	135	218
TNC	72	199	1873	42	58	1084
THAP3	103	86	109	147	93	156
RIPOR3	30	24	21	49	39	103
TDP1	204	180	328	179	91	239
AIFM2	920	864	748	1711	1321	2005
C2orf83	5	1	2	1	2	2
SPATA7	34	28	26	12	13	24
MED17	325	306	418	409	281	365
RETSAT	655	783	714	676	516	816
CAPG	25535	36973	25923	36718	32898	31485
AP2S1	2732	2778	2934	2447	1782	2580
USH2A	0	0	1	0	0	0
ZPBP	0	0	0	0	0	0
TG	10	4	4	7	2	15
ADAM28	335	303	362	435	277	493
BARX2	3	3	2	4	1	3
DCUN1D1	633	696	686	691	613	834
JADE2	326	213	290	785	885	647
ZIC2	0	0	0	0	0	0
