pert	n_reversed_cells	min_score_cell	all_reversed_cells
doxazosin	1	PC3	PC3
doxylamine	1	VCAP	VCAP
efavirenz	1	A549	A549
enalaprilat	1	MCF7	MCF7
entacapone	1	MCF7	MCF7
eprosartan	1	VCAP	VCAP
erythromycin	1	PHH	PHH
esomeprazole	1	A549	A549
ethotoin	1	VCAP	VCAP
etoposide	1	VCAP	VCAP
fenofibrate	1	A549	A549
finasteride	1	A549	A549
flavoxate	1	VCAP	VCAP
flubendazole	1	PC3	PC3
flucytosine	1	MCF7	MCF7
flunisolide	1	A549	A549
formestane	1	PC3	PC3
gefitinib	1	NPC	NPC
gestrinone	1	PC3	PC3
glycopyrrolate	1	VCAP	VCAP
granisetron	1	MCF7	MCF7
hydroflumethiazide	1	VCAP	VCAP
ibudilast	1	VCAP	VCAP
iloprost	1	NPC	NPC
indapamide	1	PC3	PC3
indinavir	1	PC3	PC3
irinotecan	1	HCC515	HCC515
isotretinoin	1	A549	A549
ketoconazole	1	MCF7	MCF7
lacidipine	1	PC3	PC3
latanoprost	1	VCAP	VCAP
letrozole	1	PC3	PC3
levofloxacin	1	A549	A549
levonorgestrel	1	VCAP	VCAP
linezolid	1	ASC	ASC
liothyronine	1	VCAP	VCAP
lobeline	1	MCF7	MCF7
loteprednol	1	A549	A549
mafenide	1	A549	A549
meclofenamic-acid	1	PHH	PHH
mephentermine	1	PHH	PHH
mercaptopurine	1	PC3	PC3
methimazole	1	MCF7	MCF7
methylene-blue	1	HT29	HT29
methylprednisolone	1	PC3	PC3
metronidazole	1	VCAP	VCAP
mexiletine	1	PHH	PHH
miglitol	1	VCAP	VCAP
moclobemide	1	VCAP	VCAP
molsidomine	1	VCAP	VCAP
moxifloxacin	1	PHH	PHH
mupirocin	1	MCF7	MCF7
niacin	1	A549	A549
nicergoline	1	VCAP	VCAP
nicorandil	1	PC3	PC3
nicotinamide	1	VCAP	VCAP
nicotine	1	A549	A549
nifedipine	1	A549	A549
niflumic-acid	1	VCAP	VCAP
nisoldipine	1	PC3	PC3
nizatidine	1	VCAP	VCAP
norethindrone	1	VCAP	VCAP
olmesartan	1	MCF7	MCF7
oxiconazole	1	MCF7	MCF7
oxymetazoline	1	VCAP	VCAP
pancuronium	1	MCF7	MCF7
panobinostat	1	VCAP	VCAP
pantoprazole	1	NPC	NPC
perospirone	1	PC3	PC3
pheniramine	1	NPC	NPC
phentolamine	1	SKB	SKB
phloretin	1	A549	A549
picotamide	1	HCC515	HCC515
pirarubicin	1	PC3	PC3
pirlindole	1	VCAP	VCAP
pramipexole	1	A549	A549
prednicarbate	1	A549	A549
prilocaine	1	VCAP	VCAP
primaquine	1	VCAP	VCAP
procarbazine	1	A549	A549
propantheline	1	MCF7	MCF7
propranolol	1	PC3	PC3
quinapril	1	NPC	NPC
ramipril	1	HT29	HT29
repaglinide	1	PC3	PC3
ritonavir	1	VCAP	VCAP
rosmarinic-acid	1	NPC	NPC
safinamide	1	A549	A549
sertaconazole	1	PC3	PC3
streptozotocin	1	VCAP	VCAP
sulfasalazine	1	A549	A549
sulfinpyrazone	1	VCAP	VCAP
tacrolimus	1	NEU	NEU
tadalafil	1	A549	A549
telmisartan	1	HCC515	HCC515
terazosin	1	VCAP	VCAP
terbinafine	1	A549	A549
terbutaline	1	MCF7	MCF7
tetracycline	1	MCF7	MCF7
tiagabine	1	PC3	PC3
tolazoline	1	A549	A549
tolbutamide	1	HCC515	HCC515
tolterodine	1	A549	A549
topiramate	1	A549	A549
tretinoin	1	VCAP	VCAP
trimebutine	1	MCF7	MCF7
tropisetron	1	SKB	SKB
ubenimex	1	VCAP	VCAP
urapidil	1	A549	A549
vardenafil	1	PHH	PHH
varenicline	1	PHH	PHH
vemurafenib	1	A375	A375
vidarabine	1	MCF7	MCF7
vinorelbine	1	ASC	ASC
vorinostat	1	HA1E	HA1E
zidovudine	1	MCF7	MCF7
zileuton	1	VCAP	VCAP
