GO_term	median_diff	p_value	statistic	p_adj	auroc
regulation of DNA binding	0	0.4589621650518164	73.5	0.8175681715646059	0.39945652173913043
regulation of DNA biosynthetic process	NA	NA	NA	NA	NA
regulation of DNA damage checkpoint	NA	NA	NA	NA	NA
regulation of DNA damage response, signal transduction by p53 class mediator	NA	NA	NA	NA	NA
regulation of DNA primase activity	NA	NA	NA	NA	NA
regulation of DNA recombination	NA	NA	NA	NA	NA
regulation of DNA replication	NA	NA	NA	NA	NA
regulation of DNA-directed DNA polymerase activity	NA	NA	NA	NA	NA
regulation of DNA-templated DNA replication	NA	NA	NA	NA	NA
regulation of DNA-templated DNA replication initiation	NA	NA	NA	NA	NA
regulation of DNA-templated transcription elongation	NA	NA	NA	NA	NA
regulation of DNA-templated transcription in response to stress	0	NA	87	NA	0.47282608695652173
regulation of DNA-templated transcription initiation	NA	NA	NA	NA	NA
regulation of ERBB signaling pathway	NA	NA	NA	NA	NA
regulation of Fc receptor mediated stimulatory signaling pathway	NA	NA	NA	NA	NA
regulation of Fc-gamma receptor signaling pathway involved in phagocytosis	NA	NA	NA	NA	NA
regulation of G1/S transition of mitotic cell cycle	NA	NA	NA	NA	NA
regulation of G2/M transition of mitotic cell cycle	NA	NA	NA	NA	NA
regulation of Golgi organization	NA	NA	NA	NA	NA
regulation of I-kappaB phosphorylation	NA	NA	NA	NA	NA
regulation of IRE1-mediated unfolded protein response	NA	NA	NA	NA	NA
regulation of JNK cascade	0	0.8817567625944944	84	0.9655078529484519	0.45652173913043476
regulation of JUN kinase activity	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of MAP kinase activity	0	0.4489000647028384	71.5	0.8044098407491623	0.38858695652173914
regulation of MDA-5 signaling pathway	NA	NA	NA	NA	NA
regulation of MHC class II biosynthetic process	NA	NA	NA	NA	NA
regulation of NIK/NF-kappaB signaling	NA	NA	NA	NA	NA
regulation of NK T cell activation	NA	NA	NA	NA	NA
regulation of NK T cell proliferation	NA	NA	NA	NA	NA
regulation of NLRP3 inflammasome complex assembly	NA	NA	NA	NA	NA
regulation of Notch signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of PERK-mediated unfolded protein response	NA	NA	NA	NA	NA
regulation of RIG-I signaling pathway	NA	NA	NA	NA	NA
regulation of RNA binding	NA	NA	NA	NA	NA
regulation of RNA export from nucleus	NA	NA	NA	NA	NA
regulation of RNA splicing	NA	NA	NA	NA	NA
regulation of RNA stability	NA	NA	NA	NA	NA
regulation of Ras protein signal transduction	NA	NA	NA	NA	NA
regulation of Rho protein signal transduction	NA	NA	NA	NA	NA
regulation of T cell apoptotic process	NA	NA	NA	NA	NA
