GO_term	median_diff	p_value	statistic	p_adj	auroc
regulation of epithelial tube formation	NA	NA	NA	NA	NA
regulation of erythrocyte differentiation	NA	NA	NA	NA	NA
regulation of establishment of T cell polarity	NA	NA	NA	NA	NA
regulation of establishment of endothelial barrier	NA	NA	NA	NA	NA
regulation of establishment of protein localization to chromosome	NA	NA	NA	NA	NA
regulation of establishment of protein localization to mitochondrion	NA	NA	NA	NA	NA
regulation of establishment of protein localization to telomere	NA	NA	NA	NA	NA
regulation of exocytosis	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of exosomal secretion	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of extent of cell growth	0	0.016893917726001687	114	0.2715825492407569	0.6195652173913043
regulation of extracellular exosome assembly	NA	NA	NA	NA	NA
regulation of extracellular matrix organization	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
regulation of extrinsic apoptotic signaling pathway	-0.2776796348067269	0.23911977240512763	61.5	0.6953116763374968	0.3342391304347826
regulation of extrinsic apoptotic signaling pathway in absence of ligand	NA	NA	NA	NA	NA
regulation of extrinsic apoptotic signaling pathway via death domain receptors	NA	NA	NA	NA	NA
regulation of fat cell differentiation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of fatty acid oxidation	NA	NA	NA	NA	NA
regulation of fatty acid transport	NA	NA	NA	NA	NA
regulation of feeding behavior	NA	NA	NA	NA	NA
regulation of fever generation	NA	NA	NA	NA	NA
regulation of fibroblast apoptotic process	NA	NA	NA	NA	NA
regulation of fibroblast migration	NA	NA	NA	NA	NA
regulation of fibroblast proliferation	NA	NA	NA	NA	NA
regulation of filopodium assembly	NA	NA	NA	NA	NA
regulation of forebrain neuron differentiation	NA	NA	NA	NA	NA
regulation of generation of precursor metabolites and energy	NA	NA	NA	NA	NA
regulation of germinal center formation	NA	NA	NA	NA	NA
regulation of glial cell differentiation	0	NA	87	NA	0.47282608695652173
regulation of glial cell migration	NA	NA	NA	NA	NA
regulation of glial cell proliferation	NA	NA	NA	NA	NA
regulation of gliogenesis	0	0.05229831766610785	112	0.3929526033437337	0.6086956521739131
regulation of glucan biosynthetic process	NA	NA	NA	NA	NA
regulation of glucose import	NA	NA	NA	NA	NA
regulation of glucose metabolic process	NA	NA	NA	NA	NA
regulation of glucose transmembrane transport	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of glycogen biosynthetic process	NA	NA	NA	NA	NA
regulation of glycogen metabolic process	NA	NA	NA	NA	NA
regulation of glycolytic process	NA	NA	NA	NA	NA
regulation of granulocyte chemotaxis	NA	NA	NA	NA	NA
regulation of granulocyte differentiation	NA	NA	NA	NA	NA
regulation of granulocyte macrophage colony-stimulating factor production	NA	NA	NA	NA	NA
regulation of hair cycle	NA	NA	NA	NA	NA
regulation of hair follicle development	NA	NA	NA	NA	NA
regulation of heart contraction	0.2745115988493661	0.0017507238377637317	127	0.11818953533984791	0.6902173913043478
regulation of heart growth	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
regulation of heart rate	NA	NA	NA	NA	NA
regulation of heat generation	NA	NA	NA	NA	NA
regulation of hematopoietic progenitor cell differentiation	NA	NA	NA	NA	NA
regulation of hematopoietic stem cell differentiation	NA	NA	NA	NA	NA
regulation of hemostasis	0	0.10565856954463244	110	0.6148322475406707	0.5978260869565217
regulation of hepatocyte apoptotic process	NA	NA	NA	NA	NA
regulation of hepatocyte proliferation	NA	NA	NA	NA	NA
regulation of heterotypic cell-cell adhesion	0	NA	87	NA	0.47282608695652173
regulation of high voltage-gated calcium channel activity	NA	NA	NA	NA	NA
regulation of histone acetylation	NA	NA	NA	NA	NA
regulation of histone modification	NA	NA	NA	NA	NA
regulation of homotypic cell-cell adhesion	NA	NA	NA	NA	NA
regulation of hormone biosynthetic process	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
regulation of hormone metabolic process	0	0.41715819861414843	96.5	0.8017867405900627	0.5244565217391305
regulation of humoral immune response	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of hyaluronan biosynthetic process	NA	NA	NA	NA	NA
regulation of hydrogen peroxide-induced cell death	NA	NA	NA	NA	NA
regulation of hypersensitivity	NA	NA	NA	NA	NA
regulation of hypoxia-induced intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
regulation of icosanoid secretion	NA	NA	NA	NA	NA
regulation of immature T cell proliferation	NA	NA	NA	NA	NA
regulation of immature T cell proliferation in thymus	NA	NA	NA	NA	NA
regulation of immune response to tumor cell	NA	NA	NA	NA	NA
regulation of immunoglobulin mediated immune response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of immunoglobulin production	0	0.3262471655531581	104	0.8017867405900627	0.5652173913043478
regulation of inclusion body assembly	NA	NA	NA	NA	NA
regulation of inflammatory response to antigenic stimulus	0	0.6805494852911914	79	0.8822582843048257	0.42934782608695654
regulation of insulin receptor signaling pathway	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
regulation of integrin activation	NA	NA	NA	NA	NA
regulation of integrin-mediated signaling pathway	NA	NA	NA	NA	NA
regulation of interferon-alpha production	NA	NA	NA	NA	NA
regulation of interferon-beta production	NA	NA	NA	NA	NA
regulation of interleukin-1 beta production	-0.4858684606620625	0.7623905768501887	80	0.8893027267469643	0.43478260869565216
regulation of interleukin-1 production	-0.4782452031646788	0.7271964090074786	79	0.8893027267469643	0.42934782608695654
regulation of interleukin-1-mediated signaling pathway	NA	NA	NA	NA	NA
regulation of interleukin-10 production	0	0.48515012349451503	73	0.8469335013004249	0.3967391304347826
regulation of interleukin-12 production	-0.44660524316308087	0.18735220322841187	58.5	0.62571222592143	0.3179347826086957
regulation of interleukin-13 production	NA	NA	NA	NA	NA
regulation of interleukin-17 production	0	0.8817567625944944	84	0.9655078529484519	0.45652173913043476
regulation of interleukin-18 production	NA	NA	NA	NA	NA
regulation of interleukin-2 production	0	0.1053982646850308	57	0.6148322475406707	0.30978260869565216
regulation of interleukin-23 production	NA	NA	NA	NA	NA
regulation of interleukin-4 production	NA	NA	NA	NA	NA
regulation of interleukin-6 production	-0.19721356365320408	0.8321896084243603	82	0.9430879674711187	0.44565217391304346
regulation of interleukin-8 production	0	0.5180206289290548	74	0.8540523159096338	0.40217391304347827
regulation of intracellular pH	NA	NA	NA	NA	NA
regulation of intrinsic apoptotic signaling pathway	0	0.9408993544552658	89	0.9827171035421666	0.483695652173913
regulation of intrinsic apoptotic signaling pathway by p53 class mediator	NA	NA	NA	NA	NA
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	NA	NA	NA	NA	NA
regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	NA	NA	NA	NA	NA
regulation of isomerase activity	NA	NA	NA	NA	NA
regulation of isotype switching	NA	NA	NA	NA	NA
regulation of isotype switching to IgE isotypes	NA	NA	NA	NA	NA
regulation of ketone biosynthetic process	NA	NA	NA	NA	NA
regulation of lamellipodium morphogenesis	NA	NA	NA	NA	NA
regulation of leukocyte adhesion to vascular endothelial cell	NA	NA	NA	NA	NA
regulation of leukocyte apoptotic process	NA	NA	NA	NA	NA
regulation of leukocyte chemotaxis	NA	NA	NA	NA	NA
regulation of leukocyte degranulation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of leukocyte mediated cytotoxicity	NA	NA	NA	NA	NA
regulation of leukocyte tethering or rolling	NA	NA	NA	NA	NA
regulation of lipase activity	NA	NA	NA	NA	NA
regulation of lipid biosynthetic process	NA	NA	NA	NA	NA
regulation of lipid localization	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
regulation of lipid storage	0	0.19910161176704466	66	0.62571222592143	0.358695652173913
regulation of lipid transport	NA	NA	NA	NA	NA
regulation of lipopolysaccharide-mediated signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of long-chain fatty acid import across plasma membrane	0	0.5494866892312928	81	0.8540523159096338	0.44021739130434784
regulation of long-chain fatty acid import into cell	NA	NA	NA	NA	NA
regulation of lymphocyte apoptotic process	NA	NA	NA	NA	NA
regulation of lymphocyte chemotaxis	NA	NA	NA	NA	NA
regulation of lymphocyte mediated immunity	0	0.38706003830580454	69	0.8017867405900627	0.375
regulation of lymphocyte migration	NA	NA	NA	NA	NA
regulation of lysosomal lumen pH	NA	NA	NA	NA	NA
regulation of mRNA catabolic process	NA	NA	NA	NA	NA
regulation of mRNA processing	NA	NA	NA	NA	NA
regulation of mRNA splicing, via spliceosome	NA	NA	NA	NA	NA
regulation of mRNA stability	NA	NA	NA	NA	NA
regulation of macroautophagy	0	0.7757229272465493	81.5	0.8893027267469643	0.4429347826086957
regulation of macrophage activation	0.626455430036872	0.2643515279988422	110.5	0.740911851409599	0.6005434782608695
regulation of macrophage chemotaxis	NA	NA	NA	NA	NA
regulation of macrophage cytokine production	NA	NA	NA	NA	NA
regulation of macrophage derived foam cell differentiation	NA	NA	NA	NA	NA
regulation of macrophage differentiation	0	0.25339048125895375	98	0.7134635209641509	0.532608695652174
regulation of macrophage inflammatory protein 1 alpha production	NA	NA	NA	NA	NA
regulation of macrophage migration	NA	NA	NA	NA	NA
regulation of mast cell activation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
regulation of mast cell activation involved in immune response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of mast cell cytokine production	NA	NA	NA	NA	NA
regulation of mast cell degranulation	NA	NA	NA	NA	NA
regulation of matrix metallopeptidase secretion	NA	NA	NA	NA	NA
regulation of melanin biosynthetic process	NA	NA	NA	NA	NA
regulation of membrane depolarization	NA	NA	NA	NA	NA
regulation of membrane permeability	NA	NA	NA	NA	NA
regulation of membrane protein ectodomain proteolysis	NA	NA	NA	NA	NA
regulation of membrane tubulation	NA	NA	NA	NA	NA
regulation of memory T cell differentiation	NA	NA	NA	NA	NA
regulation of mesenchymal cell apoptotic process	NA	NA	NA	NA	NA
regulation of mesenchymal cell proliferation	NA	NA	NA	NA	NA
regulation of metalloendopeptidase activity	NA	NA	NA	NA	NA
regulation of metallopeptidase activity	NA	NA	NA	NA	NA
regulation of metaphase plate congression	NA	NA	NA	NA	NA
regulation of metaphase/anaphase transition of cell cycle	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
regulation of miRNA catabolic process	NA	NA	NA	NA	NA
regulation of miRNA metabolic process	NA	NA	NA	NA	NA
regulation of miRNA transcription	NA	NA	NA	NA	NA
regulation of microglial cell activation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
regulation of microglial cell migration	NA	NA	NA	NA	NA
regulation of microtubule cytoskeleton organization	NA	NA	NA	NA	NA
regulation of mitochondrial depolarization	NA	NA	NA	NA	NA
regulation of mitochondrial membrane potential	NA	NA	NA	NA	NA
regulation of mitochondrion organization	NA	NA	NA	NA	NA
regulation of mitotic cell cycle spindle assembly checkpoint	NA	NA	NA	NA	NA
regulation of mitotic centrosome separation	NA	NA	NA	NA	NA
regulation of mitotic cytokinesis	NA	NA	NA	NA	NA
regulation of mitotic metaphase/anaphase transition	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
regulation of mitotic nuclear division	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
regulation of mitotic sister chromatid segregation	NA	NA	NA	NA	NA
regulation of mitotic sister chromatid separation	NA	NA	NA	NA	NA
regulation of mitotic spindle assembly	NA	NA	NA	NA	NA
regulation of mitotic spindle checkpoint	NA	NA	NA	NA	NA
regulation of mitotic spindle organization	NA	NA	NA	NA	NA
regulation of monocyte chemotactic protein-1 production	NA	NA	NA	NA	NA
regulation of monocyte chemotaxis	NA	NA	NA	NA	NA
regulation of monocyte differentiation	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
regulation of mononuclear cell migration	NA	NA	NA	NA	NA
regulation of monooxygenase activity	0	NA	87	NA	0.47282608695652173
regulation of morphogenesis of a branching structure	NA	NA	NA	NA	NA
regulation of morphogenesis of an epithelium	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
regulation of muscle adaptation	NA	NA	NA	NA	NA
regulation of muscle cell apoptotic process	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of muscle cell differentiation	0	0.0019343622805212423	116	0.11818953533984791	0.6304347826086957
regulation of muscle contraction	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of muscle hypertrophy	NA	NA	NA	NA	NA
regulation of muscle tissue development	NA	NA	NA	NA	NA
regulation of myelination	NA	NA	NA	NA	NA
regulation of myeloid cell apoptotic process	NA	NA	NA	NA	NA
regulation of myeloid dendritic cell cytokine production	NA	NA	NA	NA	NA
regulation of myeloid leukocyte differentiation	0	0.24352978516566992	69	0.6953116763374968	0.375
regulation of myeloid leukocyte mediated immunity	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of myoblast fusion	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of natural killer cell activation	NA	NA	NA	NA	NA
regulation of natural killer cell chemotaxis	NA	NA	NA	NA	NA
regulation of natural killer cell differentiation	NA	NA	NA	NA	NA
regulation of natural killer cell mediated cytotoxicity	NA	NA	NA	NA	NA
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	NA	NA	NA	NA	NA
regulation of natural killer cell mediated immunity	NA	NA	NA	NA	NA
regulation of natural killer cell proliferation	NA	NA	NA	NA	NA
regulation of necroptotic process	0	0.2890763263391364	65.5	0.788507300862555	0.35597826086956524
regulation of necrotic cell death	0	NA	87	NA	0.47282608695652173
regulation of neural precursor cell proliferation	NA	NA	NA	NA	NA
regulation of neuroblast proliferation	NA	NA	NA	NA	NA
regulation of neuroinflammatory response	0	0.5321556141164845	98	0.8540523159096338	0.532608695652174
regulation of neuromuscular junction development	NA	NA	NA	NA	NA
regulation of neuron differentiation	NA	NA	NA	NA	NA
regulation of neutrophil activation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of neutrophil chemotaxis	NA	NA	NA	NA	NA
regulation of neutrophil degranulation	NA	NA	NA	NA	NA
regulation of neutrophil extravasation	NA	NA	NA	NA	NA
regulation of neutrophil migration	NA	NA	NA	NA	NA
regulation of nitric oxide biosynthetic process	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
regulation of nitric oxide mediated signal transduction	NA	NA	NA	NA	NA
regulation of nitric oxide metabolic process	0	1	86.5	1	0.4701086956521739
regulation of nitric-oxide synthase activity	NA	NA	NA	NA	NA
regulation of nitric-oxide synthase biosynthetic process	NA	NA	NA	NA	NA
regulation of nuclear division	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	NA	NA	NA	NA	NA
regulation of nuclease activity	NA	NA	NA	NA	NA
regulation of nucleobase-containing compound transport	NA	NA	NA	NA	NA
regulation of nucleocytoplasmic transport	NA	NA	NA	NA	NA
regulation of nucleotide metabolic process	NA	NA	NA	NA	NA
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	NA	NA	NA	NA	NA
regulation of nucleotide-binding oligomerization domain containing signaling pathway	NA	NA	NA	NA	NA
regulation of odontogenesis	NA	NA	NA	NA	NA
regulation of organ growth	NA	NA	NA	NA	NA
regulation of organic acid transport	0	0.24337669347161764	69	0.6953116763374968	0.375
regulation of ossification	NA	NA	NA	NA	NA
regulation of osteoblast differentiation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of osteoblast proliferation	NA	NA	NA	NA	NA
regulation of osteoclast differentiation	NA	NA	NA	NA	NA
regulation of oxidative stress-induced cell death	0	NA	87	NA	0.47282608695652173
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
regulation of oxidative stress-induced neuron death	NA	NA	NA	NA	NA
regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
regulation of oxidoreductase activity	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of p38MAPK cascade	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
regulation of pH	NA	NA	NA	NA	NA
regulation of pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
regulation of peptidyl-lysine acetylation	NA	NA	NA	NA	NA
regulation of peptidyl-serine phosphorylation	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of peptidyl-threonine phosphorylation	NA	NA	NA	NA	NA
regulation of phagocytosis	0	0.3882986091174588	102	0.8017867405900627	0.5543478260869565
regulation of phosphatase activity	NA	NA	NA	NA	NA
regulation of phosphatidylinositol 3-kinase activity	NA	NA	NA	NA	NA
regulation of phosphatidylinositol 3-kinase signaling	NA	NA	NA	NA	NA
regulation of phospholipase C activity	NA	NA	NA	NA	NA
regulation of phospholipase activity	NA	NA	NA	NA	NA
regulation of phosphoprotein phosphatase activity	0	NA	87	NA	0.47282608695652173
regulation of plasma cell differentiation	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
regulation of plasma lipoprotein particle levels	NA	NA	NA	NA	NA
regulation of plasma membrane organization	NA	NA	NA	NA	NA
regulation of plasminogen activation	NA	NA	NA	NA	NA
regulation of platelet activation	NA	NA	NA	NA	NA
regulation of platelet aggregation	NA	NA	NA	NA	NA
regulation of platelet-derived growth factor receptor signaling pathway	NA	NA	NA	NA	NA
regulation of platelet-derived growth factor receptor-beta signaling pathway	NA	NA	NA	NA	NA
regulation of podosome assembly	NA	NA	NA	NA	NA
regulation of polysaccharide biosynthetic process	NA	NA	NA	NA	NA
regulation of polysaccharide metabolic process	NA	NA	NA	NA	NA
regulation of positive chemotaxis	NA	NA	NA	NA	NA
regulation of postsynapse organization	NA	NA	NA	NA	NA
regulation of postsynaptic membrane potential	NA	NA	NA	NA	NA
regulation of postsynaptic neurotransmitter receptor activity	NA	NA	NA	NA	NA
regulation of postsynaptic neurotransmitter receptor internalization	NA	NA	NA	NA	NA
regulation of presynaptic membrane potential	NA	NA	NA	NA	NA
regulation of production of molecular mediator of immune response	-0.5136717613073423	0.6673283081003506	77	0.8822582843048257	0.41847826086956524
regulation of programmed necrotic cell death	0	0.338685947165705	68	0.8017867405900627	0.3695652173913043
regulation of prostaglandin secretion	NA	NA	NA	NA	NA
regulation of prostatic bud formation	NA	NA	NA	NA	NA
regulation of proteasomal protein catabolic process	NA	NA	NA	NA	NA
regulation of proteasomal ubiquitin-dependent protein catabolic process	NA	NA	NA	NA	NA
regulation of protein K63-linked ubiquitination	NA	NA	NA	NA	NA
regulation of protein autophosphorylation	NA	NA	NA	NA	NA
regulation of protein binding	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of protein dephosphorylation	NA	NA	NA	NA	NA
regulation of protein depolymerization	NA	NA	NA	NA	NA
regulation of protein deubiquitination	NA	NA	NA	NA	NA
regulation of protein export from nucleus	NA	NA	NA	NA	NA
regulation of protein folding	NA	NA	NA	NA	NA
regulation of protein import into nucleus	NA	NA	NA	NA	NA
regulation of protein kinase B signaling	0	0.06267938851286362	111	0.4614109202573454	0.6032608695652174
regulation of protein localization to Cajal body	NA	NA	NA	NA	NA
regulation of protein localization to chromatin	NA	NA	NA	NA	NA
regulation of protein localization to chromosome, telomeric region	NA	NA	NA	NA	NA
regulation of protein localization to endosome	NA	NA	NA	NA	NA
regulation of protein localization to membrane	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
regulation of protein localization to nucleus	NA	NA	NA	NA	NA
regulation of protein localization to plasma membrane	NA	NA	NA	NA	NA
regulation of protein maturation	NA	NA	NA	NA	NA
regulation of protein monoubiquitination	NA	NA	NA	NA	NA
regulation of protein polymerization	NA	NA	NA	NA	NA
regulation of protein polyubiquitination	NA	NA	NA	NA	NA
regulation of protein processing	NA	NA	NA	NA	NA
regulation of protein targeting	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of protein targeting to mitochondrion	NA	NA	NA	NA	NA
regulation of protein tyrosine kinase activity	NA	NA	NA	NA	NA
regulation of protein tyrosine phosphatase activity	NA	NA	NA	NA	NA
regulation of protein-containing complex disassembly	NA	NA	NA	NA	NA
regulation of proton transport	NA	NA	NA	NA	NA
regulation of pseudopodium assembly	NA	NA	NA	NA	NA
regulation of purine nucleotide metabolic process	NA	NA	NA	NA	NA
regulation of rRNA processing	NA	NA	NA	NA	NA
regulation of reactive oxygen species metabolic process	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
regulation of receptor catabolic process	NA	NA	NA	NA	NA
regulation of receptor internalization	NA	NA	NA	NA	NA
regulation of receptor recycling	NA	NA	NA	NA	NA
regulation of receptor signaling pathway via JAK-STAT	0	0.8942601061389681	90	0.9662360726649782	0.4891304347826087
regulation of receptor signaling pathway via STAT	0	1	87	1	0.47282608695652173
regulation of receptor-mediated endocytosis	NA	NA	NA	NA	NA
regulation of regulated secretory pathway	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of regulatory T cell differentiation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of release of cytochrome c from mitochondria	NA	NA	NA	NA	NA
regulation of release of sequestered calcium ion into cytosol	NA	NA	NA	NA	NA
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	NA	NA	NA	NA	NA
regulation of renal system process	NA	NA	NA	NA	NA
regulation of respiratory burst	NA	NA	NA	NA	NA
regulation of response to cytokine stimulus	-0.4002151667352668	0.10335905078808924	50.5	0.6148322475406707	0.27445652173913043
regulation of response to endoplasmic reticulum stress	NA	NA	NA	NA	NA
regulation of response to macrophage colony-stimulating factor	NA	NA	NA	NA	NA
regulation of response to osmotic stress	NA	NA	NA	NA	NA
regulation of response to oxidative stress	0	0.32605928911336524	104	0.8017867405900627	0.5652173913043478
regulation of response to reactive oxygen species	NA	NA	NA	NA	NA
regulation of response to tumor cell	NA	NA	NA	NA	NA
regulation of response to type II interferon	NA	NA	NA	NA	NA
regulation of response to wounding	0.5712103110841108	0.004800161437526346	137	0.21414842245179905	0.7445652173913043
regulation of ribonuclease activity	NA	NA	NA	NA	NA
regulation of secondary metabolic process	NA	NA	NA	NA	NA
regulation of secondary metabolite biosynthetic process	NA	NA	NA	NA	NA
regulation of sensory perception	NA	NA	NA	NA	NA
regulation of sensory perception of pain	NA	NA	NA	NA	NA
regulation of sequestering of calcium ion	NA	NA	NA	NA	NA
regulation of sequestering of triglyceride	NA	NA	NA	NA	NA
regulation of signal transduction by p53 class mediator	NA	NA	NA	NA	NA
regulation of signaling receptor activity	NA	NA	NA	NA	NA
regulation of single stranded viral RNA replication via double stranded DNA intermediate	NA	NA	NA	NA	NA
regulation of sister chromatid segregation	NA	NA	NA	NA	NA
regulation of skeletal muscle cell proliferation	NA	NA	NA	NA	NA
regulation of skeletal muscle satellite cell proliferation	NA	NA	NA	NA	NA
regulation of skeletal muscle tissue development	NA	NA	NA	NA	NA
regulation of smooth muscle cell apoptotic process	NA	NA	NA	NA	NA
regulation of smooth muscle cell migration	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of smooth muscle cell proliferation	0	0.13110063953153273	60	0.62571222592143	0.32608695652173914
regulation of smooth muscle contraction	NA	NA	NA	NA	NA
regulation of sodium-dependent phosphate transport	NA	NA	NA	NA	NA
regulation of spindle assembly	NA	NA	NA	NA	NA
regulation of spindle checkpoint	NA	NA	NA	NA	NA
regulation of spindle organization	NA	NA	NA	NA	NA
regulation of sprouting angiogenesis	NA	NA	NA	NA	NA
regulation of stem cell differentiation	NA	NA	NA	NA	NA
regulation of stem cell proliferation	NA	NA	NA	NA	NA
regulation of steroid biosynthetic process	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
regulation of steroid metabolic process	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
regulation of stress fiber assembly	NA	NA	NA	NA	NA
regulation of stress-activated MAPK cascade	0	0.38701763697514524	69	0.8017867405900627	0.375
regulation of stress-activated protein kinase signaling cascade	-0.09920651261979785	0.4999865688761208	102	0.8540523159096338	0.5543478260869565
regulation of striated muscle cell apoptotic process	NA	NA	NA	NA	NA
regulation of striated muscle cell differentiation	NA	NA	NA	NA	NA
regulation of substrate adhesion-dependent cell spreading	0	0.016893917726001687	114	0.2715825492407569	0.6195652173913043
regulation of superoxide anion generation	NA	NA	NA	NA	NA
regulation of superoxide metabolic process	NA	NA	NA	NA	NA
regulation of synaptic assembly at neuromuscular junction	NA	NA	NA	NA	NA
regulation of synaptic transmission, dopaminergic	NA	NA	NA	NA	NA
regulation of synaptic transmission, glutamatergic	NA	NA	NA	NA	NA
regulation of synaptic vesicle exocytosis	NA	NA	NA	NA	NA
regulation of synaptic vesicle recycling	NA	NA	NA	NA	NA
regulation of syncytium formation by plasma membrane fusion	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of systemic arterial blood pressure	NA	NA	NA	NA	NA
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	NA	NA	NA	NA	NA
regulation of systemic arterial blood pressure by hormone	NA	NA	NA	NA	NA
regulation of systemic arterial blood pressure by renin-angiotensin	NA	NA	NA	NA	NA
regulation of systemic arterial blood pressure mediated by a chemical signal	NA	NA	NA	NA	NA
regulation of tau-protein kinase activity	NA	NA	NA	NA	NA
regulation of telomerase RNA localization to Cajal body	NA	NA	NA	NA	NA
regulation of telomere maintenance	NA	NA	NA	NA	NA
regulation of telomere maintenance via telomerase	NA	NA	NA	NA	NA
regulation of telomere maintenance via telomere lengthening	NA	NA	NA	NA	NA
regulation of thymocyte apoptotic process	NA	NA	NA	NA	NA
regulation of tissue remodeling	NA	NA	NA	NA	NA
regulation of tolerance induction	NA	NA	NA	NA	NA
regulation of toll-like receptor 2 signaling pathway	NA	NA	NA	NA	NA
regulation of toll-like receptor 3 signaling pathway	NA	NA	NA	NA	NA
regulation of toll-like receptor 4 signaling pathway	NA	NA	NA	NA	NA
regulation of toll-like receptor 7 signaling pathway	NA	NA	NA	NA	NA
regulation of toll-like receptor signaling pathway	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
regulation of transcription by RNA polymerase I	NA	NA	NA	NA	NA
regulation of transcription elongation by RNA polymerase II	NA	NA	NA	NA	NA
regulation of transcription from RNA polymerase II promoter in response to hypoxia	NA	NA	NA	NA	NA
regulation of transcription from RNA polymerase II promoter in response to stress	NA	NA	NA	NA	NA
regulation of transcription involved in G1/S transition of mitotic cell cycle	NA	NA	NA	NA	NA
regulation of transcription regulatory region DNA binding	NA	NA	NA	NA	NA
regulation of transforming growth factor beta production	NA	NA	NA	NA	NA
regulation of transforming growth factor beta receptor signaling pathway	NA	NA	NA	NA	NA
regulation of translation in response to endoplasmic reticulum stress	NA	NA	NA	NA	NA
regulation of translation in response to stress	NA	NA	NA	NA	NA
regulation of translation initiation in response to endoplasmic reticulum stress	NA	NA	NA	NA	NA
regulation of translational elongation	NA	NA	NA	NA	NA
regulation of translational initiation	NA	NA	NA	NA	NA
regulation of translational initiation by eIF2 alpha phosphorylation	NA	NA	NA	NA	NA
regulation of translational initiation in response to stress	NA	NA	NA	NA	NA
regulation of translational termination	NA	NA	NA	NA	NA
regulation of transposition	NA	NA	NA	NA	NA
regulation of triglyceride biosynthetic process	NA	NA	NA	NA	NA
regulation of tube diameter	NA	NA	NA	NA	NA
regulation of tube size	NA	NA	NA	NA	NA
regulation of tumor necrosis factor production	-0.4671083954217298	0.11329874850901904	51.5	0.62571222592143	0.2798913043478261
regulation of tumor necrosis factor superfamily cytokine production	-0.4667492539986812	0.11329874850901904	51.5	0.62571222592143	0.2798913043478261
regulation of tumor necrosis factor-mediated signaling pathway	NA	NA	NA	NA	NA
regulation of type 2 immune response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of type B pancreatic cell development	NA	NA	NA	NA	NA
