Description	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_RNAseq_0.8	up_aggregated_RNAseq_DE	up_aggregated_RNAseq
anterograde synaptic vesicle transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002145651899533005	NA	NA	NA	0.002010454362685967	NA	NA	0.0019953441968739607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation	0.009723488301428137	0.009723488301428137	NA	NA	NA	NA	NA	NA	NA	0.009616540449573266	NA	0.009954891896095816	NA	NA	0.009887005649717515	NA	0.01098901098901099	NA	NA	0.010527994895517626	0.00875734397516905	0.01111280255746689	0.01111280255746689	NA	NA	NA	NA	NA	0.010539994224660698	0.041237113402061855	0.0191044776119403	0.05154639175257732
antigen processing and presentation of endogenous antigen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005373134328358209	NA
antigen processing and presentation of endogenous peptide antigen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005373134328358209	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005373134328358209	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00417910447761194	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003582089552238806	NA
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00417910447761194	NA
antigen processing and presentation of exogenous antigen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004995004995004995	NA	NA	0.004625937151060775	NA	0.00487136550464302	0.00487136550464302	NA	NA	NA	NA	NA	0.004764654923476754	0.02577319587628866	0.00835820895522388	NA
antigen processing and presentation of exogenous peptide antigen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004495504495504496	NA	NA	NA	NA	0.004414674988582737	0.004414674988582737	NA	NA	NA	NA	NA	NA	0.020618556701030927	0.007761194029850746	NA
