pert	n_reversed_cells	min_score_cell	all_reversed_cells
neratinib	3	HCC515	MCF10A, HCC515, HS578T
niacin	3	A549	HEPG2, MCF7, A549
nimesulide	3	NEU	HCC515, NEU, SKB
noretynodrel	3	A549	HA1E, MCF7, A549
olanzapine	3	PC3	PC3, VCAP, MCF7
olaparib	3	VCAP	MCF10A, SKBR3, VCAP
orphenadrine	3	NPC	PHH, NPC, A549
oxprenolol	3	HT29	HT29, VCAP, PC3
oxybuprocaine	3	NPC	NPC, PC3, VCAP
oxybutynin	3	PC3	PC3, MCF7, VCAP
oxymetazoline	3	HA1E	HA1E, VCAP, PC3
parachlorophenol	3	PHH	PHH, PC3, SKB
paroxetine	3	PHH	PC3, HA1E, PHH
penfluridol	3	PC3	A549, ASC, PC3
phenoxybenzamine	3	HA1E	HA1E, PHH, ASC
physostigmine	3	PHH	A549, PHH, MCF7
pimozide	3	HA1E	HA1E, NEU, A375
pipamperone	3	PHH	PC3, HCC515, PHH
pirenzepine	3	HCC515	HCC515, PC3, HA1E
pirlindole	3	A549	VCAP, A549, A375
pizotifen	3	A549	VCAP, HCC515, A549
pregnenolone	3	SKB	SKB, ASC, FIBRNPC
primidone	3	HCC515	VCAP, HCC515, A549
procainamide	3	HA1E	VCAP, ASC, HA1E
procaterol	3	NEU	NEU, PC3, MCF7
protriptyline	3	ASC	SKB, NPC, ASC
pyrvinium-pamoate	3	VCAP	VCAP, PC3, MCF7
quetiapine	3	MCF7	HCC515, PHH, MCF7
racecadotril	3	PHH	NPC, ASC, PHH
reserpine	3	ASC	ASC, MCF7, HA1E
riboflavin	3	PC3	VCAP, PC3, HCC515
risperidone	3	PHH	ASC, PHH, MCF7
somatostatin	3	MCF7	MCF7, PC3, NPC
sorafenib	3	HEK293T	HEK293T, HS578T, SKBR3
sotalol	3	MCF7	MCF7, HT29, HA1E
sulindac	3	A375	MCF7, HEK293T, A375
tadalafil	3	ASC	A549, ASC, VCAP
talipexole	3	NPC	PC3, SKB, NPC
talniflumate	3	VCAP	MCF7, NPC, VCAP
terguride	3	PHH	PHH, A549, HA1E
tianeptine	3	PC3	VCAP, HA1E, PC3
treprostinil	3	ASC	A549, MCF7, ASC
tretinoin	3	VCAP	U937, VCAP, NEU
trimipramine	3	A549	MCF7, A549, VCAP
tripelennamine	3	HA1E	HA1E, ASC, MCF7
valproic-acid	3	PC3	HCC515, HT29, PC3
valsartan	3	A549	A549, MCF7, ASC
vecuronium	3	A549	A549, PHH, SKB
vinburnine	3	VCAP	MCF7, PC3, VCAP
voriconazole	3	NPC	NPC, NEU, SKB
acarbose	2	A549	A549, MCF7
alfacalcidol	2	MCF7	PC3, MCF7
amantadine	2	A549	A549, MCF7
ambroxol	2	A549	PC3, A549
amcinonide	2	A549	A549, ASC
aminoglutethimide	2	VCAP	A549, VCAP
amisulpride	2	HA1E	VCAP, HA1E
anastrozole	2	MCF7	A549, MCF7
aripiprazole	2	PC3	PC3, A549
artemether	2	MCF7	PC3, MCF7
atomoxetine	2	VCAP	A549, VCAP
atovaquone	2	HT29	A549, HT29
auranofin	2	PC3	PC3, A549
azathioprine	2	PC3	MCF7, PC3
benidipine	2	A549	A549, VCAP
benzbromarone	2	MCF7	HA1E, MCF7
betahistine	2	HA1E	NPC, HA1E
bethanechol	2	PC3	MCF7, PC3
biotin	2	SKB	A549, SKB
biperiden	2	HA1E	HA1E, HCC515
brompheniramine	2	PC3	PHH, PC3
buflomedil	2	MCF7	MCF7, VCAP
bupropion	2	A549	PHH, A549
capsaicin	2	FIBRNPC	NPC, FIBRNPC
carbinoxamine	2	HA1E	HA1E, PC3
chenodeoxycholic-acid	2	NEU	NEU, FIBRNPC
cilnidipine	2	PC3	PC3, HCC515
cilostazol	2	PHH	MCF7, PHH
cinacalcet	2	NEU	PC3, NEU
citalopram	2	A375	A549, A375
clebopride	2	VCAP	A375, VCAP
clofibrate	2	ASC	HA1E, ASC
deoxycholic-acid	2	A549	PHH, A549
dicycloverine	2	ASC	NPC, ASC
diflunisal	2	PC3	HCC515, PC3
digitoxin	2	HCC515	PHH, HCC515
dihydroergotamine	2	VCAP	SKB, VCAP
dilazep	2	PC3	PC3, HA1E
diphenidol	2	A549	ASC, A549
dipivefrine	2	A375	A375, VCAP
dipyridamole	2	HCC515	HCC515, VCAP
disopyramide	2	VCAP	NPC, VCAP
disulfiram	2	MCF7	MCF7, A549
domperidone	2	HCC515	VCAP, HCC515
dosulepin	2	HCC515	PC3, HCC515
doxepin	2	MCF7	A549, MCF7
enalapril	2	PHH	VCAP, PHH
enalaprilat	2	MCF7	A549, MCF7
erythromycin	2	PHH	ASC, PHH
estriol	2	HT29	HT29, MCF7
estrone	2	FIBRNPC	HT29, FIBRNPC
etoposide	2	NPC	NPC, FIBRNPC
exemestane	2	PHH	PHH, HCC515
febuxostat	2	HA1E	HA1E, MCF7
fluconazole	2	PHH	SKB, PHH
flunarizine	2	PHH	PC3, PHH
fluoxetine	2	PC3	HT29, PC3
gabexate	2	A549	A549, NPC
ganciclovir	2	PC3	PC3, VCAP
glimepiride	2	NPC	NPC, PC3
gliquidone	2	NEU	NEU, MCF7
hydrocortisone	2	SKB	SKB, VCAP
hydroflumethiazide	2	HEK293T	PC3, HEK293T
hydroquinidine	2	PHH	HCC515, PHH
imipramine	2	HA1E	A549, HA1E
indapamide	2	HT29	PC3, HT29
irinotecan	2	HCC515	HCC515, SKB
isradipine	2	PC3	NPC, PC3
itopride	2	VCAP	PC3, VCAP
ketoconazole	2	MCF7	MCF7, VCAP
ketotifen	2	HCC515	HCC515, VCAP
lamivudine	2	PC3	PC3, VCAP
lansoprazole	2	NPC	FIBRNPC, NPC
lenalidomide	2	MCF7	MCF7, ASC
levocabastine	2	NEU	NEU, MCF7
levonorgestrel	2	ASC	VCAP, ASC
linezolid	2	ASC	A549, ASC
lofepramine	2	MCF7	A549, MCF7
lonidamine	2	PC3	NEU, PC3
mebeverine	2	ASC	VCAP, ASC
mefloquine	2	PC3	MCF7, PC3
mepyramine	2	VCAP	HCC515, VCAP
mercaptopurine	2	VCAP	PC3, VCAP
mestinon	2	MCF7	VCAP, MCF7
mestranol	2	A549	MCF7, A549
metformin	2	HEK293T	HEK293T, FIBRNPC
metoclopramide	2	ASC	PC3, ASC
metronidazole	2	MCF7	VCAP, MCF7
midodrine	2	PC3	VCAP, PC3
molsidomine	2	VCAP	VCAP, ASC
mometasone	2	A549	A549, PHH
montelukast	2	A549	A549, MCF7
naloxone	2	A549	PHH, A549
nicergoline	2	MCF7	MCF7, SKB
nicorandil	2	PC3	PC3, MCF7
nicotinamide	2	VCAP	VCAP, PC3
nicotine	2	HA1E	A549, HA1E
nisoldipine	2	PC3	VCAP, PC3
nitrendipine	2	FIBRNPC	FIBRNPC, PC3
nizatidine	2	MCF7	VCAP, MCF7
norepinephrine	2	VCAP	NPC, VCAP
nortriptyline	2	VCAP	MCF7, VCAP
olopatadine	2	PC3	VCAP, PC3
ondansetron	2	PC3	PC3, A375
ouabain	2	VCAP	VCAP, HA1E
oxiconazole	2	VCAP	MCF7, VCAP
oxybenzone	2	PHH	PHH, HA1E
paclitaxel	2	MCF7	MCF7, NPC
palmitoylethanolamide	2	ASC	ASC, HCC515
palonosetron	2	MCF7	A549, MCF7
pantoprazole	2	NPC	MCF7, NPC
pargyline	2	ASC	MCF7, ASC
pazopanib	2	ASC	ASC, NPC
pentoxifylline	2	PC3	MCF7, PC3
pheniramine	2	NPC	HA1E, NPC
pindolol	2	VCAP	A549, VCAP
piperidolate	2	A549	A549, NPC
pirarubicin	2	A549	NPC, A549
pirfenidone	2	SKB	SKB, VCAP
piribedil	2	HA1E	A375, HA1E
prednicarbate	2	HCC515	PHH, HCC515
prednisone	2	PHH	PHH, NPC
probenecid	2	SKB	ASC, SKB
profenamine	2	A549	PC3, A549
progesterone	2	HCC515	HCC515, MCF7
proguanil	2	MCF7	MCF7, ASC
propentofylline	2	MCF7	MCF7, VCAP
propofol	2	PC3	PC3, ASC
ranitidine	2	PC3	PC3, PHH
retinol	2	A549	PC3, A549
rifapentine	2	A549	A549, VCAP
riluzole	2	NEU	NEU, HCC515
rimexolone	2	HA1E	HA1E, HCC515
ropinirole	2	MCF7	HCC515, MCF7
rutin	2	HCC515	HCC515, ASC
safinamide	2	VCAP	A549, VCAP
salmeterol	2	PC3	PC3, HA1E
saquinavir	2	MCF7	ASC, MCF7
scopolamine	2	PHH	NEU, PHH
selegiline	2	VCAP	A549, VCAP
spiperone	2	HA1E	HA1E, FIBRNPC
stiripentol	2	PC3	PC3, VCAP
sulfacetamide	2	VCAP	PC3, VCAP
sumatriptan	2	MCF7	MCF7, A549
tacrolimus	2	NEU	MCF7, NEU
tamibarotene	2	NPC	PHH, NPC
terbinafine	2	VCAP	A549, VCAP
terbutaline	2	MCF7	MCF7, PC3
terconazole	2	HA1E	PC3, HA1E
thiethylperazine	2	HCC515	HCC515, PC3
thiotepa	2	HCC515	PC3, HCC515
tibolone	2	MCF7	MCF7, VCAP
timolol	2	PC3	PC3, PHH
tolbutamide	2	MCF7	MCF7, SKB
topotecan	2	A549	VCAP, A549
trazodone	2	NEU	ASC, NEU
ubenimex	2	VCAP	VCAP, A549
vardenafil	2	A549	A549, PHH
varenicline	2	PHH	PHH, A549
