Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_microarray	up_aggregated_RNAseq	up_aggregated_RNAseq_blood	up_aggregated_RNAseq_lung	up_aggregated_RNAseq_mixed
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0	0	0.18125682159430445	0.9443784100591596	0.7882951167400768	0.7882951167400768	0	0	0	0	0	0	0	0	0	0	0	0.4819781703469755	0	0.9235297593941032	0	0	0	0	0	0.7782108027813096	1.144532942284151	0	0	0	0	0.30234054069510524	0.7479406025998513	0.2684245994178572	0	0.5893587861334617	0.5893587861334617	0.9380048514978064	0	0.8859755395940059
3'-phosphoadenosine 5'-phosphosulfate transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-keto-sphinganine metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxyproline catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxyproline metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-nitrophenol metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5'-adenylyl sulfate transmembrane transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-aminolevulinic acid import across plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-methylcytosine catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
5-methylcytosine metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
5-phosphoribose 1-diphosphate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-phosphoribose 1-diphosphate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S class rRNA transcription by RNA polymerase III	0	2.3747905586051776	0.4686572100116575	0.8599345861241254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9883866696912104	0	0	0	0	0	0	0	0	0.6759228176935389	0.672562077781781	0	1.2825253347519858	0	1.1623328810550686	0	0
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
7-methylguanosine RNA capping	0	0	0.4686572100116575	0	1.5808722793196683	1.5808722793196683	1.8347773793557376	1.8347773793557376	0.9609470373351594	0	0	0	0	0	0	0	0	1.099982652254223	0	0	1.0508982654138428	1.147561430723068	1.8895630629169664	0	2.6571939283650785	0.9806520342843394	0.838936259496209	1.893269620687948	1.893269620687948	1.664840924724367	1.664840924724367	1.2685158883657606	0.6759228176935389	0	0	2.31098542196601	1.2825253347519858	1.1623328810550686	0	1.103816436465684
7-methylguanosine cap hypermethylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8212855198653948	0	0	0	2.716657662499156	2.836570770527119	0	2.6361925389043868	0	0	0	2.9715741717615427	2.9715741717615427	0	0	0	2.1810812208777905	0	0	0	0	0	0	0
7-methylguanosine mRNA capping	0	0	0.4686572100116575	0	1.5808722793196683	1.5808722793196683	1.8347773793557376	1.8347773793557376	0.9609470373351594	0	0	0	0	0	0	0	0	1.099982652254223	0	0	1.0508982654138428	1.147561430723068	1.8895630629169664	0	2.6571939283650785	0.9806520342843394	0.838936259496209	1.893269620687948	1.893269620687948	1.664840924724367	1.664840924724367	1.2685158883657606	0.6759228176935389	0	0	2.31098542196601	1.2825253347519858	1.1623328810550686	0	1.103816436465684
