GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000281	mitotic cytokinesis	93	0.00398406374501992	92/16283	0.043478260869565216	0.7051359778278191	-0.7270296600591645	0.8267063739135748	0.8961839136495697	0.7189659577538585	CHMP5/RAB35/CHMP4B/PDCD6IP	4	c(""288"", ""57132"", ""324"", ""5347"", ""9110"", ""84936"", ""51203"", ""79643"", ""9101"", ""51510"", ""9820"", ""29082"", ""26586"", ""116840"", ""22891"", ""332"", ""6683"", ""6711"", ""114327"", ""9094"", ""5119"", ""54443"", ""91782"", ""11113"", ""25978"", ""23157"", ""9493"", ""3925"", ""51429"", ""10617"", ""9798"", ""8897"", ""1894"", ""27183"", ""200942"", ""388"", ""55521"", ""27243"", ""285643"", ""403"", ""10899"", ""6651"", ""92421"", ""9525"", ""24137"", ""23111"", ""257364"", ""387"", ""54902"", ""3619"", ""4628"", ""29127"", ""112574"", ""129531"", ""55165"", ""585"", ""1058"", ""11021"", ""389"", 
""51652"", ""10015"", ""10112"", ""128866"")	63	4	7.831155550505624	-0.6718157178797569	0.4908331726699688
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	58	0.00298804780876494	57/16283	0.05263157894736842	0.853585657370518	-0.28384979186668763	0.6911731786784626	0.8137402980268599	0.6528253451362009	DCP1A/BTG2/TENT4B	3	c(""29883"", ""201626"", ""154197"", ""22894"", ""7538"", ""28960"", ""167227"", ""219988"", ""246175"", ""57472"", ""115024"", ""9924"")	12	0	1.4916486762867858	-Inf	0
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	32	0.00199203187250996	31/16283	0.06451612903225806	1.046330805809022	0.06618667437127361	0.5779309040972342	0.748263065551879	0.6002960590818045	BTG2/TENT4B	2	c(""7538"", ""246175"", ""154197"", ""57472"", ""29883"", ""9924"")	6	0	0.7458243381433929	-Inf	0
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	11	9.9601593625498e-4	11/16283	0.09090909090909091	1.4743752263672583	0.40343274147097324	0.5035572746805195	0.6975165553693577	0.5595845346498798	DCP1A	1	c(""219988"", ""29883"")	2	0	0.24860811271446426	-Inf	0
GO:0000292	RNA fragment catabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000296	spermine transport	3	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000301	retrograde transport, vesicle recycling within Golgi	9	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000302	response to reactive oxygen species	191	0.02888446215139442	190/16283	0.15263157894736842	2.4753984063745023	5.243736632074772	5.435726224045623e-6	1.844062266411778e-4	1.4794039184761834e-4	IL6/IL1A/EDN1/GCH1/AXL/STAT1/MET/TNFAIP3/MAP1LC3A/KDM6B/TXN/PLK3/PPIF/SRC/TREX1/HIF1A/SPHK1/BAK1/ADPRS/NFE2L2/HMOX1/RIPK1/ZNF277/PRDX1/RELA/BCL2/ERN1/NQO1/PPP1R15B	29	c(""2353"", ""51157"", ""3569"", ""120892"", ""1894"", ""8692"", ""8989"", ""3039"", ""5470"", ""3373"", ""6647"", ""84334"", ""6546"", ""11235"", ""472"", ""7295"", ""5580"", ""4137"", ""10105"", ""140823"", ""10494"", ""5601"", ""388"", ""5156"", ""23411"", ""55139"", ""10587"", ""337"", ""6278"", ""5796"", ""59338"", ""5970"", ""114757"", ""1728"", ""5193"", ""5828"", ""10013"", ""5599"", ""2876"", ""4846"", ""3043"", ""10276"", ""2168"", ""4151"", ""23064"", ""5192"", ""8754"", ""54936"", ""7226"", ""4217"", ""5195"", ""2395"", ""3091"", ""5830"", ""5798"", ""11315"", ""1906"", ""259"", ""358"", ""6648"", ""80312"", 
""3240"", ""5603"", ""25"", ""6188"", ""25824"", ""1421"", ""7001"", ""4968"", ""4504"", ""347"", ""10935"", ""375748"", ""5164"", ""91298"", ""6714"", ""10645"", ""1263"", ""4780"", ""5598"", ""847"", ""5194"")	82	11	10.192932621293036	0.07620067292600256	0.9362684207397091
