GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002637	regulation of immunoglobulin production	77	0.011904761904761904	77/16283	0.2597402597402597	2.5174706246134817	4.527049169017324	7.607949328470974e-5	0.0010063155941903094	7.2891326954378e-4	TREX1/CGAS/SLC15A4/CR1/EPHB2/CLCF1/TBX21/HLA-E/IL4R/IL6/IL10/DNAJB9/BCL6/TFRC/TNF/TNFSF4/TNFRSF4/XBP1/CD86/CD40	20	23	-0.09551724057740137	0.8154696241867808
GO:0002638	negative regulation of immunoglobulin production	12	0.0011904761904761906	12/16283	0.16666666666666666	1.615376984126984	0.723289604115909	0.3556018084865199	0.6168357050395517	0.4467979360823583	CR1/BCL6	2	2	0.04424470179775742	0.9130027512842391
GO:0002639	positive regulation of immunoglobulin production	55	0.008333333333333333	55/16283	0.2545454545454545	2.467121212121212	3.6965987728362637	0.0010907268916873294	0.00880308032063115	0.006376411232830669	EPHB2/CLCF1/TBX21/HLA-E/IL4R/IL6/IL10/DNAJB9/TFRC/TNFSF4/TNFRSF4/XBP1/CD86/CD40	14	20	-0.312430242140975	0.6784159427139524
GO:0002643	regulation of tolerance induction	19	0.004166666666666667	19/16283	0.3684210526315789	3.5708333333333333	3.802984133125243	0.0020223724548104577	0.014431041859169403	0.010452961243191292	LILRB2/LILRB4/IRAK3/HLA-B/IL2RA/IDO1/ITCH	7	7	0.04424470179775742	0.9130027512842391
GO:0002644	negative regulation of tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002645	positive regulation of tolerance induction	11	0.002976190476190476	11/16283	0.45454545454545453	4.405573593073593	3.8322481029073554	0.003149432150616415	0.020426487838343273	0.01479569443373576	LILRB2/LILRB4/IRAK3/IDO1/ITCH	5	3	0.555070325563748	1.3219534124643266
GO:0002646	regulation of central tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002648	positive regulation of central tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002649	regulation of tolerance induction to self antigen	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002651	positive regulation of tolerance induction to self antigen	1	0	0	0	0	0	1	1	1		0	0	0	0
