significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
prednisolone	0	1	2	3	Launched	glucocorticoid receptor agonist	NR3C1|NR3C2|SERPINA6	ophthalmology|dermatology|infectious disease	conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis
prednisone	0	1	2	3	Launched	glucocorticoid receptor agonist	HSD11B1|NR3C1	endocrinology|rheumatology|infectious disease|dermatology|ophthalmology|hematology|gastroenterology|neurology/psychiatry	congenital adrenal hyperplasia|hypercalcemia|rheumatoid arthritis|psoriatic arthritis|ankylosing spondylitis|bursitis|osteoarthritis|epicondylitis|dermatomyositis|psoriasis|mycosis|conjunctivitis|anemia|ulcerative colitis|enteritis|multiple sclerosis|meningitis
pregnenolone	0	1	2	3	Launched	glutamate receptor modulator	SULT2B1	rheumatology	rheumatoid arthritis
probucol	0	1	2	3	Launched	atherogenesis inhibitor	ABCA1|ABCB11|CES1	cardiology	coronary artery disease (CAD)
procainamide	0	1	2	3	Launched	sodium channel blocker	DNMT1|SCN5A	cardiology	ventricular arrhythmias|ventricular tachycardia (VT)
profenamine	0	1	2	3	Launched	butyrylcholinesterase inhibitor|cholinergic receptor antagonist	CHRM1	neurology/psychiatry	Parkinson's Disease
progesterone	0	1	2	3	Launched	progesterone receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5	obstetrics/gynecology|endocrinology	infertility|amenorrhea
proguanil	0	1	2	3	Launched	dihydrofolate reductase inhibitor	DHFR	infectious disease	malaria
protriptyline	0	1	2	3	Launched	tricyclic antidepressant	SLC6A2|SLC6A4	neurology/psychiatry	depression
proxymetacaine	0	1	2	3	Launched	sodium channel blocker	SCN10A|SCN5A	neurology/psychiatry	anesthetic
pyrimethamine	0	1	2	3	Launched	dihydrofolate reductase inhibitor	DHFR|SLC47A1	infectious disease	malaria
quetiapine	0	1	2	3	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2	neurology/psychiatry	schizophrenia|bipolar disorder
quinidine	0	1	2	3	Launched	sodium channel blocker	KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4	infectious disease|cardiology	malaria|atrial fibrillation (AF)|ventricular arrhythmias
rabeprazole	0	1	2	3	Launched	ATPase inhibitor|gastrin inhibitor	ATP4A	gastroenterology	gastroesophageal reflux disease (GERD)|duodenal ulcer disease|Zollinger-Ellison syndrome
raltitrexed	0	1	2	3	Launched	thymidylate synthase inhibitor	FPGS|TYMS	oncology	mesothelioma
reboxetine	0	1	2	3	Launched	adrenergic receptor antagonist	SLC6A2	neurology/psychiatry	depression
retinol	0	1	2	3	Launched	retinoid receptor ligand	ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG	dermatology	cosmetic|acne vulgaris (AV)|keratosis
rimexolone	0	1	2	3	Launched	glucocorticoid receptor agonist	NR3C1|SERPINA6	ophthalmology	anterior uveitis
rizatriptan	0	1	2	3	Launched	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F	neurology/psychiatry	migraine headache
ropinirole	0	1	2	3	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	neurology/psychiatry	Parkinson's Disease|restless leg syndrome
rutin	0	1	2	3	Launched	antioxidant|capillary stabilizing agent|nitric oxide scavenger	AKR1C3	rheumatology|otolaryngology|gastroenterology|neurology/psychiatry|allergy	joint pain|nasal congestion|constipation|irritability|allergic rhinitis
ruxolitinib	0	1	2	3	Launched	JAK inhibitor	JAK1|JAK2|JAK3|TYK2	hematologic malignancy|hematology	myelofibrosis|polycythemia vera
salmeterol	0	1	2	3	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm
saquinavir	0	1	2	3	Launched	HIV protease inhibitor	CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)
sertaconazole	0	1	2	3	Launched	sterol demethylase inhibitor		infectious disease	tinea pedis
simvastatin	0	1	2	3	Launched	HMGCR inhibitor	HMGCR|ITGB2	endocrinology|cardiology|neurology/psychiatry	hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
sitagliptin	0	1	2	3	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
somatostatin	0	1	2	3	Launched	somatostatin receptor agonist	OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5	hematology	hemorrhage
sulindac	0	1	2	3	Launched	cyclooxygenase inhibitor	AKR1B1	rheumatology	osteoarthritis|rheumatoid arthritis|ankylosing spondylitis
sunitinib	0	1	2	3	Launched	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET	oncology	gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET)
