drug_name	drug_gene	type
phenazopyridine	TLR4	LINCS
coumarin	TLR4	LINCS
procainamide	TLR4	LINCS
mitotane	TLR4	LINCS
cabergoline	TLR4	LINCS
salmeterol	TSPAN4	LINCS
oxibendazole	TOP2A	LINCS
pyrvinium-pamoate	TOP2A	LINCS
fenbendazole	TOP2A	LINCS
mebendazole	TOP2A	LINCS
econazole	TP53BP2	LINCS
fluvastatin	TPM1	LINCS
rosuvastatin	TPM1	LINCS
quercetin	TXNRD1	LINCS
bucladesine	UGDH	LINCS
benzthiazide	UGDH	LINCS
piperidolate	WFS1	LINCS
meclofenamic-acid	GET1	LINCS
propafenone	IFRD2	LINCS
homoharringtonine	TMEM109	LINCS
dextromethorphan	TMEM109	LINCS
tamoxifen	CCDC86	LINCS
atorvastatin	CCDC86	LINCS
lovastatin	CCDC86	LINCS
simvastatin	CCDC86	LINCS
sirolimus	TRAPPC6A	LINCS
ropinirole	CHAC1	LINCS
ethotoin	MBOAT7	LINCS
dydrogesterone	CHMP6	LINCS
nilotinib	NUP85	LINCS
terguride	FBXO11	LINCS
timolol	FBXO11	LINCS
rilmenidine	FBXO11	LINCS
aniracetam	FBXO11	LINCS
naltrexone	FBXO11	LINCS
fostamatinib	FOSL1	LINCS
mebendazole	FOSL1	LINCS
dextromethorphan	CALU	LINCS
levocabastine	NRIP1	LINCS
temozolomide	SMC1A	LINCS
verapamil	LAGE3	LINCS
curcumin	CDC45	LINCS
sunitinib	CDC45	LINCS
trazodone	CASP2	LINCS
valsartan	CASP2	LINCS
felodipine	PIP4K2B	LINCS
cabergoline	DYRK3	LINCS
forskolin	TUBB6	LINCS
dipyridamole	TUBB6	LINCS
mycophenolate-mofetil	H2BC12	LINCS
oxibendazole	MICALL1	LINCS
rizatriptan	MICALL1	LINCS
dipyridamole	MICALL1	LINCS
curcumin	AKR7A2	LINCS
meclofenamic-acid	AKR7A2	LINCS
cilostazol	AKR7A2	LINCS
ramipril	PEX11A	LINCS
quinine	INPP4B	LINCS
mosapride	INPP4B	LINCS
quinapril	ST3GAL5	LINCS
levocabastine	ST3GAL5	LINCS
fludroxycortide	IER3	LINCS
triamcinolone	IER3	LINCS
betamethasone	IER3	LINCS
hydrocortisone	IER3	LINCS
mometasone	IER3	LINCS
dexamethasone	IER3	LINCS
resveratrol	IER3	LINCS
dicycloverine	IER3	LINCS
ketorolac	IER3	LINCS
hydrocortisone	SQSTM1	LINCS
triamcinolone	SQSTM1	LINCS
amlodipine	CCNA2	LINCS
reserpine	CCNA2	LINCS
paclitaxel	CCNB1	LINCS
cabergoline	CCNB1	LINCS
irbesartan	TIMELESS	LINCS
resveratrol	TIMELESS	LINCS
noscapine	MAP7	LINCS
azaperone	MAP7	LINCS
benzthiazide	MAP7	LINCS
timolol	MAP7	LINCS
dopamine	MAP7	LINCS
quinapril	DNAJA3	LINCS
timolol	DNAJA3	LINCS
chenodeoxycholic-acid	DNAJA3	LINCS
valproic-acid	DNAJA3	LINCS
levocabastine	DNAJA3	LINCS
piperidolate	DNAJA3	LINCS
procainamide	DNAJA3	LINCS
valsartan	DNAJA3	LINCS
loperamide	PRPF4	LINCS
piperidolate	PRPF4	LINCS
salmeterol	PRPF4	LINCS
terguride	PRPF4	LINCS
sunitinib	SYNGR3	LINCS
dipyridamole	SYNGR3	LINCS
niclosamide	ARHGEF2	LINCS
ziprasidone	VAPB	LINCS
rifabutin	ITGB1BP1	LINCS
azaperone	ITGB1BP1	LINCS
ranolazine	PIGB	LINCS
mycophenolate-mofetil	SPAG7	LINCS
lapatinib	CD44	LINCS
nilotinib	IKBKE	LINCS
aniracetam	CD58	LINCS
raloxifene	NUP93	LINCS
propafenone	EDEM1	LINCS
dopamine	USP6NL	LINCS
chenodeoxycholic-acid	USP6NL	LINCS
dicycloverine	ADGRE5	LINCS
chenodeoxycholic-acid	TATDN2	LINCS
aniracetam	TATDN2	LINCS
panobinostat	KEAP1	LINCS
vorinostat	KEAP1	LINCS
fenbendazole	CDK1	LINCS
mebendazole	CDK1	LINCS
paclitaxel	CDK1	LINCS
chlorpromazine	CDK1	LINCS
oxibendazole	CDK1	LINCS
bendroflumethiazide	C2CD2L	LINCS
bendroflumethiazide	KLHL21	LINCS
hydrocortisone	KLHL21	LINCS
temozolomide	KLHL21	LINCS
varenicline	KLHL21	LINCS
felodipine	KLHL21	LINCS
rosuvastatin	CDC20	LINCS
mycophenolate-mofetil	CDC20	LINCS
raloxifene	CDC20	LINCS
ranolazine	CDC20	LINCS
sunitinib	CDC20	LINCS
pyrvinium-pamoate	CDC20	LINCS
irinotecan	CDC20	LINCS
resveratrol	CDC20	LINCS
topotecan	CDC20	LINCS
niclosamide	CDC20	LINCS
mycophenolic-acid	CDC20	LINCS
loperamide	CDC20	LINCS
reserpine	CDC20	LINCS
etoposide	CDC20	LINCS
