Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE132283_MTB_control_2h_blood_macrophage	GSE132283_MTB_control_48h_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_blood_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_4control_48h_HEPG2_HepG2	GSE256184_MTB_control_0h_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
5-aminolevulinic acid import across plasma membrane	0	0	0	0	0	0	2.370958921644102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8681847951886632	0	0	0	0	0	0.8949089843363195
5S class rRNA transcription by RNA polymerase III	0	3.119594497166968	0	0	0	0	0	0	0.7383901380179234	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8523343804105395	1.2386196640832816	1.3805837667353649	0	0	0	1.1856224083361082	0.8949089843363195
7-methylguanosine RNA capping	0	3.119594497166968	0.8487029104969763	0.9592334652900322	0	0	0.7973178738207567	0.5414967177489515	0	0	0	0	0	0	0	0	0	1.0798397155782946	0	1.816658039557023	0	0	0	1.2386196640832816	0.8320598525384845	0	1.4851166808931504	0	0.9588547228312186	0.8949089843363195
7-methylguanosine cap hypermethylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7-methylguanosine mRNA capping	0	3.119594497166968	0.8487029104969763	0.9592334652900322	0	0	0.7973178738207567	0.5414967177489515	0	0	0	0	0	0	0	0	0	1.0798397155782946	0	1.816658039557023	0	0	0	1.2386196640832816	0.8320598525384845	0	1.4851166808931504	0	0.9588547228312186	0.8949089843363195
9-cis-retinoic acid biosynthetic process	0	0	0	0	0	0	2.370958921644102	1.9407256635203816	2.2813850799244277	0	0	0	0	2.2781352451196755	0	2.509369721333792	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
9-cis-retinoic acid metabolic process	0	0	0	0	0	0	2.370958921644102	1.9407256635203816	2.2813850799244277	0	0	0	0	2.2781352451196755	0	2.509369721333792	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
ADP biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.753092164491237	0	2.4899202143549815	0	0	0	1.8681847951886632	0	0	0	0	0	0.8949089843363195
ADP catabolic process	0.8306100445608594	1.8015248294071224	0.7874100323646829	1.1678795069924357	1.02586753789957	0.8342313181965659	0	0.5628657528649609	0.5959281989358264	0.300318632045176	0	0.6456892653485573	0.7170266504530953	0.7633322784260563	0	0.5088755291402269	0	0.3335078926967581	0	0.25752236338974893	0	0.3236011843891495	0.6937824889195539	0.5252614444249347	0.8613962654759768	0	0	0	1.414232951353661	0.6235229262785135
ADP metabolic process	0.8019678753813544	1.7613131325089526	0.7597904867698504	1.1330712482612388	0.9932864854342328	0.8055060076501903	0	0.5414967177489515	0.5735401235130946	0.28814715843138783	0	0.6218312817404822	0.6911966560276837	0.7363075905765241	0	0.4892418539772352	0	0.6121793962513067	0	0.48036931206178185	0	0.31054324530308897	0.6685774959566965	0.618382982346342	0.8320598525384845	0	0	0	1.3765963187219914	0.6357827085586837
ADP transport	0	0	0.8487029104969763	1.5405754623004606	0	0	0	1.9407256635203816	0	0	0	0	1.4407257221797447	1.2539188558249104	0	1.459609742178747	0	1.685377993657717	0	1.4419494960109152	0	0	1.406672796187505	0	0	1.7912930335444877	0	0	0.6865676846785199	0.8949089843363195
AIM2 inflammasome complex assembly	0	0	0	1.9207424413730747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5240273009077694	1.8623445302560315	0	1.5401110131945557	0.8949089843363195
AMP biosynthetic process	0	0	1.463570369165773	0.8486275629918453	0	0	0	0.86309420781263	0	0.8825476953476823	0	0	0	1.7392992958443	0	0	0	0	0	0.7754439777061443	0	0	0	1.3535066968608167	0.7314057050772139	1.0472080017747405	0	0	1.4014696561190851	0.8949089843363195
AMP catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.021656950225905	0	0	0.918831588586954	0	0	0	0	1.1856224083361082	0.8949089843363195
AMP metabolic process	0	0	1.0114216442052693	0.5312791680194644	0.9932864854342328	0	0	0.7731603989669533	0	0.5553177307488307	0	0	0	1.4488400067188456	0	0	0	0	0	0.8800410804425091	0.829020716241828	0	0	1.2386196640832816	0.4503461821790585	0.6761066507108594	0	0	1.2850117560590957	0.8949089843363195
AMP transport	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	2.753092164491237	0	2.4899202143549815	0	0	2.450866973901892	0	0	2.1813855145971632	0	0	0	0.8949089843363195
AMPA glutamate receptor clustering	0	0	1.7741982677948471	0	0	0	0	0	0	0	0	0	1.815359697178268	1.614808340999161	0	1.835374749913427	0	2.071865853392054	0	0	1.7471224399439438	0	0	1.2386196640832816	0	0	0	0	1.5401110131945557	0.48979700374826735
AMPA selective glutamate receptor signaling pathway	0	0	1.7741982677948471	0	3.3319387002994616	0	2.370958921644102	1.9407256635203816	0	2.645763858376474	0	0	2.488570008474638	2.2781352451196755	0	0	0	2.753092164491237	0	0	0	2.7221208761610667	0	1.8681847951886632	0	0	2.537348063808142	0	1.5401110131945557	0.8949089843363195
ARF protein signal transduction	0	0	0	0	0	0	0	1.9407256635203816	2.2813850799244277	0	0	0	0	2.2781352451196755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
ATF6-mediated unfolded protein response	0	0	0.8487029104969763	0	1.5820711072435558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2386196640832816	0.8320598525384845	0	0	0	1.1856224083361082	0.8949089843363195
ATP biosynthetic process	1.550275543081117	1.9840519618371688	1.2790734996316162	1.3297463733139965	0.6816728715055714	0.6964170002678938	0	0.5153241386108826	0.2522655655748323	0	0	0	0.30978481820064274	0.25144699429631384	0	1.7841307435477392	0	0	0	0	0	0	0	0.32689050143219295	0.2900570185698697	1.74030107148457	0	0	1.4910242879458897	0.817720238806868
ATP export	1.9828741752611612	0	0.8487029104969763	0	0	0	0.7973178738207567	1.5596209207439968	1.6178750194228504	1.9673164622415584	0	0	2.091555750821507	1.614808340999161	1.2940226912481685	1.835374749913427	0	2.071865853392054	0	0.8800410804425091	0	0	1.406672796187505	0.918831588586954	0.8320598525384845	1.5240273009077694	0.914393683659035	0	0.6865676846785199	0.8949089843363195
ATP generation from poly-ADP-D-ribose	0	0	1.1561461018058292	1.2854485545271217	1.964237106093554	1.346045408989779	1.0946759035060667	0.7731603989669533	2.2813850799244277	0	0	1.4382841962968689	1.1920568636954505	1.020446018271141	0	0	0	0	0	0	1.1327094722870397	1.3948978812269972	1.7791586813730886	1.2386196640832816	0	0.9457722949790932	0	0	1.2850117560590957	0.8949089843363195
ATP metabolic process	0.9054951492453668	1.5240273009077692	0.9864646131759311	1.0063846586851553	0.9685812979791006	0.7395436076698565	0.08549471370719175	0.525494778872125	0.7179973312768692	0.1128510867704853	0	0.708731827572077	0.5505254747797851	0.5211792820151865	0	0.9393138574995188	0	0.12569573448083893	0	0.19200196618935905	0.35166133539165606	0.24193636128953275	0.531640633403658	0.5789328324236097	0.5174393662175848	0.9217598320259895	0	0	1.432002831276674	0.7497267647753808
ATP synthesis coupled electron transport	0	2.091555750821507	0	0.7215624166430203	1.272345166271083	0.40983430637158774	0	0.7345231500401714	0.9768397946654064	0	0	0.8350651103577835	0.3449148154163138	1.1495513377917084	0	1.6527985382175632	0	0	0	0	0.32170408184023264	0	0.6338773075157431	0.3638109035640856	0	1.67373877847756	0	0	1.2334336774813914	0.8522845352826146
ATP transport	1.2723049910474455	0	0.7946120460736247	0.49352937586345086	0	0	0.39767591102507033	1.3678911307200523	1.1894681557687163	1.258520625514674	0	0.5788415493599177	1.5703561628738758	0.9598337118329094	0.7157484153219316	1.1435041719855958	0	1.611054802421915	0	0.8246436223949071	0	0	1.5353893534674106	0.6766470958963049	0.7786848245982834	1.451760945727752	0.4662672693864875	0	0.775736682969953	0.8949089843363195
AV node cell action potential	0	0	1.1561461018058292	1.5405754623004606	2.2433705218443216	0	0	0.5414967177489515	0.7383901380179234	0	0	1.0938282544251363	0	0	0	0	0	1.0798397155782946	0	0.8800410804425091	0.829020716241828	0	0	0.505091876537246	0	0	0	0	1.3765963187219914	0.6357827085586837
AV node cell to bundle of His cell communication	0	0	1.2679003128213613	1.4019206324548217	2.0932158664240172	0	0	0.4696956025625056	0.6461056021076166	0	0	0.9743714136023542	0	0	0	0	0	0.961226449678732	0	0.7754439777061443	0.7286241208146669	0	0	0.43749045707144263	0	0	0	0	1.4014696561190851	0.6754738986026034
AV node cell to bundle of His cell communication by electrical coupling	0	0	1.7741982677948471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
AV node cell to bundle of His cell signaling	0	0	1.1561461018058292	1.5405754623004606	2.2433705218443216	0	0	0.5414967177489515	0.7383901380179234	0	0	1.0938282544251363	0	0	0	0	0	1.0798397155782946	0	0.8800410804425091	0.829020716241828	0	0	0.505091876537246	0	0	0	0	1.3765963187219914	0.6357827085586837
Arp2/3 complex-mediated actin nucleation	0	0	0.49950694042437555	0.575014393842047	1.0604995368535195	1.4227730091812525	0	0	0.42724996114540253	0	0	0	0	0.4259143602198988	0	1.2833490372416898	0	0	0	0	0	0	0	0.2835542797067127	0.488411408771821	1.0112230252813637	0.5439970036762372	0	1.3604792995495167	0.7589358673869084
B cell activation	0.523856580890014	1.9590646339172064	0.7946120460736246	0.49352937586345075	0	0.5264149082333145	0.5204986620917031	0.5791468036708542	0.7859815379244574	0.17883062668040622	0	0.3972748331305058	0.9323512553593292	0.6873519785894322	0	0.4540751595758235	0	1.1394076438575789	0	1.3709804365183258	0.14218181305825575	0.37922485337804224	0.7980893531270813	0.609901746370342	0.5457074751695057	0.8066305352506433	1.0716800984789254	0.45178421870819374	1.3629737329964493	0.8197515083244947
B cell activation involved in immune response	0	3.5239758267270056	1.1561461018058292	0	0	0	0	0.7731603989669533	0	0	0	1.4382841962968689	1.1920568636954505	1.020446018271141	0	0	0	1.42260726564969	0	1.1931949767463008	0	0	0	0	0	0.9457722949790932	0	0	1.5401110131945557	0.7046477269402593
B cell adhesion	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	0	0	0	2.4174070906210186	0	0	0	0	2.1813855145971632	2.537348063808142	0	0	0.8949089843363195
B cell antigen processing and presentation	0	0	0	2.5977511041621124	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	0	0	2.4899202143549815	0	0	0	0	0	2.1813855145971632	2.537348063808142	0	1.5401110131945557	0.8949089843363195
B cell apoptotic process	0	0	0	0	0	2.6670332237729375	0	0	0	0	0	0	2.488570008474638	2.2781352451196755	0	0	0	0	0	0	0	0	2.450866973901892	1.8681847951886632	0	0	0	0	1.5401110131945557	0.8949089843363195
B cell chemotaxis	0	0	1.4020173065618144	0	2.2433705218443216	0	0	0.9748104709139136	0	0	0	0	0	1.2539188558249104	0	0	0	1.685377993657717	0	0	0	0	1.406672796187505	0.918831588586954	0	0	0	0	1.5401110131945557	0.6357827085586837
B cell costimulation	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2781352451196755	0	0	0	0	0	0	0	0	0	0	2.421801283521651	2.1813855145971632	0	0	0	0.8949089843363195
B cell differentiation	0	2.036211700714144	0.7289693103582645	0.3630563317717246	0	0.729530193838244	0.559956601212421	0.9748104709139136	0.934415139208136	0	0	0.42855290361551274	1.4407257221797447	0.7363075905765241	0	0.3331333571113783	0	1.0798397155782946	0	1.0971045305903735	0.3043778738333522	0.764739567558895	0.6024547328410493	0.7924796555099106	0.586719050941235	0.8612510184052761	1.1358498965864126	0	1.3765963187219912	0.8949089843363194
B cell lineage commitment	0	0	0	0	0	0	0	0	0	0	0	0	2.488570008474638	0	0	0	0	0	0	0	0	2.7221208761610667	0	1.8681847951886632	0	0	0	0	1.5401110131945557	0.8949089843363195
B cell mediated immunity	1.0522788447187317	0	1.0023745293622006	1.2338632265450256	0.7499560560154066	0.40983430637158774	0	0.39113849569875175	0.5428328240475391	0	0	0.452208870084934	0.6556042775256894	0.9743470323421164	0.5647749210174963	1.5111911689874669	0	1.1256467078724477	0	1.143263173347667	0	0	0.3324364324597942	0.3638109035640856	1.0875546375056613	1.469193333355571	0.6845138219651999	0	1.3017112583843369	0.8083645583275426
B cell proliferation	1.7093591522185825	0	0.6655149405380599	0	0	0.8055060076501903	0.6224179563691128	0	0	0.7912621929917721	0	1.4382841962968689	0	0.5718233331710416	0	0	0	0.864808180373771	0	2.0304030564377733	0	0	0	0.3855125137021933	0	0.522503916193985	0	1.561527248051597	1.5401110131945557	0.8949089843363195
B cell proliferation involved in immune response	0	0	0	0	0	0	0	0	0	0	0	2.770532278356071	0	0	0	0	0	0	0	2.4899202143549815	0	0	0	0	0	2.1813855145971632	0	0	1.5401110131945557	0.8949089843363195
