ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0034508	centromere complex assembly	0.020618556701030927	29/16075	2.172948902739964e-12	1.4134196862745488e-10	1.2995466069342003e-10	NASP/CENPO/KNTC1/CENPH/CENPW/CENPI/CENPE/CENPK/OIP5/HJURP/HELLS/DLGAP5/CENPF/CENPA	14	10	1.3522150474670278	2.0616845917744615
GO:0035735	intraciliary transport involved in cilium assembly	0.004418262150220913	7/16075	0.0023114373171163514	0.038026291738396625	0.03496267873074211	PCM1/SSX2IP/CEP131	3	6	0.3225956302858696	1.126716776224635
GO:0035825	homologous recombination	0.022091310751104567	61/16075	2.408047238221054e-8	9.427059002961681e-7	8.667561842836601e-7	TOPBP1/NUCKS1/BARD1/BRCA1/PSMC3IP/RAD51AP1/FANCD2/RAD54B/RAD51/EME1/TRIP13/RAD54L/TOP2A/BRME1/MND1	15	21	0.6792705742246024	1.4312411960688776
GO:0036297	interstrand cross-link repair	0.020618556701030927	39/16075	2.852537535379735e-10	1.4530757469380146e-8	1.3360077511930707e-8	RFWD3/FAAP100/NUCKS1/FANCC/XRCC3/FANCG/HROB/FANCB/RAD51AP1/FANCD2/MCM8/RAD51/FANCI/NEIL3	14	25	0.4359243155928728	1.220224271311308
GO:0040001	establishment of mitotic spindle localization	0.013254786450662739	39/16075	2.7524487162751114e-5	6.968474953539624e-4	6.407055221685463e-4	SPDL1/MAD2L1/GPSM2/ESPL1/NDC80/NUSAP1/SAPCD2/PLK1/CENPA	9	26	-0.045129149839447553	0.8498251201148368
GO:0042023	DNA endoreduplication	0.004418262150220913	5/16075	7.038897981221133e-4	0.013714498002121175	0.012609580521295	FBXO5/E2F7/E2F8	3	NA	NA	NA
GO:0042148	strand invasion	0.004418262150220913	6/16075	0.0013635596292626909	0.024637308173173746	0.02265238736332487	XRCC2/PSMC3IP/RAD51	3	2	1.4212079189539792	2.1286177271270916
GO:0042276	error-prone translesion synthesis	0.007363770250368188	11/16075	4.950230617695182e-5	0.0011758188231244511	0.001081088212368321	REV3L/USP1/PRIMPOL/POLD2/POLE2	5	9	0.42795614594369596	1.2135411211734874
GO:0042770	signal transduction in response to DNA damage	0.039764359351988215	180/16075	9.651113526952006e-9	4.1637661216278657e-7	3.8283095870068485e-7	RFWD3/PAXIP1/CHEK2/TOPBP1/PRKDC/CASP2/CHEK1/BARD1/DONSON/ATAD5/H2AX/BRCA1/TFAP4/FANCD2/RAD51/E2F1/EME1/CLSPN/BLM/E2F7/WDR76/FOXM1/CDK1/GTSE1/PLK1/TICRR/DTL	27	108	-0.37055155027407555	0.6447459075083698
GO:0044380	protein localization to cytoskeleton	0.013254786450662739	58/16075	6.761818873916532e-4	0.013297195441357719	0.01222589821364688	PCM1/CCDC14/AURKA/STIL/CEP131/SPAG5/KIF20B/TTK/FAM83D	9	33	-0.2835401732844458	0.6956356135131732
GO:0044771	meiotic cell cycle phase transition	0.008836524300441826	11/16075	2.1402804480091466e-6	6.557322995784544e-5	6.029027989700823e-5	CDC25B/CCNB2/TTK/CDC25A/NDC80/CDC25C	6	1	2.80750228007387	3.5015589173600943
GO:0044773	mitotic DNA damage checkpoint signaling	0.025036818851251842	81/16075	3.637992893315143e-8	1.411140729627195e-6	1.2974512559162554e-6	RFWD3/CHEK2/TOPBP1/PRKDC/CASP2/CHEK1/DONSON/BRCA1/FANCD2/EME1/CLSPN/BLM/CDK1/GTSE1/PLK1/TICRR/DTL	17	46	0.02031475841293614	0.895810994200507
GO:0044774	mitotic DNA integrity checkpoint signaling	0.027982326951399118	85/16075	1.8703006197235367e-9	9.089231057690935e-8	8.356951226423499e-8	RFWD3/CHEK2/TOPBP1/PRKDC/CASP2/CHEK1/DONSON/ORC1/BRCA1/FANCD2/EME1/CLSPN/BLM/CDK1/GTSE1/CDC6/PLK1/TICRR/DTL	19	48	0.0889807791043647	0.9456702682245972
GO:0044784	metaphase/anaphase transition of cell cycle	0.050073637702503684	97/16075	1.120562359208303e-22	1.5283024692686145e-20	1.4051737835505142e-20	SMARCA2/ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/TACC3/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/CENPE/TTK/TRIP13/BUB1/AURKB/ESPL1/SPC24/NUF2/NDC80/CDCA8/CDT1/CDC6/BIRC5/UBE2C/DLGAP5/PLK1/CENPF/CDC20/BUB1B/SPC25	34	5	2.932665423027876	3.6265208718529593
GO:0044786	cell cycle DNA replication	0.029455081001472753	43/16075	9.575799967832977e-17	9.639638634285197e-15	8.863014857445409e-15	GMNN/POLA1/MCM6/DONSON/ATAD5/LIG1/FEN1/MCM3/PCNA/FBXO5/DNA2/CDC7/MCM4/MCM2/RAD51/BLM/E2F7/CDT1/CDC45/E2F8	20	11	1.6135798116014355	2.3165001302202306
GO:0044818	mitotic G2/M transition checkpoint	0.01914580265095729	51/16075	1.312456018386577e-7	4.8252730832508235e-6	4.43652180860561e-6	TOPBP1/CHEK1/BARD1/DONSON/ORC1/BRCA1/CLSPN/BLM/CDK1/CDC6/PLK1/TICRR/DTL	13	36	-0.0028267701487580815	0.879376171899891
GO:0044839	cell cycle G2/M phase transition	0.054491899852724596	149/16075	8.816219446512094e-19	9.809204163119244e-17	9.018919228800322e-17	PAXIP1/CHEK2/TOPBP1/CALM2/AURKA/RRM1/CHEK1/BARD1/CDC25B/DONSON/ATAD5/ORC1/BRCA1/FBXO5/FHL1/CDC7/CCNB1/WEE1/MELK/CCNB2/CLSPN/BLM/AURKB/CDC25A/CCNA2/PKMYT1/FOXM1/NDC80/CDK1/KIF14/CDC6/CIT/PLK1/CENPF/TICRR/CDC25C/DTL	37	36	1.0431417850339293	1.7659731489895616
GO:0045005	DNA-templated DNA replication maintenance of fidelity	0.027982326951399118	55/16075	4.0615263951063883e-13	3.012655017282423e-11	2.769938499931282e-11	RFWD3/GEN1/NUCKS1/SLFN11/BARD1/PRIMPOL/DONSON/MMS22L/TIMELESS/POLE/BRCA1/TONSL/PCNA/DNA2/MCM8/RAD51/TRAIP/EME1/BLM	19	43	0.19898167431869312	1.0288152972514706
GO:0045132	meiotic chromosome segregation	0.035346097201767304	104/16075	6.6625795344967675e-12	3.9124147599794904e-10	3.597208511826983e-10	SMC3/CCNE1/AURKA/SMC4/SMC2/PSMC3IP/FBXO5/FANCD2/SGO2/SGO1/CCNB2/EME1/CCNE2/TTK/TRIP13/BUB1/ESPL1/NUF2/NDC80/PLK1/TOP2A/ASPM/BUB1B/MND1	24	10	1.891211548199715	2.5900026026146716
GO:0045144	meiotic sister chromatid segregation	0.005891016200294551	13/16075	0.0016621923968070341	0.029528359049160253	0.027149387533871642	SMC3/SGO2/BUB1/BUB1B	4	NA	NA	NA
GO:0045740	positive regulation of DNA replication	0.011782032400589101	39/16075	1.8699934587631094e-4	0.00427369315872996	0.00392938028063281	ATAD5/PCNA/DNA2/CDC7/E2F7/CDT1/CDK1/E2F8	8	27	-0.2006525134786781	0.7468145084606346
GO:0045839	negative regulation of mitotic nuclear division	0.041237113402061855	56/16075	4.818019058512332e-24	8.8567759040826691e-22	8.143223973952422e-22	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/CHEK1/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	28	28	1.015742810845815	1.740171055376451
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	0.039764359351988215	48/16075	4.5759344542655735e-25	1.4882346825103726e-22	1.3683340841783615e-22	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	27	22	1.2205372234918284	1.9347730537333037
GO:0045931	positive regulation of mitotic cell cycle	0.029455081001472753	117/16075	8.916084499501306e-8	3.306772391569432e-6	3.0403601160349332e-6	AURKA/PRKCA/RRM1/CDC25B/STIL/SASS6/FBXO5/CDC7/CCNB1/CDC25A/ESPL1/CDCA5/CDT1/CDK1/RRM2/CDC6/UBE2C/DLGAP5/CDC25C/DTL	20	78	-0.34523374228978576	0.659252855545131
GO:0046385	deoxyribose phosphate biosynthetic process	0.008836524300441826	14/16075	1.2472862993139868e-5	3.402275144193249e-4	3.1281686270740605e-4	ADK/RRM1/DUT/DTYMK/RRM2/TYMS	6	9	0.6102777027376505	1.3701530857168918
GO:0046599	regulation of centriole replication	0.007363770250368188	22/16075	0.0019164256148701214	0.0334820144614499	0.030784514117944146	ALMS1/STIL/BRCA1/SASS6/PLK4	5	20	-0.37055155027407555	0.6447459075083698
GO:0046602	regulation of mitotic centrosome separation	0.007363770250368188	9/16075	1.4491541208185105e-5	3.853473976616769e-4	3.543016331137213e-4	CEP85/RANBP1/CHEK1/KIF11/NEK2	5	8	0.5457391816000794	1.313870195959819
GO:0046605	regulation of centrosome cycle	0.016200294550810016	53/16075	1.0612200101850086e-5	2.9912254687081445e-4	2.7502354369215694e-4	GEN1/ALMS1/AURKA/XRCC3/STIL/WDR62/BRCA1/SASS6/CEP131/CCNF/PLK4	11	43	-0.3475620320493768	0.6579084593677789
GO:0050000	chromosome localization	0.033873343151693665	87/16075	8.565730891577809e-13	5.748557176125552e-11	5.285420916056283e-11	MAD1L1/INCENP/SPDL1/CENPQ/KIF22/CCNB1/SPAG5/KIF18A/PSRC1/CENPE/AURKB/KIF2C/NUF2/CDCA5/FAM83D/NDC80/CDCA8/KIFC1/CDT1/KIF14/BIRC5/DLGAP5/CENPF	23	75	-0.1662510867613457	0.7688229270466491
GO:0051053	negative regulation of DNA metabolic process	0.022091310751104567	140/16075	8.530881906437386e-4	0.016320619321455777	0.015005737975933926	GMNN/MSH6/SLFN11/CHEK1/OGG1/DONSON/RADX/TIMELESS/FANCB/FBXO5/PARPBP/BLM/POLQ/CDT1/CDC6	15	101	-0.8913275048932342	0.39940667140498237
GO:0051177	meiotic sister chromatid cohesion	0.005891016200294551	13/16075	0.0016621923968070341	0.029528359049160253	0.027149387533871642	SMC3/SGO2/BUB1/BUB1B	4	1	2.4020371719657057	3.0972271541228498
