GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0006101	citrate metabolic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006102	isocitrate metabolic process	6	0	0	1	1	1		0		0	0	0	0	0
GO:0006103	2-oxoglutarate metabolic process	17	7.423904974016332e-4	17/16075	0.7742949835392013	0.9999990727778187	0.9999990727778187	D2HGDH	1		9	1	1.0761926422926025	-0.07342948130255494	0.8304153800189954
GO:0006104	succinyl-CoA metabolic process	10	0	0	1	1	1		0		0	0	0	0	0
GO:0006105	succinate metabolic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006106	fumarate metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006107	oxaloacetate metabolic process	9	7.423904974016332e-4	9/16075	0.5451730821247531	0.9999990727778187	0.9999990727778187	PCK1	1		6	1	0.7174617615284017	0.3320356268056094	1.1343745379292065
GO:0006108	malate metabolic process	9	7.423904974016332e-4	9/16075	0.5451730821247531	0.9999990727778187	0.9999990727778187	D2HGDH	1		5	1	0.597884801273668	0.514357183599564	1.286825363767278
GO:0006109	regulation of carbohydrate metabolic process	176	0.011878247958426132	176/16075	0.4046836841631417	0.9999990727778187	0.9999990727778187	DGAT2/PHKG2/JMJD8/KAT2A/HDAC4/SLC35B4/EPM2AIP1/APP/ZNF692/GPD1/PPP1R3E/GPT/GNMT/MST1/STK11/GAPDHS	16		85	9	10.164041621652357	-0.12163158312043272	0.7980311793287963
GO:0006110	regulation of glycolytic process	48	0.003711952487008166	48/16075	0.37554017714943955	0.9999990727778187	0.9999990727778187	JMJD8/HDAC4/APP/GPD1/GAPDHS	5		29	3	3.4677318473872747	-0.14488844528469993	0.7827141335210268
GO:0006111	regulation of gluconeogenesis	48	0.005939123979213066	48/16075	0.044437127913434495	0.9999990727778187	0.9999990727778187	DGAT2/KAT2A/SLC35B4/ZNF692/GPT/GNMT/MST1/STK11	8		18	3	2.152385284585205	0.3320356268056094	1.1343745379292065
GO:0006112	energy reserve metabolic process	84	0.008166295471417966	82/16075	0.07992487489959167	0.9999990727778187	0.9999990727778187	PHKA2/PHKA1/PHKG2/EPM2AIP1/MYC/PER2/PHKG1/GAA/PPP1R3E/PCDH12/GNMT	11		25	3	2.98942400636834	0.003531559833573285	0.883872980369363
GO:0006113	fermentation	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006114	glycerol biosynthetic process	5	7.423904974016332e-4	5/16075	0.35443607181388026	0.9999990727778187	0.9999990727778187	PCK1	1		1	0	0.11957696025473362	-Inf	0
GO:0006116	NADH oxidation	5	0.0014847809948032665	5/16075	0.05914450319573821	0.9999990727778187	0.9999990727778187	GPD1/ALDOB	2		0	0	0	0	0
GO:0006119	oxidative phosphorylation	143	7.423904974016332e-4	143/16075	0.9999965348164901	0.9999990727778187	0.9999990727778187	TAFAZZIN	1		37	0	4.424347529425144	-Inf	0
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	50	0	0	1	1	1		0		0	0	0	0	0
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	13	0	0	1	1	1		0		0	0	0	0	0
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	23	0	0	1	1	1		0		0	0	0	0	0
GO:0006127	glycerophosphate shuttle	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006139	nucleobase-containing compound metabolic process	5458	0	0	1	1	1		0		0	0	0	0	0
GO:0006140	regulation of nucleotide metabolic process	92	0.005196733481811433	92/16075	0.6602925888533515	0.9999990727778187	0.9999990727778187	TAFAZZIN/JMJD8/HDAC4/APP/BEND3/GPD1/GAPDHS	7		47	5	5.62011713197248	-0.11691459324229377	0.8011623671885291
GO:0006144	purine nucleobase metabolic process	19	7.423904974016332e-4	19/16075	0.8105737250625104	0.9999990727778187	0.9999990727778187	ACP3	1		8	0	0.956615682037869	-Inf	0
GO:0006145	purine nucleobase catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006147	guanine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006148	inosine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006149	deoxyinosine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006152	purine nucleoside catabolic process	8	0	0	1	1	1		0		0	0	0	0	0
GO:0006154	adenosine catabolic process	4	0	0	1	1	1		0		0	0	0	0	0
GO:0006157	deoxyadenosine catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006161	deoxyguanosine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006163	purine nucleotide metabolic process	529	0	0	1	1	1		0		0	0	0	0	0
GO:0006164	purine nucleotide biosynthetic process	257	0	0	1	1	1		0		0	0	0	0	0
GO:0006165	nucleoside diphosphate phosphorylation	101	0.005939123979213066	101/16075	0.6186208688153256	0.9999990727778187	0.9999990727778187	JMJD8/HDAC4/NME9/APP/AK8/GPD1/ALDOB/GAPDHS	8		0	0	0	0	0
GO:0006166	purine ribonucleoside salvage	7	0	0	1	1	1		0		0	0	0	0	0
GO:0006167	AMP biosynthetic process	14	0	0	1	1	1		0		0	0	0	0	0
GO:0006168	adenine salvage	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006170	dAMP biosynthetic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006171	cAMP biosynthetic process	10	0.0022271714922048997	10/16075	0.045060260912961864	0.9999990727778187	0.9999990727778187	ADCY3/ADCY5/ADCY1	3		5	1	0.597884801273668	0.514357183599564	1.286825363767278
GO:0006172	ADP biosynthetic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006173	dADP biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006174	dADP phosphorylation	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006175	dATP biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006177	GMP biosynthetic process	14	0	0	1	1	1		0		0	0	0	0	0
GO:0006178	guanine salvage	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006182	cGMP biosynthetic process	11	0.0014847809948032665	11/16075	0.23392207605339324	0.9999990727778187	0.9999990727778187	NPR2/NPPC	2		7	2	0.8370387217831352	0.8710321275382964	1.6053439272830163
GO:0006183	GTP biosynthetic process	10	7.423904974016332e-4	10/16075	0.5833065228304641	0.9999990727778187	0.9999990727778187	NME9	1		1	0	0.11957696025473362	-Inf	0
GO:0006185	dGDP biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006186	dGDP phosphorylation	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006188	IMP biosynthetic process	11	0	0	1	1	1		0		0	0	0	0	0
GO:0006189	'de novo' IMP biosynthetic process	6	0	0	1	1	1		0		0	0	0	0	0
GO:0006193	ITP catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006195	purine nucleotide catabolic process	52	0.0022271714922048997	52/16075	0.822560174406092	0.9999990727778187	0.9999990727778187	PDE7A/NUDT13/SARM1	3		42	2	5.022232330698811	-0.9207273416897586	0.38839075249583355
GO:0006196	AMP catabolic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006198	cAMP catabolic process	9	7.423904974016332e-4	9/16075	0.5451730821247531	0.9999990727778187	0.9999990727778187	PDE7A	1		1	0	0.11957696025473362	-Inf	0
GO:0006203	dGTP catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006204	IMP catabolic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006206	pyrimidine nucleobase metabolic process	15	0.0022271714922048997	15/16075	0.12533824751797978	0.9999990727778187	0.9999990727778187	DHODH/CPS1/CAD	3		5	1	0.597884801273668	0.514357183599564	1.286825363767278
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	6	0.0022271714922048997	6/16075	0.009678112236183999	0.9999990727778187	0.9999990727778187	DHODH/CPS1/CAD	3		1	1	0.11957696025473362	2.1237950960336645	2.8204979224782374
GO:0006208	pyrimidine nucleobase catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006210	thymine catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006211	5-methylcytosine catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006212	uracil catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006213	pyrimidine nucleoside metabolic process	24	7.423904974016332e-4	23/16075	0.8665838179180012	0.9999990727778187	0.9999990727778187	DHFR2	1		15	1	1.793654403821004	-0.5842551050685456	0.5320599906225948
GO:0006214	thymidine catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006216	cytidine catabolic process	12	0	0	1	1	1		0		0	0	0	0	0
GO:0006218	uridine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006220	pyrimidine nucleotide metabolic process	51	0.003711952487008166	51/16075	0.4267537322790307	0.9999990727778187	0.9999990727778187	UCK2/DHODH/NME9/NEIL1/CAD	5		30	3	3.587308807642008	-0.1787899969603812	0.7607493420961398
GO:0006221	pyrimidine nucleotide biosynthetic process	30	0.002969561989606533	30/16075	0.2404468582634331	0.9999990727778187	0.9999990727778187	UCK2/DHODH/NME9/CAD	4		11	2	1.3153465628020697	0.4190470037952391	1.206087535741397
GO:0006222	UMP biosynthetic process	10	0.0022271714922048997	10/16075	0.045060260912961864	0.9999990727778187	0.9999990727778187	UCK2/DHODH/CAD	3		4	2	0.4783078410189345	1.430647915473719	2.1377964616686715
GO:0006225	UDP biosynthetic process	4	0	0	1	1	1		0		0	0	0	0	0
GO:0006226	dUMP biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006227	dUDP biosynthetic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006228	UTP biosynthetic process	9	0.0014847809948032665	9/16075	0.1705897448012733	0.9999990727778187	0.9999990727778187	NME9/CAD	2		0	0	0	0	0
GO:0006231	dTMP biosynthetic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006233	dTDP biosynthetic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006235	dTTP biosynthetic process	4	0	0	1	1	1		0		0	0	0	0	0
GO:0006241	CTP biosynthetic process	13	0.0014847809948032665	13/16075	0.2983127504362497	0.9999990727778187	0.9999990727778187	UCK2/NME9	2		3	1	0.35873088076420084	1.0251828073655547	1.7490518107406903
