GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0001100	negative regulation of exit from mitosis	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001101	response to acid chemical	134	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001109	promoter clearance during DNA-templated transcription	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001111	RNA polymerase II promoter clearance	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001112	DNA-templated transcription open complex formation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001115	protein-DNA-RNA complex organization	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001117	protein-DNA-RNA complex disassembly	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001120	protein-DNA complex remodeling	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001172	RNA-templated transcription	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001173	DNA-templated transcriptional start site selection	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001174	transcriptional start site selection at RNA polymerase II promoter	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001188	RNA polymerase I preinitiation complex assembly	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001192	maintenance of transcriptional fidelity during transcription elongation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001193	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001325	formation of extrachromosomal circular DNA	15	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001408	guanine nucleotide transport	10	0.0625	10/16323	0.1	102.01875000000001	10.00909277256797	0.009761675417346072	0.08422282743803237	0.04564210537853366	SLC46A2	1	8	1.7760111122599158	2.4762491084603324
GO:0001501	skeletal system development	530	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001502	cartilage condensation	18	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001503	ossification	423	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001504	neurotransmitter uptake	46	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001507	acetylcholine catabolic process in synaptic cleft	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001508	action potential	171	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001510	RNA methylation	80	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001514	selenocysteine incorporation	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001516	prostaglandin biosynthetic process	28	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001519	peptide amidation	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001522	pseudouridine synthesis	18	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001523	retinoid metabolic process	79	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001525	angiogenesis	540	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001539	cilium or flagellum-dependent cell motility	197	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001541	ovarian follicle development	57	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001542	ovulation from ovarian follicle	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001543	ovarian follicle rupture	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001544	initiation of primordial ovarian follicle growth	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001545	primary ovarian follicle growth	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001546	preantral ovarian follicle growth	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001547	antral ovarian follicle growth	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001549	cumulus cell differentiation	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001550	ovarian cumulus expansion	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001552	ovarian follicle atresia	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001553	luteinization	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001554	luteolysis	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001555	oocyte growth	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001556	oocyte maturation	34	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001558	regulation of cell growth	397	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001560	regulation of cell growth by extracellular stimulus	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001561	fatty acid alpha-oxidation	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001562	response to protozoan	30	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001568	blood vessel development	721	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001569	branching involved in blood vessel morphogenesis	34	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001570	vasculogenesis	85	0.0625	83/16323	0.012048192771084338	12.291415662650603	3.2303834103705777	0.07836198378457737	0.12531162062102674	0.06790897868808657	ACKR3	1	10	1.552867560945706	2.2570290941935864
GO:0001572	lactosylceramide biosynthetic process	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001573	ganglioside metabolic process	27	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001574	ganglioside biosynthetic process	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001575	globoside metabolic process	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001576	globoside biosynthetic process	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001578	microtubule bundle formation	129	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001579	medium-chain fatty acid transport	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	32	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001649	osteoblast differentiation	233	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001654	eye development	401	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001655	urogenital system development	66	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001656	metanephros development	91	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001657	ureteric bud development	100	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001658	branching involved in ureteric bud morphogenesis	61	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001659	temperature homeostasis	184	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001660	fever generation	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001661	conditioned taste aversion	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001662	behavioral fear response	43	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001666	response to hypoxia	303	0	0	0	0	0	1	1	1		0	0	0	0
GO:0001667	ameboidal-type cell migration	231	0	0	0	0	0	1	1	1		0	0	0	0
