ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006695	cholesterol biosynthetic process	11/951	53/16218	2.08846210682463e-4	0.003984532552899355	0.002947829289537157	EBP/FDFT1/HMGCR/HMGCS1/APOE/INSIG1/LBR/LIPA/ACLY/NSDHL/MBTPS1	11
GO:0043536	positive regulation of blood vessel endothelial cell migration	11/951	53/16218	2.08846210682463e-4	0.003984532552899355	0.002947829289537157	AKT1/ETS1/ABL1/GATA2/HIF1A/HMOX1/HSPB1/NFE2L2/NOS3/PTGS2/CD40	11
GO:0044818	mitotic G2/M transition checkpoint	11/951	53/16218	2.08846210682463e-4	0.003984532552899355	0.002947829289537157	CDKN1A/TOPBP1/CHEK1/FOXO4/ORC1/PLK1/INTS3/BRCA1/MBTPS1/IER3/CDK1	11
GO:1902653	secondary alcohol biosynthetic process	11/951	53/16218	2.08846210682463e-4	0.003984532552899355	0.002947829289537157	EBP/FDFT1/HMGCR/HMGCS1/APOE/INSIG1/LBR/LIPA/ACLY/NSDHL/MBTPS1	11
GO:0061008	hepaticobiliary system development	20/951	141/16218	2.1205439611148613e-4	0.004033518060174975	0.0029840696542958373	CEBPA/CSNK2A2/EZH2/FPGS/HES1/IGF2R/LIPA/SMAD3/NOTCH1/NPC1/PCK2/PCNA/LSR/PIK3CA/CCND1/RPS6KA1/AURKA/XBP1/ARID5B/CFLAR	20
GO:0002067	glandular epithelial cell differentiation	13/951	71/16218	2.170323230002324e-4	0.00408946514669182	0.0030254603213588074	CDK6/AKT1/EXT1/FGFR2/SPDEF/GATA2/HIF1A/HOXA5/HES1/NOTCH1/BAD/RHEB/BMP4	13
GO:0071260	cellular response to mechanical stimulus	13/951	71/16218	2.170323230002324e-4	0.00408946514669182	0.0030254603213588074	CHEK1/COL1A1/DAG1/GADD45A/IGF1R/FAS/IL1B/BAD/PTGS2/TLR4/CASP2/BAG3/CD40	13
GO:0001837	epithelial to mesenchymal transition	22/951	163/16218	2.1759384119151198e-4	0.00408946514669182	0.0030254603213588074	COL1A1/DAG1/EDN1/SPRED2/EPHA3/EZH2/FGFR2/BAMBI/GATA3/HDAC2/HIF1A/IL1B/SMAD3/NOTCH1/PTK2/S100A4/BMP4/TGFB3/TGFBR2/TIAM1/HMGA2/NOLC1	22
GO:0007259	receptor signaling pathway via JAK-STAT	22/951	163/16218	2.1759384119151198e-4	0.00408946514669182	0.0030254603213588074	STAMBP/PWP1/GADD45A/EGF/EPHB2/PTK2B/FYN/GHR/HDAC2/HES1/IFNAR1/KIT/LYN/NOTCH1/PTPRC/CCL2/STAT1/STAT3/STAT5B/USP1/SOCS2/CD40	22
GO:0007095	mitotic G2 DNA damage checkpoint signaling	9/951	37/16218	2.2111737889426528e-4	0.004143318504518732	0.0030653020100473807	CDKN1A/TOPBP1/CHEK1/FOXO4/PLK1/BRCA1/MBTPS1/IER3/CDK1	9
GO:0045747	positive regulation of Notch signaling pathway	10/951	45/16218	2.2311317011070516e-4	0.0041559778669142	0.0030746676354402695	EPN2/HES1/KIT/NOS3/NOTCH1/ZMIZ1/RFNG/SRC/STAT3/ITGB1BP1	10
GO:0051972	regulation of telomerase activity	10/951	45/16218	2.2311317011070516e-4	0.0041559778669142	0.0030746676354402695	PNKP/MAP3K4/MYC/NVL/PRKCQ/ACD/SRC/TP53/MAPKAPK5/AURKB	10
GO:0001101	response to acid chemical	19/951	131/16218	2.257714932708375e-4	0.004193089444345701	0.003102123452021289	CDKN1B/RRAGA/COL1A1/COL4A1/DNMT1/DNMT3A/EDN1/EGFR/FYN/SESN1/IGF1R/LYN/MMP2/PCNA/PIK3CA/BCL2/XBP1/CASP3/TOMM70	19
