GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:1903073	negative regulation of death-inducing signaling complex assembly	1	0	0	1	1	1		0	0	0	0
GO:1903076	regulation of protein localization to plasma membrane	102	0.008415554265815438	102/16075	0.05756402441618107	0.9999999999999434	0.9999999999999434	RER1/VTI1B/GRIPAP1/VPS4A/TMBIM1/RANGRF/STX8/CLIP3/CSK/TMEM59/CNPY4/PIK3R1/AP2M1/CIB1/STX3/NHLRC1/LDLRAP1/VAMP8/STAC3/PIK3R2/DAB2/STAC/ABI3/CDK5/AKAP5/TGFB1/TREM2/NKD2/GPER1	29	72	0.7205755656189077	1.4682346007746048
GO:1903077	negative regulation of protein localization to plasma membrane	24	0.0020313406848520023	24/16075	0.2419398462582149	0.9999999999999434	0.9999999999999434	TMBIM1/CSK/TMEM59/AP2M1/DAB2/ABI3/TGFB1	7	21	0.5313335659803797	1.3014284169990304
GO:1903078	positive regulation of protein localization to plasma membrane	59	0.0037724898432965758	59/16075	0.5066055953555113	0.9999999999999434	0.9999999999999434	RER1/RANGRF/CLIP3/CNPY4/PIK3R1/CIB1/STX3/STAC3/STAC/AKAP5/TREM2/NKD2/GPER1	13	38	0.5573090523836403	1.323895528738129
GO:1903080	regulation of C-C chemokine receptor CCR7 signaling pathway	1	0	0	1	1	1		0	0	0	0
GO:1903082	positive regulation of C-C chemokine receptor CCR7 signaling pathway	1	0	0	1	1	1		0	0	0	0
GO:1903083	protein localization to condensed chromosome	18	2.901915264074289e-4	18/16075	0.9870343337746896	0.9999999999999434	0.9999999999999434	TRAPPC12	1	11	-0.7679494181498814	0.44874983782209216
GO:1903093	regulation of protein K48-linked deubiquitination	3	0	0	1	1	1		0	0	0	0
GO:1903094	negative regulation of protein K48-linked deubiquitination	2	0	0	1	1	1		0	0	0	0
GO:1903096	protein localization to meiotic spindle midzone	1	0	0	1	1	1		0	0	0	0
GO:1903100	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	1	0	0	1	1	1		0	0	0	0
GO:1903108	regulation of mitochondrial transcription	5	8.705745792222867e-4	5/16075	0.06952155317442905	0.9999999999999434	0.9999999999999434	THAP11/MTRES1/CHCHD10	3	6	0.936798674088544	1.6662989330522942
GO:1903109	positive regulation of mitochondrial transcription	2	0	0	1	1	1		0	0	0	0
GO:1903115	regulation of actin filament-based movement	39	0.0020313406848520023	39/16075	0.7605532966867844	0.9999999999999434	0.9999999999999434	SRI/RANGRF/CAMK2D/PKP2/JUP/BIN1/ADORA1	7	22	0.48481355034548673	1.2615680895465455
GO:1903116	positive regulation of actin filament-based movement	2	0	0	1	1	1		0	0	0	0
GO:1903119	protein localization to actin cytoskeleton	1	0	0	1	1	1		0	0	0	0
GO:1903121	regulation of TRAIL-activated apoptotic signaling pathway	4	0	0	1	1	1		0	0	0	0
GO:1903122	negative regulation of TRAIL-activated apoptotic signaling pathway	1	0	0	1	1	1		0	0	0	0
GO:1903125	negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation	1	0	0	1	1	1		0	0	0	0
