title	organism_ch1	series_id	geo_accession	CLASSIFICATION_STANDARDIZED	SAMPLE_TYPE	source_name_ch1	CELL_SOURCE_CLEAN	cell type:ch1	CL:CODE	tissue:ch1	TISSUE_SOURCE_CLEAN	UBERON:CODE	CONTEXT	time point:ch1	time:ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	molecule_ch1	platform_id	library_source	library_strategy
Sample_905_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3071030	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 905	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3071031	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 905	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_NK_Mtb	Homo sapiens	GSE112482	GSM3071032	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 905	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_NK_uninf	Homo sapiens	GSE112482	GSM3071033	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 905	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_susp_Mtb	Homo sapiens	GSE112482	GSM3071034	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 905	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_susp_uninf	Homo sapiens	GSE112482	GSM3071035	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 905	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC1_Mtb	Homo sapiens	GSE112482	GSM3071036	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 923	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC1_uninf	Homo sapiens	GSE112482	GSM3071037	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 923	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC2_Mtb	Homo sapiens	GSE112482	GSM3071038	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 923	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC2_uninf	Homo sapiens	GSE112482	GSM3071039	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 923	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3071040	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 923	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3071041	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 923	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3071042	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 923	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3071043	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 923	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_NK_Mtb	Homo sapiens	GSE112482	GSM3071044	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 923	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_NK_uninf	Homo sapiens	GSE112482	GSM3071045	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 923	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_susp_Mtb	Homo sapiens	GSE112482	GSM3071046	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 923	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_923_susp_uninf	Homo sapiens	GSE112482	GSM3071047	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 923	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC1_Mtb	Homo sapiens	GSE112482	GSM3071048	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 944	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC1_uninf	Homo sapiens	GSE112482	GSM3071049	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 944	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC2_Mtb	Homo sapiens	GSE112482	GSM3071050	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 944	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC2_uninf	Homo sapiens	GSE112482	GSM3071051	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 944	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3071052	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 944	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3071053	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 944	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3071054	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 944	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3071055	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 944	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_NK_Mtb	Homo sapiens	GSE112482	GSM3071056	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 944	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_NK_uninf	Homo sapiens	GSE112482	GSM3071057	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 944	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_susp_Mtb	Homo sapiens	GSE112482	GSM3071058	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 944	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_944_susp_uninf	Homo sapiens	GSE112482	GSM3071059	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 944	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_AM_Mtb	Homo sapiens	GSE112483	GSM3071060	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 772	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_AM_uninf	Homo sapiens	GSE112483	GSM3071061	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 772	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_endo_Mtb	Homo sapiens	GSE112483	GSM3071062	Disease without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 772	cell type: endo	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_endo_uninf	Homo sapiens	GSE112483	GSM3071063	Healthy Control without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 772	cell type: endo	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_gd_Mtb	Homo sapiens	GSE112483	GSM3071064	Disease without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 772	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_gd_uninf	Homo sapiens	GSE112483	GSM3071065	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 772	cell type: gd	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_MAIT_Mtb	Homo sapiens	GSE112483	GSM3071066	Disease without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 772	cell type: mait	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_MAIT_uninf	Homo sapiens	GSE112483	GSM3071067	Healthy Control without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 772	cell type: mait	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_NK_Mtb	Homo sapiens	GSE112483	GSM3071068	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 772	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_NK_uninf	Homo sapiens	GSE112483	GSM3071069	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 772	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_NKT_Mtb	Homo sapiens	GSE112483	GSM3071070	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 772	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_772_NKT_uninf	Homo sapiens	GSE112483	GSM3071071	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 772	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_AM_Mtb	Homo sapiens	GSE112483	GSM3071072	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 795	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_AM_uninf	Homo sapiens	GSE112483	GSM3071073	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 795	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_endo_Mtb	Homo sapiens	GSE112483	GSM3071074	Disease without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 795	cell type: endo	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_endo_uninf	Homo sapiens	GSE112483	GSM3071075	Healthy Control without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 795	cell type: endo	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_epi_Mtb	Homo sapiens	GSE112483	GSM3071076	Disease without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 795	cell type: epi	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_epi_uninf	Homo sapiens	GSE112483	GSM3071077	Healthy Control without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 795	cell type: epi	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_gd_Mtb	Homo sapiens	GSE112483	GSM3071078	Disease without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 795	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_gd_uninf	Homo sapiens	GSE112483	GSM3071079	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 795	cell type: gd	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_MAIT_Mtb	Homo sapiens	GSE112483	GSM3071080	Disease without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 795	cell type: mait	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_MAIT_uninf	Homo sapiens	GSE112483	GSM3071081	Healthy Control without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 795	cell type: mait	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_NKT_Mtb	Homo sapiens	GSE112483	GSM3071082	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 795	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_795_NKT_uninf	Homo sapiens	GSE112483	GSM3071083	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 795	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_AM_Mtb	Homo sapiens	GSE112483	GSM3071084	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 796	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_AM_uninf	Homo sapiens	GSE112483	GSM3071085	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 796	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_endo_Mtb	Homo sapiens	GSE112483	GSM3071086	Disease without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 796	cell type: endo	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_endo_uninf	Homo sapiens	GSE112483	GSM3071087	Healthy Control without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 796	cell type: endo	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_epi_Mtb	Homo sapiens	GSE112483	GSM3071088	Disease without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 796	cell type: epi	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_epi_uninf	Homo sapiens	GSE112483	GSM3071089	Healthy Control without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 796	cell type: epi	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_MAIT_Mtb	Homo sapiens	GSE112483	GSM3071090	Disease without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 796	cell type: mait	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_MAIT_uninf	Homo sapiens	GSE112483	GSM3071091	Healthy Control without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 796	cell type: mait	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_NK_Mtb	Homo sapiens	GSE112483	GSM3071092	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 796	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_NK_uninf	Homo sapiens	GSE112483	GSM3071093	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 796	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_NKT_Mtb	Homo sapiens	GSE112483	GSM3071094	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 796	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_796_NKT_uninf	Homo sapiens	GSE112483	GSM3071095	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 796	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_AM_Mtb	Homo sapiens	GSE112483	GSM3071096	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 797	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_AM_uninf	Homo sapiens	GSE112483	GSM3071097	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 797	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_endo_Mtb	Homo sapiens	GSE112483	GSM3071098	Disease without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 797	cell type: endo	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_endo_uninf	Homo sapiens	GSE112483	GSM3071099	Healthy Control without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 797	cell type: endo	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_epi_Mtb	Homo sapiens	GSE112483	GSM3071100	Disease without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 797	cell type: epi	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_epi_uninf	Homo sapiens	GSE112483	GSM3071101	Healthy Control without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 797	cell type: epi	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_gd_Mtb	Homo sapiens	GSE112483	GSM3071102	Disease without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 797	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_gd_uninf	Homo sapiens	GSE112483	GSM3071103	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 797	cell type: gd	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_MAIT_Mtb	Homo sapiens	GSE112483	GSM3071104	Disease without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 797	cell type: mait	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_MAIT_uninf	Homo sapiens	GSE112483	GSM3071105	Healthy Control without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 797	cell type: mait	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_NK_Mtb	Homo sapiens	GSE112483	GSM3071106	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 797	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_NK_uninf	Homo sapiens	GSE112483	GSM3071107	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 797	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_NKT_Mtb	Homo sapiens	GSE112483	GSM3071108	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 797	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_797_NKT_uninf	Homo sapiens	GSE112483	GSM3071109	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 797	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_AM_Mtb	Homo sapiens	GSE112483	GSM3071110	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 800	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_AM_uninf	Homo sapiens	GSE112483	GSM3071111	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 800	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_epi_Mtb	Homo sapiens	GSE112483	GSM3071112	Disease without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 800	cell type: epi	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_epi_uninf	Homo sapiens	GSE112483	GSM3071113	Healthy Control without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 800	cell type: epi	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_gd_Mtb	Homo sapiens	GSE112483	GSM3071114	Disease without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 800	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_gd_uninf	Homo sapiens	GSE112483	GSM3071115	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 800	cell type: gd	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_MAIT_Mtb	Homo sapiens	GSE112483	GSM3071116	Healthy Control without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 800	cell type: mait	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_MAIT_uninf	Homo sapiens	GSE112483	GSM3071117	Disease without treatment	primary_sample	Lung	mait	mait	mait		Lung	UBERON:0002048				donor_id: 800	cell type: mait	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_NK_Mtb	Homo sapiens	GSE112483	GSM3071118	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 800	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_NK_uninf	Homo sapiens	GSE112483	GSM3071119	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 800	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_NKT_Mtb	Homo sapiens	GSE112483	GSM3071120	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 800	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_800_NKT_uninf	Homo sapiens	GSE112483	GSM3071121	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 800	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_AM_Mtb	Homo sapiens	GSE112483	GSM3071122	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 802	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_AM_uninf	Homo sapiens	GSE112483	GSM3071123	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 802	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_gd_Mtb	Homo sapiens	GSE112483	GSM3071124	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 802	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_gd_uninf	Homo sapiens	GSE112483	GSM3071125	Disease without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 802	cell type: gd	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_NK_Mtb	Homo sapiens	GSE112483	GSM3071126	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 802	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_NK_uninf	Homo sapiens	GSE112483	GSM3071127	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 802	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_NKT_Mtb	Homo sapiens	GSE112483	GSM3071128	Healthy Control without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 802	cell type: NKT	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_802_NKT_uninf	Homo sapiens	GSE112483	GSM3071129	Disease without treatment	primary_sample	Lung	NKT	NKT	NKT		Lung	UBERON:0002048				donor_id: 802	cell type: NKT	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_AM_Mtb	Homo sapiens	GSE112483	GSM3071130	Healthy Control without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 803	cell type: AM	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_AM_uninf	Homo sapiens	GSE112483	GSM3071131	Disease without treatment	primary_sample	Lung	AM	AM	AM		Lung	UBERON:0002048				donor_id: 803	cell type: AM	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_endo_Mtb	Homo sapiens	GSE112483	GSM3071132	Healthy Control without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 803	cell type: endo	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_endo_uninf	Homo sapiens	GSE112483	GSM3071133	Disease without treatment	primary_sample	Lung	endo	endo	endo		Lung	UBERON:0002048				donor_id: 803	cell type: endo	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_epi_Mtb	Homo sapiens	GSE112483	GSM3071134	Healthy Control without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 803	cell type: epi	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_epi_uninf	Homo sapiens	GSE112483	GSM3071135	Disease without treatment	primary_sample	Lung	epi	epi	epi		Lung	UBERON:0002048				donor_id: 803	cell type: epi	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_803_gd_Mtb	Homo sapiens	GSE112483	GSM3071136	Healthy Control without treatment	primary_sample	Lung	gd	gd	gd		Lung	UBERON:0002048				donor_id: 803	cell type: gd	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
